absolute_mixing_share,degenerate_group_index,excitation_gap_hartree,excited_energy_hartree,first_state_index,formula_id,last_state_index,mixing_contribution_hartree,squared_d4_coupling,state_count,system_id
3.53713509638066e-05,5,0.8341120911830855,-1.0007975440348666,6,current_m3,6,-5.061697447321765e-13,4.2220230427216433e-13,1,H4
7.793479428182377e-07,6,0.8815648825135551,-0.953344752704397,7,current_m3,7,-1.1152594925692961e-14,9.831736035389787e-15,1,H4
0.0025158669997530393,7,0.9517308732502905,-0.8831787619676617,8,current_m3,8,-3.600246307663381e-11,3.4264655623086035e-11,1,H4
0.00022585432549588727,8,1.0195830968018438,-0.8153265384161082,9,current_m3,9,-3.232011873108513e-12,3.2953046744843056e-12,1,H4
4.8960785225717556e-33,9,1.0443897922234209,-0.7905198429945312,10,current_m3,10,-7.006367437010479e-41,7.317378631780315e-41,1,H4
1.646249839401399e-35,10,1.0604059685798364,-0.7745036666381158,11,current_m3,11,-2.3558101069643638e-43,2.498115098265714e-43,1,H4
2.703402702229524e-32,11,1.1829471132482374,-0.6519625219697148,12,current_m3,12,-3.868612926591289e-40,4.576364493785981e-40,1,H4
4.902633717133265e-33,12,1.222412052510143,-0.6124975827078092,13,current_m3,13,-7.015748026293779e-41,8.576134944715762e-41,1,H4
0.025445600268203583,13,1.2231371638814266,-0.6117724713365257,14,current_m3,14,-3.6413064927864186e-10,4.453817296409804e-10,1,H4
2.3217142592606632e-05,14,1.386852225071333,-0.448057410146619,15,current_m3,15,-3.3224106004701873e-13,4.607692533862663e-13,1,H4
3.0257972198366867e-05,15,1.4466950842493214,-0.38821455096863083,16,current_m3,16,-4.32996468792845e-13,6.264138628999236e-13,1,H4
4.134552397161601e-32,16,1.4657392678310055,-0.36917036738694675,17,current_m3,17,-5.916611252972834e-40,8.67220944597309e-40,1,H4
7.182922131244042e-06,17,1.5270082580205764,-0.30790137719737587,18,current_m3,18,-1.0278877573330953e-13,1.5695930937658868e-13,1,H4
1.1220305691429535e-31,18,1.5417422950892887,-0.29316734012866336,19,current_m3,19,-1.6056438651323347e-39,2.4754890577251622e-39,1,H4
0.1471636327208065,19,1.6148300439093695,-0.22007959130858268,20,current_m3,20,-2.1059353510238093e-09,3.4007276753640717e-09,1,H4
0.181899304340935,20,1.6909190569330883,-0.14399057828486375,21,current_m3,21,-2.6030084216863327e-09,4.4014765455867405e-09,1,H4
3.708073171239186e-33,21,1.7543717147955356,-0.08053792042241656,22,current_m3,22,-5.306312593078241e-41,9.309244723159819e-41,1,H4
4.416258324730049e-31,22,1.7843624497414337,-0.050547185476518444,23,current_m3,23,-6.31973698484767e-39,1.1276701368004331e-38,1,H4
7.5824305702639495e-31,23,1.9072512938125754,0.07234165859462317,24,current_m3,24,-1.0850580601592372e-38,2.0694783891004685e-38,1,H4
4.542369194511358e-05,24,1.9083022446399358,0.07339260942198376,25,current_m3,25,-6.500203676183478e-13,1.2404353265877692e-12,1,H4
8.51561527439069e-29,25,1.9493303433535765,0.11442070813562433,26,current_m3,26,-1.2185982984043446e-36,2.3754506394386252e-36,1,H4
0.04344960666515826,26,1.9879670253887332,0.15305739017078104,27,current_m3,27,-6.217708884492604e-10,1.236060023583786e-09,1,H4
0.27239264234551785,27,2.0798111338616896,0.24490149864373725,28,current_m3,28,-3.897982703121379e-09,8.10706782555213e-09,1,H4
9.561624071207093e-07,28,2.3109887638064803,0.4760791285885283,29,current_m3,29,-1.3682838465231973e-14,3.1620885950130195e-14,1,H4
1.1278810299066022e-30,29,2.3741679332102055,0.5392582979922533,30,current_m3,30,-1.6140159689695102e-38,3.8319449572166094e-38,1,H4
1.6061748230121146e-29,30,2.4159544278004885,0.5810447925825365,31,current_m3,31,-2.298462111303531e-37,5.552979714935424e-37,1,H4
0.23593075542930778,31,2.416376901626625,0.581467266408673,32,current_m3,32,-3.376207212789772e-09,8.158189124090413e-09,1,H4
0.024043033885538457,32,2.687231906216378,0.8523222709984262,33,current_m3,33,-3.4405969782954467e-10,9.245681976507183e-10,1,H4
2.9705768567742574e-30,33,2.8202308699037353,0.9853212346857831,34,current_m3,34,-4.250943456582414e-38,1.1988641962469012e-37,1,H4
0.06678777578161554,34,2.9173510369080677,1.0824414016901154,35,current_m3,35,-9.557438575982524e-10,2.788240333982778e-09,1,H4
1.0287927001258103e-32,0,0.23263021512018422,-1.602279420097768,1,two_term_center,1,-8.321038172846312e-41,1.9357249001725024e-41,1,H4
4.465015652661285e-06,1,0.44689330600359045,-1.3880163292143617,2,two_term_center,2,-3.611375322123432e-14,1.613899456923522e-14,1,H4
3.3168083420559385e-05,2,0.5167295624334949,-1.3181800727844573,3,two_term_center,3,-2.6826870780563914e-13,1.3862237199900702e-13,1,H4
1.2303172490595492e-32,3,0.5432494222542252,-1.291660212963727,4,two_term_center,4,-9.951000617407018e-41,5.405875336257802e-41,1,H4
1.5565476034485306e-32,4,0.7286961653819206,-1.1062134698360315,5,two_term_center,5,-1.2589603352126978e-40,9.173995686374302e-41,1,H4
0.00010152670795244645,5,0.8341120911830855,-1.0007975440348666,6,two_term_center,6,-8.211640812890831e-13,6.849428890484743e-13,1,H4
5.750179843297961e-06,6,0.8815648825135551,-0.953344752704397,7,two_term_center,7,-4.650836458206063e-14,4.1000140958681866e-14,1,H4
0.005863989114197494,7,0.9517308732502905,-0.8831787619676617,8,two_term_center,8,-4.742887197627427e-11,4.513952174325574e-11,1,H4
0.00039262896610052077,8,1.0195830968018438,-0.8153265384161082,9,two_term_center,9,-3.1756452143255732e-12,3.237834181966023e-12,1,H4
3.2135744730069447e-32,9,1.0443897922234209,-0.7905198429945312,10,two_term_center,10,-2.5991898910154796e-40,2.7145673902268727e-40,1,H4
