system_id,formula_id,state_id,evaluation_mode,dimension,action_absolute_error_2_norm,action_relative_error_2_norm,expectation_real_hartree,expectation_imaginary_hartree,expectation_absolute_error_hartree,matrix_free_action_min_seconds,matrix_free_action_median_seconds,dense_stored_d4_action_min_seconds,dense_stored_d4_action_median_seconds,effective_hamiltonian_order,unique_operator_word_count,maximum_operator_word_length,naive_group_action_count,actual_group_action_count,reused_group_action_count,group_action_reuse_fraction,cached_prefix_count,logical_peak_statevector_count,logical_peak_statevector_bytes,dense_coefficient_matrix_bytes_avoided,input_group_matrix_bytes,coefficient_l1_norm,coefficient_tolerance,cache_prefixes
H2,current_m3,cisd,streaming,4,4.411895329290092e-20,2.056942360943006e-15,-2.7384116611797655e-06,0.0,5.082197683525802e-21,0.0001286407932639122,0.00012966408394277096,5.688052624464035e-07,5.799811333417892e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.010550491590600224,1e-16,False
H2,current_m3,cisd,cached_prefix,4,4.411895329290092e-20,2.056942360943006e-15,-2.7384116611797655e-06,0.0,5.082197683525802e-21,0.00010947906412184238,0.0001109179574996233,5.688052624464035e-07,5.799811333417892e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.010550491590600224,1e-16,True
H2,two_term_center,exact,streaming,4,4.2741604812769695e-20,2.655694574892035e-15,-4.656046198994237e-06,1.2705494208814505e-21,1.3559142986170475e-21,0.00012961309403181076,0.00013123592361807823,5.948822945356369e-07,6.151385605335236e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.008311533479923966,1e-16,False
H2,two_term_center,exact,cached_prefix,4,4.2741604812769695e-20,2.655694574892035e-15,-4.656046198994237e-06,1.2705494208814505e-21,1.3559142986170475e-21,0.00010930607095360756,0.00011159898713231087,5.948822945356369e-07,6.151385605335236e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.008311533479923966,1e-16,True
H2,two_term_center,hf,streaming,4,4.2856853864461685e-20,2.6628554263079e-15,-9.687844562412787e-06,0.0,1.3552527156068805e-20,0.0001283849123865366,0.00012885313481092453,5.669426172971725e-07,5.899928510189056e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.008311533479923966,1e-16,False
H2,two_term_center,hf,cached_prefix,4,4.2856853864461685e-20,2.6628554263079e-15,-9.687844562412787e-06,0.0,1.3552527156068805e-20,0.00010934798046946526,0.00011011119931936264,5.669426172971725e-07,5.899928510189056e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.008311533479923966,1e-16,True
H2,two_term_center,cisd,streaming,4,4.791541927135544e-20,2.977162873739322e-15,-4.65604619899424e-06,0.0,1.6940658945086007e-21,0.00012767105363309383,0.00012927805073559284,5.599576979875565e-07,5.739275366067886e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.008311533479923966,1e-16,False
H2,two_term_center,cisd,cached_prefix,4,4.791541927135544e-20,2.977162873739322e-15,-4.65604619899424e-06,0.0,1.6940658945086007e-21,0.00010906602256000042,0.00011117197573184967,5.599576979875565e-07,5.739275366067886e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.008311533479923966,1e-16,True
H2,m5_best,exact,streaming,4,4.707752809118306e-21,4.854658035927051e-16,-2.404951309484223e-07,3.1763735522036263e-22,4.268123713790712e-22,0.00012769806198775768,0.0001286589540541172,5.778856575489044e-07,5.851034075021744e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.00469006809207638,1e-16,False
H2,m5_best,exact,cached_prefix,4,4.707752809118306e-21,4.854658035927051e-16,-2.404951309484223e-07,3.1763735522036263e-22,4.268123713790712e-22,0.0001091968733817339,0.00011210422962903976,5.778856575489044e-07,5.851034075021744e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.00469006809207638,1e-16,True
H2,m5_best,hf,streaming,4,7.099429777442342e-21,7.320967182645072e-16,-3.57209445050676e-06,0.0,2.117582368135751e-21,0.00012756302021443844,0.00012983311899006367,5.871988832950592e-07,6.400514394044876e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.00469006809207638,1e-16,False
H2,m5_best,hf,cached_prefix,4,7.099429777442342e-21,7.320967182645072e-16,-3.57209445050676e-06,0.0,2.117582368135751e-21,0.00010835705325007439,0.00010972889140248299,5.871988832950592e-07,6.400514394044876e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.00469006809207638,1e-16,True
H2,m5_best,cisd,streaming,4,1.3578971136640535e-20,1.4002702355236777e-15,-2.404951309484266e-07,0.0,1.4823076576950256e-21,0.00012740795500576496,0.0001293469686061144,5.681067705154419e-07,6.01867213845253e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.00469006809207638,1e-16,False
H2,m5_best,cisd,cached_prefix,4,1.3578971136640535e-20,1.4002702355236777e-15,-2.404951309484266e-07,0.0,1.4823076576950256e-21,0.00010900595225393772,0.00010943412780761719,5.681067705154419e-07,6.01867213845253e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.00469006809207638,1e-16,True
