condition,formula,formal_order,grid,noise_floor_hartree,qualified,selected_times,free_order,fixed_order_alpha,r2,excluded_by_floor,failure_reasons,source_protocol,selected_window
active_equilibrium,yoshida6_m3,6,legacy_molecular_sensitivity,5e-13,True,"[0.030108450502611094, 0.034507053373351075, 0.039548256806109475, 0.0453259395834091, 0.051947695424124994]",6.007125165409112,0.00118229278286336,0.9999985279505598,"[{""time"": 0.02, ""error_hartree"": 7.771561172376096e-14}, {""time"": 0.02292183941538839, ""error_hartree"": 1.7315570714496617e-13}, {""time"": 0.026270536109242643, ""error_hartree"": 3.8933082948241807e-13}]",[],legacy_molecular_sensitivity,"{""start_index"": 3, ""stop_index_exclusive"": 8, ""t_start"": 0.030108450502611094, ""t_stop"": 0.051947695424124994, ""num_points"": 5, ""free_order"": 6.007125165409112, ""free_alpha"": 0.0012098199400954431, ""r2"": 0.9999985279505598, ""fixed_order_alpha"": 0.00118229278286336, ""order_deviation"": 0.007125165409111567}"
active_equilibrium,yoshida6_m3,6,legacy_molecular_sensitivity,5e-12,True,"[0.0453259395834091, 0.051947695424124994, 0.059536836625564964, 0.06823469042157068, 0.07820323082009921]",5.998255805046689,0.0011831481178311229,0.9999999663027502,"[{""time"": 0.02, ""error_hartree"": 7.771561172376096e-14}, {""time"": 0.02292183941538839, ""error_hartree"": 1.7315570714496617e-13}, {""time"": 0.026270536109242643, ""error_hartree"": 3.8933082948241807e-13}, {""time"": 0.030108450502611094, ""error_hartree"": 8.794480850156557e-13}, {""time"": 0.034507053373351075, ""error_hartree"": 1.9899495135129664e-12}, {""time"": 0.039548256806109475, ""error_hartree"": 4.53372747517064e-12}]",[],legacy_molecular_sensitivity,"{""start_index"": 6, ""stop_index_exclusive"": 11, ""t_start"": 0.0453259395834091, ""t_stop"": 0.07820323082009921, ""num_points"": 5, ""free_order"": 5.998255805046689, ""free_alpha"": 0.0011773405565566897, ""r2"": 0.9999999663027502, ""fixed_order_alpha"": 0.0011831481178311229, ""order_deviation"": 0.0017441949533107959}"
active_stretch150,yoshida4,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9952058077873462,0.00358907616100509,0.9999999336480236,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9952058077873462, ""free_alpha"": 0.003547279015054438, ""r2"": 0.9999999336480236, ""fixed_order_alpha"": 0.00358907616100509, ""order_deviation"": 0.004794192212653758}"
active_stretch150,yoshida4,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9952058077873462,0.00358907616100509,0.9999999336480236,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9952058077873462, ""free_alpha"": 0.003547279015054438, ""r2"": 0.9999999336480236, ""fixed_order_alpha"": 0.00358907616100509, ""order_deviation"": 0.004794192212653758}"
active_stretch150,yoshida4,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9995791774545806,0.003597406254272253,0.9999999996359201,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9995791774545806, ""free_alpha"": 0.0035919010341329857, ""r2"": 0.9999999996359201, ""fixed_order_alpha"": 0.003597406254272253, ""order_deviation"": 0.0004208225454194192}"
active_stretch150,yoshida4,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9995791774545806,0.003597406254272253,0.9999999996359201,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9995791774545806, ""free_alpha"": 0.0035919010341329857, ""r2"": 0.9999999996359201, ""fixed_order_alpha"": 0.003597406254272253, ""order_deviation"": 0.0004208225454194192}"
active_stretch150,paper_new4,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.997941795843286,5.056637415857331e-05,0.9999999883103152,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.997941795843286, ""free_alpha"": 5.03127162611221e-05, ""r2"": 0.9999999883103152, ""fixed_order_alpha"": 5.056637415857331e-05, ""order_deviation"": 0.002058204156714094}"
active_stretch150,paper_new4,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.997941795843286,5.056637415857331e-05,0.9999999883103152,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.997941795843286, ""free_alpha"": 5.03127162611221e-05, ""r2"": 0.9999999883103152, ""fixed_order_alpha"": 5.056637415857331e-05, ""order_deviation"": 0.002058204156714094}"
active_stretch150,paper_new4,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9980044720847037,5.063427949996411e-05,0.999999954557084,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9980044720847037, ""free_alpha"": 5.026788822400135e-05, ""r2"": 0.999999954557084, ""fixed_order_alpha"": 5.063427949996411e-05, ""order_deviation"": 0.0019955279152963357}"
active_stretch150,paper_new4,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9980044720847037,5.063427949996411e-05,0.999999954557084,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9980044720847037, ""free_alpha"": 5.026788822400135e-05, ""r2"": 0.999999954557084, ""fixed_order_alpha"": 5.063427949996411e-05, ""order_deviation"": 0.0019955279152963357}"
active_stretch150,m5_best,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9988684496466753,8.631040837052579e-07,0.99999998718148,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9988684496466753, ""free_alpha"": 8.607210701299655e-07, ""r2"": 0.99999998718148, ""fixed_order_alpha"": 8.631040837052579e-07, ""order_deviation"": 0.001131550353324684}"
active_stretch150,m5_best,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9988684496466753,8.631040837052579e-07,0.99999998718148,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9988684496466753, ""free_alpha"": 8.607210701299655e-07, ""r2"": 0.99999998718148, ""fixed_order_alpha"": 8.631040837052579e-07, ""order_deviation"": 0.001131550353324684}"
active_stretch150,m5_best,4,legacy_molecular_sensitivity,5e-13,True,"[0.030108450502611094, 0.034507053373351075, 0.039548256806109475, 0.0453259395834091, 0.051947695424124994]",3.991917386084312,8.649347048232424e-07,0.9999958976465309,"[{""time"": 0.02, ""error_hartree"": 1.5057399771478686e-13}, {""time"": 0.02292183941538839, ""error_hartree"": 2.391486165114043e-13}, {""time"": 0.026270536109242643, ""error_hartree"": 4.1415925415768764e-13}]",[],legacy_molecular_sensitivity,"{""start_index"": 3, ""stop_index_exclusive"": 8, ""t_start"": 0.030108450502611094, ""t_stop"": 0.051947695424124994, ""num_points"": 5, ""free_order"": 3.991917386084312, ""free_alpha"": 8.426446061002811e-07, ""r2"": 0.9999958976465309, ""fixed_order_alpha"": 8.649347048232424e-07, ""order_deviation"": 0.008082613915687986}"
active_stretch150,m5_best,4,legacy_molecular_sensitivity,5e-12,True,"[0.051947695424124994, 0.059536836625564964, 0.06823469042157068, 0.07820323082009921, 0.08962809493114333]",4.001706932757261,8.632228898396874e-07,0.9999989001926297,"[{""time"": 0.02, ""error_hartree"": 1.5057399771478686e-13}, {""time"": 0.02292183941538839, ""error_hartree"": 2.391486165114043e-13}, {""time"": 0.026270536109242643, ""error_hartree"": 4.1415925415768764e-13}, {""time"": 0.030108450502611094, ""error_hartree"": 7.125926307307148e-13}, {""time"": 0.034507053373351075, ""error_hartree"": 1.2250174248505448e-12}, {""time"": 0.039548256806109475, ""error_hartree"": 2.1201843192709758e-12}, {""time"": 0.0453259395834091, ""error_hartree"": 3.650861809844327e-12}]",[],legacy_molecular_sensitivity,"{""start_index"": 7, ""stop_index_exclusive"": 12, ""t_start"": 0.051947695424124994, ""t_stop"": 0.08962809493114333, ""num_points"": 5, ""free_order"": 4.001706932757261, ""free_alpha"": 8.67187926169986e-07, ""r2"": 0.9999989001926297, ""fixed_order_alpha"": 8.632228898396874e-07, ""order_deviation"": 0.0017069327572611925}"
active_stretch150,two_term_center,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.999407945965712,1.6711815911427115e-05,0.9999999989554025,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.999407945965712, ""free_alpha"": 1.6687657932997103e-05, ""r2"": 0.9999999989554025, ""fixed_order_alpha"": 1.6711815911427115e-05, ""order_deviation"": 0.0005920540342878589}"
active_stretch150,two_term_center,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.999407945965712,1.6711815911427115e-05,0.9999999989554025,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.999407945965712, ""free_alpha"": 1.6687657932997103e-05, ""r2"": 0.9999999989554025, ""fixed_order_alpha"": 1.6711815911427115e-05, ""order_deviation"": 0.0005920540342878589}"
active_stretch150,two_term_center,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9974536052503367,1.6725338451017365e-05,0.9999995298095556,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9974536052503367, ""free_alpha"": 1.6571058818485917e-05, ""r2"": 0.9999995298095556, ""fixed_order_alpha"": 1.6725338451017365e-05, ""order_deviation"": 0.002546394749663339}"
active_stretch150,two_term_center,4,legacy_molecular_sensitivity,5e-12,True,"[0.026270536109242643, 0.030108450502611094, 0.034507053373351075, 0.039548256806109475, 0.0453259395834091]",4.000123813882812,1.6717638422462522e-05,0.9999999620369399,"[{""time"": 0.02, ""error_hartree"": 2.6798008256889716e-12}, {""time"": 0.02292183941538839, ""error_hartree"": 4.616476457973311e-12}]",[],legacy_molecular_sensitivity,"{""start_index"": 2, ""stop_index_exclusive"": 7, ""t_start"": 0.026270536109242643, ""t_stop"": 0.0453259395834091, ""num_points"": 5, ""free_order"": 4.000123813882812, ""free_alpha"": 1.672460830107436e-05, ""r2"": 0.9999999620369399, ""fixed_order_alpha"": 1.6717638422462522e-05, ""order_deviation"": 0.00012381388281212935}"
active_stretch150,joint_refine_r0_s0046,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9980444035557667,0.0003846779458388711,0.9999999889863027,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9980444035557667, ""free_alpha"": 0.00038284424262164665, ""r2"": 0.9999999889863027, ""fixed_order_alpha"": 0.0003846779458388711, ""order_deviation"": 0.001955596444233265}"
active_stretch150,joint_refine_r0_s0046,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9980444035557667,0.0003846779458388711,0.9999999889863027,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9980444035557667, ""free_alpha"": 0.00038284424262164665, ""r2"": 0.9999999889863027, ""fixed_order_alpha"": 0.0003846779458388711, ""order_deviation"": 0.001955596444233265}"
active_stretch150,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9998449383148,0.0003850438422000029,0.9999999999368738,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9998449383148, ""free_alpha"": 0.00038482661666650915, ""r2"": 0.9999999999368738, ""fixed_order_alpha"": 0.0003850438422000029, ""order_deviation"": 0.00015506168519996422}"
active_stretch150,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9998449383148,0.0003850438422000029,0.9999999999368738,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9998449383148, ""free_alpha"": 0.00038482661666650915, ""r2"": 0.9999999999368738, ""fixed_order_alpha"": 0.0003850438422000029, ""order_deviation"": 0.00015506168519996422}"
