formula_id,point_role,relative_to_proxy_t_ana,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
yoshida4,primary_training,0.4,0.1149928910565805,0.9999999999999915,-9.357480217036134e-08,0.9999999999999958,-9.357480217036187e-08,-9.357480217036187e-08,0,-8.137442350616203e-07,-8.137442350616249e-07,2.3908695708848584e-13,0.0,2.0791455444915e-12,391383.9688700769,resolved
yoshida4,primary_training,0.5,0.14374111382072563,0.9999999999999305,-2.8511264230875414e-07,0.9999999999999711,-2.851126423087662e-07,-2.851126423087662e-07,0,-1.9835149090631615e-06,-1.9835149090632453e-06,2.3919833643693325e-13,0.0,1.6640912963514541e-12,1191950.7742225733,resolved
current_m3,leading_grid,,0.02,0.9999999999999964,-4.3475609058047815e-14,0.9999999999999964,-4.3475609058047967e-14,-4.3475609058047967e-14,0,-2.173780452902391e-12,-2.173780452902398e-12,5.597955546047553e-13,0.0,2.7989777730237764e-11,0.07766336960061045,unresolved
current_m3,leading_grid,,0.02292183941538839,0.9999999999999966,-8.592145598079519e-14,0.9999999999999966,-8.592145598079548e-14,-8.592145598079548e-14,0,-3.748453796561917e-12,-3.74845379656193e-12,5.607669532020824e-13,0.0,2.4464308602808554e-11,0.15322132570431957,unresolved
current_m3,leading_grid,,0.026270536109242643,0.999999999999998,-1.6999072711705365e-13,0.999999999999998,-1.6999072711705398e-13,-1.6999072711705398e-13,0,-6.4707749552642965e-12,-6.470774955264309e-12,5.588858886568152e-13,0.0,2.1274247557520722e-11,0.30415999145299,unresolved
current_m3,leading_grid,,0.030108450502611094,0.9999999999999997,-3.3612129367775127e-13,0.9999999999999997,-3.3612129367775137e-13,-3.3612129367775137e-13,0,-1.11636862099098e-11,-1.1163686209909803e-11,5.585200271832065e-13,0.0,1.8550274685665742e-11,0.6018070567190176,unresolved
current_m3,leading_grid,,0.034507053373351075,0.9999999999999987,-6.645897229281102e-13,0.9999999999999987,-6.645897229281111e-13,-6.645897229281111e-13,0,-1.9259532702996774e-11,-1.9259532702996803e-11,5.582459009913265e-13,0.0,1.6177733142014545e-11,1.190496377578303,unresolved
current_m3,leading_grid,,0.039548256806109475,0.9999999999999988,-1.314256937636341e-12,0.9999999999999988,-1.3142569376363426e-12,-1.3142569376363426e-12,0,-3.323172862155868e-11,-3.323172862155872e-11,5.625340832677502e-13,0.0,1.422399186962013e-11,2.3363152148965742,unresolved
current_m3,leading_grid,,0.0453259395834091,1.0,-2.5987919323234387e-12,1.0,-2.5987919323234387e-12,-2.5987919323234387e-12,0,-5.73356439206544e-11,-5.73356439206544e-11,5.589563707666931e-13,0.0,1.233193124961255e-11,4.6493645447833485,unresolved
current_m3,leading_grid,,0.051947695424124994,0.9999999999999984,-5.138901299705542e-12,0.9999999999999984,-5.13890129970555e-12,-5.13890129970555e-12,0,-9.892452894684118e-11,-9.892452894684133e-11,5.605263492788993e-13,0.0,1.079020627772807e-11,9.167992381297664,unresolved
