experiment_id,case_id,formula_id,state_id,model_id,selection_active,signal_quality_gate_passed,stable,status,powers,coefficients,scaled_design_condition_number,maximum_absolute_residual_hartree,lambda
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-1.253431331887499e-07, 5.136766390042591e-07]",15.450014763789298,3.101324361269927e-14,
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.890050525135957e-05, 2.1568836557072536e-06]",12.374975648872603,9.289380398393556e-13,
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.890050525135957e-05, 2.1568836557071676e-06]",12.374975648872603,9.289380398658254e-13,
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-1.61657975474468e-20, 2.358175423746071e-19]",15.450014763789298,8.772035573212228e-24,
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.0957912340803192e-05, 4.7385222745485055e-07]",12.374975648872603,6.74356470783689e-12,
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.1022606326143007e-05, 3.6043771949952386e-07]",12.374975648872603,3.468399828648395e-14,
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[3.945802887185936e-07, -1.6170544072185142e-06]",15.450014763789298,9.762936304251365e-14,
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.3144707396976876e-05, -1.4360082601461102e-06]",12.374975648872603,9.983070891154582e-13,
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.3144707396976876e-05, -1.4360082601461102e-06]",12.374975648872603,9.983070891154582e-13,
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.108730031148282e-05, 2.4702321154421443e-07]",12.374975648872603,6.80959570676075e-12,
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.1022606326143007e-05, 3.6043771949952386e-07]",12.374975648872603,3.468399828648395e-14,
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-3.945802887185936e-07, 1.6170544072185142e-06]",15.450014763789298,9.762936304251365e-14,
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.2905891429245283e-05, 3.3589679562315455e-06]",12.374975648872603,1.9693541347300628e-12,
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.2905891429245274e-05, 3.3589679562314252e-06]",12.374975648872603,1.9693541347300628e-12,
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-2.5226942576738294e-20, 3.4116876179798824e-19]",15.450014763789298,1.3327521378177823e-24,
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.7412495853908364e-05, -3.2759321817915246e-07]",12.374975648872603,1.4709745028566522e-11,
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.7554203451880836e-05, -5.760195720073917e-07]",12.374975648872603,1.4139011830393996e-13,
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[8.643002022998275e-07, -3.5420435695621975e-06]",15.450014763789298,2.1386476522687802e-13,
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-2.220251546627918e-05, -4.51100717722831e-06]",12.374975648872603,2.2521397471648914e-12,
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-2.220251546627918e-05, -4.51100717722831e-06]",12.374975648872603,2.2521397471648914e-12,
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.7695911049853335e-05, -8.244459258354078e-07]",12.374975648872603,1.497753356142886e-11,
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.7554203451880836e-05, -5.760195720073917e-07]",12.374975648872603,1.4139011830393996e-13,
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[-8.643002022998275e-07, 3.5420435695621975e-06]",15.450014763789298,2.1386476522687802e-13,
B,H4,m5_best,rhf,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.802056173814565e-05, 8.284366228310442e-06]",12.374975648872603,1.1998681072544171e-12,
B,H4,m5_best,rhf,evenized_two_term,False,True,True,fit_ok,"[4, 6]","[-1.802056173814565e-05, 8.284366228310442e-06]",12.374975648872603,1.1998681072544171e-12,
B,H4,m5_best,rhf,odd_diagnostic,False,True,True,fit_ok,"[5, 7]","[0.0, 0.0]",15.450014763789298,0.0,
B,H4,m5_best,cisd,raw_positive_even_two_term,True,True,True,fit_ok,"[4, 6]","[-1.4806424919073922e-06, -1.5644523498155303e-07]",12.374975648872603,1.2885224021657168e-13,
