condition,direct_grid_minimum_cost,direct_grid_minimum_time,display_name,eta_min,eta_star,eta_t,final_passed,formal_order,formula,local_minimum_bracketed,maximum_eigenpair_residual_2_norm,maximum_unseen_residual_over_epsilon,metric_source,minimum_adjacent_vector_overlap_probability,minimum_ground_overlap_probability,model,rotations,s2_stage_count,stable_analytic_model,stage2_reasons,stage2_selected,status,training_design_condition_number
full_equilibrium,4924510841.130634,0.06968235917047359,Yoshida 4th,0.0,0.011947930383885901,0.0,False,4,yoshida4,True,2.9494779964249045e-14,0.022992664245834193,stage1_coarse_grid_not_selected_for_stage2,0.9999999998962639,0.9999999962898221,short_time_asymptotic_one_term,36892,3,True,[],False,complete,1.0
full_equilibrium,4924034712.383841,0.06976249388351964,Yoshida 4th,0.0,0.010864337296879877,0.0,False,4,yoshida4,True,2.9947253226735074e-14,0.021519839255856835,stage1_coarse_grid_not_selected_for_stage2,0.9999999998952063,0.9999999962545623,direct_refit_one_term,36892,3,True,[],False,complete,1.0
full_equilibrium,4920392426.026974,0.0710376810563393,Yoshida 4th,0.0,0.00014909670211544945,0.0,True,4,yoshida4,,3.204337888182392e-14,0.0002691787831127752,stage2_fine_grid,,0.9999999969832138,two_term,36892,3,True,['all_four_coarse_checks_passed'],True,complete,29.20924143389023
full_equilibrium,4920391551.071749,0.07101329223062965,Yoshida 4th,0.0,2.0256466347649517e-05,0.0,True,4,yoshida4,,3.0531457586197105e-14,4.346064547802039e-05,stage2_fine_grid,,0.9999999969917213,three_term,36892,3,True,['all_four_coarse_checks_passed'],True,complete,875.1029252869498
full_equilibrium,3395108793.955008,0.23325295790941455,paper 4th(new_2),0.5276818374022176,0.45066653426750114,0.13043478260869568,False,4,paper_new4,False,5.034372888225907e-14,2.2255842341336494,stage1_coarse_grid_not_selected_for_stage2,0.9949020464110254,0.9957731943950019,short_time_asymptotic_one_term,61396,5,True,[],False,complete,1.0
full_equilibrium,2969660669.532864,0.2517849054153175,paper 4th(new_2),0.27466093110399514,0.30268980779839544,0.13043478260869545,False,4,paper_new4,False,2.5645669034002098e-14,1.0430189899175466,stage1_coarse_grid_not_selected_for_stage2,0.9987150392423393,0.9990840205967984,direct_refit_one_term,61396,5,True,[],False,complete,1.0
full_equilibrium,3137344405.4503303,0.17628345829827818,paper 4th(new_2),0.4289858642298461,0.4612036280096403,0.17647058823529416,False,4,paper_new4,False,4.7283469537572926e-14,1.6802439917565037,stage1_coarse_grid_not_selected_for_stage2,0.9960563268444795,0.9974193119118715,two_term,61396,5,True,[],False,complete,29.20924143389023
full_equilibrium,3002613996.1877966,0.1578189513215099,paper 4th(new_2),0.5255426347350609,0.41421686624427434,0.17647058823529416,False,4,paper_new4,False,4.7770152289386144e-14,0.9963084059256363,stage1_coarse_grid_not_selected_for_stage2,0.9975584512431598,0.9986152937719589,three_term,61396,5,True,[],False,complete,875.1029252869498
full_equilibrium,1778165496.8862112,0.6161529031854156,4th(m5_best),4.336738614110127,0.7611057542982913,0.09090909090909105,False,4,m5_best,,6.002840268188455e-14,2.0033803088110003,stage2_fine_grid,,0.946712050635727,short_time_asymptotic_one_term,134908,11,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
full_equilibrium,1616053888.734163,0.6336278397282583,4th(m5_best),0.10760242310780277,0.1532187985197329,0.029126213592232997,False,4,m5_best,,2.541876688911609e-13,2.3191550040827917,stage2_fine_grid,,0.980432124064779,direct_refit_one_term,134908,11,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
full_equilibrium,2118333597.6961503,0.48630848127163995,4th(m5_best),0.08022882543637122,0.06498167184260602,0.04761904761904767,False,4,m5_best,True,4.76356326907675e-14,0.4094090092275671,stage1_coarse_grid_not_selected_for_stage2,0.9928545639066422,0.9928736802868691,two_term,134908,11,True,[],False,complete,29.20924143389023
full_equilibrium,2956083995.428994,0.34807177674697753,4th(m5_best),0.057034159583840616,0.056455845860355194,0.06542056074766356,False,4,m5_best,,2.7627192729684443e-13,0.1383457650380225,stage2_fine_grid,,0.9982781525641464,three_term,134908,11,True,['isolated_coarse_grid_cost_drop'],True,complete,875.1029252869498
full_equilibrium,2026323991.989894,0.33495938734599096,current_m3,0.2062024580679367,0.08636686263890693,0.09090909090909105,False,4,current_m3,True,1.7539408646789714e-13,0.44459457271119707,stage1_coarse_grid_not_selected_for_stage2,0.9933476032812711,0.9937702714208957,short_time_asymptotic_one_term,85900,7,True,[],False,complete,1.0
full_equilibrium,1876615025.2337036,0.3469752940956935,current_m3,0.1572898085391936,0.12661294238866946,0.04761904761904767,False,4,current_m3,,1.764650029832033e-13,1.0110345289642333,stage2_fine_grid,,0.8814455113230584,direct_refit_one_term,85900,7,True,['isolated_coarse_grid_cost_drop'],True,complete,1.0
full_equilibrium,1954433447.8224626,0.33493426539193993,current_m3,0.2980746373173362,0.04029976576988764,0.13043478260869557,False,4,current_m3,False,1.7585279092290634e-13,0.3385096874912763,stage1_coarse_grid_not_selected_for_stage2,0.9982239144946328,0.9982033216571786,two_term,85900,7,True,[],False,complete,29.20924143389023
