condition,formula,state_role,point_role,relative_to_full_cisd_t_ana,relative_to_proxy_t_ana,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
N2_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.1,,0.09508828756341367,0.9999999999999334,-5.423598792297923e-10,-5.70375062089636e-09,2.9975483359406677e-09,,0.18093448993862282,0.9999999999999333,1.0000000000000002,0.13698804005980492,0.004388220142573118,0.14175661792978644
N2_active_stretch150_sto3g,current_m3,full_cisd,model_training,0.2,0.2,0.19017657512682734,0.9999999999999252,-9.966206748757145e-09,-5.2405017506024365e-08,9.567832668597692e-08,9.966206748757145e-09,0.10416368151448703,0.9999999999999297,1.0,0.16528931190259755,0.005666594952344894,0.17146023595705628
N2_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.2,,0.19017657512682734,0.9999999999999236,-1.7323565304483424e-08,-9.109200380189025e-08,9.565966732768422e-08,,0.18109581382027165,0.9999999999999282,1.0,0.1371400891803205,0.004715627990663052,0.1422344851307571
N2_active_stretch150_sto3g,current_m3,full_cisd,model_training,0.3,0.3,0.285264862690241,0.9999999999996703,-7.816015973327595e-08,-2.7399154244295166e-07,7.239681006142694e-07,7.816015973327595e-08,0.10796077847485122,0.9999999999999319,1.0000000000000002,0.19844544189982116,0.007051581051200628,0.20610863203182817
N2_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.3,,0.285264862690241,0.9999999999996689,-1.3109320878834652e-07,-4.595490925592753e-07,7.230940041024457e-07,,0.18129483586448553,0.9999999999999301,1.0000000000000002,0.13703351886942983,0.005061205942183733,0.14247447391971946
N2_active_stretch150_sto3g,current_m3,full_cisd,selection_diagnostic,0.5,0.5,0.4754414378170683,0.9999999999576062,-1.0939231983031483e-06,-2.3008579212736776e-06,9.200659744223149e-06,1.0939231983031483e-06,0.11889616926546967,0.9999999999999323,1.0,0.1644922939594835,0.007139120949432254,0.17212902288883924
N2_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.5,,0.4754414378170683,0.9999999999579632,-1.6617184960265874e-06,-3.495106576440132e-06,9.16170719035444e-06,,0.18137651220463208,0.9999999999999315,1.0,0.13703982904553413,0.005802723113447428,0.14322642097249627
N2_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.15,,0.1426324313451205,0.9999999999999334,-2.3367140999930314e-09,-1.638276847667977e-08,2.2732951935917753e-08,,0.10278973476827948,0.9999999999999333,1.0000000000000002,0.13695767987519503,0.004558838903903961,0.14190805796533823
N2_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.25,,0.23772071890853416,0.9999999999998901,-3.087079447627872e-08,-1.2986160658615802e-07,2.915207179949847e-07,,0.10589571365150734,0.9999999999999324,1.0,0.13703555008396506,0.005101507063955069,0.14252645382657647
N2_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.4,,0.3803531502536547,0.9999999999953267,-3.428836072988384e-07,-9.014874914804094e-07,3.035260990662042e-06,,0.11296676244768317,0.999999999999933,1.0,0.13734477804973722,0.005422024056315422,0.14315183134749532
N2_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.7,,0.6656180129438957,0.9999999988209853,-6.417259330815384e-06,-9.641054187270452e-06,4.8558123726715774e-05,,0.13215624571763937,0.9999999999999308,1.0000000000000002,0.1369595997966826,0.0062803709879517555,0.1436306587420404
N2_active_stretch150_sto3g,yoshida4,full_cisd,model_training,0.1,0.1,0.024828308919712005,0.9999999999999745,-7.913722455121786e-11,-3.1873787621672546e-09,2.2373154712753621e-10,7.913722455121786e-11,0.35371509099745496,0.9999999999999744,1.0,0.07903587608598173,0.004601367982104421,0.08389073284342885
N2_active_stretch150_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.1,,0.024828308919712005,0.9999999999999745,-6.715808464896611e-11,-2.7048996718277143e-09,2.1369357095227198e-10,,0.3142728363314483,0.9999999999999741,1.0000000000000002,0.06699643190950155,0.0038239234127104282,0.0710040139965713
N2_active_stretch150_sto3g,yoshida4,full_cisd,model_training,0.2,0.2,0.04965661783942401,0.9999999999999706,-2.530311404846941e-09,-5.095617693958295e-08,7.1543187324171865e-09,2.530311404846941e-09,0.3536760800691976,0.9999999999999706,1.0,0.07921076589263976,0.004706308012828231,0.08416698197834194
N2_active_stretch150_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.2,,0.04965661783942401,0.9999999999999695,-2.14729023451099e-09,-4.324278067939992e-08,6.8338301675278776e-09,,0.3142147495432664,0.9999999999999691,1.0000000000000002,0.06686318200081587,0.004015871789306402,0.07106596417725086
N2_active_stretch150_sto3g,yoshida4,full_cisd,model_training,0.3,0.3,0.07448492675913601,0.9999999999999685,-1.9188194699815142e-08,-2.5761178180203553e-07,5.4263833565498e-08,1.9188194699815142e-08,0.3536092723094184,0.9999999999999697,1.0000000000000002,0.07907347590662539,0.00494831707328558,0.08427251107059419
N2_active_stretch150_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.3,,0.07448492675913601,0.999999999999968,-1.6283593473609415e-08,-2.1861595603451588e-07,5.183929354960616e-08,,0.31411680905773315,0.999999999999969,1.0,0.06692481227219105,0.004170970059931278,0.07128323195502162
N2_active_stretch150_sto3g,yoshida4,full_cisd,selection_diagnostic,0.5,0.5,0.12414154459856001,0.9999999999997299,-2.456747507095791e-07,-1.978988996020828e-06,6.952081272903874e-07,2.456747507095791e-07,0.3533830245441897,0.9999999999999715,1.0,0.07878648699261248,0.005334705114364624,0.08438405185006559
N2_active_stretch150_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.5,,0.12414154459856001,0.9999999999997503,-2.0848603526912868e-07,-1.6794219529273283e-06,6.644025572896123e-07,,0.31379475136223756,0.9999999999999707,1.0000000000000002,0.06718426197767258,0.0045225489884614944,0.07188797881826758
N2_active_stretch150_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.15,,0.037242463379568005,0.9999999999999709,-6.007426778253944e-10,-1.6130583836593753e-08,1.698457671653726e-09,,0.35369893983903244,0.9999999999999709,1.0,0.06708005210384727,0.0037798527628183365,0.07104642316699028
N2_active_stretch150_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.25,,0.06207077229928001,0.9999999999999665,-7.717132544104999e-09,-1.2432796078154347e-07,2.1821615344105942e-08,,0.35364625498219177,0.9999999999999665,1.0,0.06737866019830108,0.004103091079741716,0.07166658993810415
N2_active_stretch150_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.4,,0.09931323567884802,0.9999999999999453,-8.070320056674518e-08,-8.126127400351487e-07,2.282894530213808e-07,,0.3535126108484162,0.9999999999999712,1.0,0.06719539081677794,0.004339870065450668,0.07172058988362551
N2_active_stretch150_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.7,,0.17379816243798402,0.9999999999930613,-1.3124945815734534e-06,-7.5518323275816435e-06,3.718024746956741e-06,,0.35300856527320046,0.9999999999999729,1.0000000000000002,0.06697746179997921,0.004647968802601099,0.07180614024400711
CO_active_eq_sto3g,current_m3,full_cisd,model_training,0.1,0.1,0.06546804264781796,0.9999999999998949,-2.0911616882557382e-10,-3.1941716961129224e-09,3.279292250458029e-09,2.0911616882557382e-10,0.06376868935556626,0.9999999999998949,0.9999999999999999,0.24677761201746762,0.00836952798999846,0.2558167758397758
CO_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.1,,0.06546804264781796,0.9999999999998943,-4.82572037885376e-10,-7.371108381555685e-09,3.321113769721036e-09,,0.14530427782542077,0.9999999999998945,0.9999999999999999,0.2199879176914692,0.006816268898546696,0.22732685366645455
CO_active_eq_sto3g,current_m3,full_cisd,model_training,0.2,0.2,0.1309360852956359,0.9999999999998908,-6.7442389450889095e-09,-5.15078706520157e-08,1.0477183019045159e-07,6.7442389450889095e-09,0.06437072763575288,0.9999999999998962,0.9999999999999999,0.24914534506388009,0.00923933507874608,0.2590494879987091
CO_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.2,,0.1309360852956359,0.9999999999998919,-1.525960896531231e-08,-1.1654242549605927e-07,1.0601984081790902e-07,,0.14393163437701215,0.9999999999998976,0.9999999999999998,0.20649573020637035,0.007616644725203514,0.21465222304686904
CO_active_eq_sto3g,current_m3,full_cisd,model_training,0.3,0.3,0.19640412794345388,0.9999999999995849,-5.184043666561777e-08,-2.639477958454264e-07,7.934638270350111e-07,5.184043666561777e-08,0.06533434152799802,0.9999999999998997,0.9999999999999999,0.25070900097489357,0.010069753043353558,0.26146801211871207
CO_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.3,,0.19640412794345388,0.999999999999577,-1.1358931517602144e-07,-5.783448462382858e-07,8.018391505379087e-07,,0.14166097414901827,0.9999999999998983,1.0,0.2129244809038937,0.008222782053053379,0.22169024962931871
CO_active_eq_sto3g,current_m3,full_cisd,selection_diagnostic,0.5,0.5,0.3273402132390898,0.9999999999487846,-6.885679743606765e-07,-2.1035239378235068e-06,1.0110454554526963e-05,6.885679743606765e-07,0.06810455164474971,0.9999999999998954,0.9999999999999998,0.28222569497302175,0.012254766887053847,0.2953637600876391
CO_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.5,,0.3273402132390898,0.99999999994811,-1.3691599975995672e-06,-4.18268193831575e-06,1.0176956470160822e-05,,0.13453531039599023,0.9999999999998954,0.9999999999999997,0.20678514940664172,0.00918906694278121,0.2165251038968563
CO_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.15,,0.09820206397172694,0.9999999999998952,-1.5932355990067038e-09,-1.6224054104050273e-08,2.4885850902026866e-08,,0.06402174493768024,0.9999999999998956,0.9999999999999999,0.20665257005020976,0.007280097343027592,0.2144824736751616
CO_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.25,,0.1636701066195449,0.9999999999998439,-2.0697407787650945e-08,-1.264580821454621e-07,3.1935312429060325e-07,,0.0648104127167293,0.999999999999895,0.9999999999999999,0.2065357002429664,0.007872903253883123,0.2149686710909009
CO_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.4,,0.2618721705912718,0.999999999994352,-2.2182469818984862e-07,-8.470724387742255e-07,3.3305429778108948e-06,,0.06660316340840314,0.9999999999998982,1.0,0.20678040897473693,0.008927728980779648,0.21625368483364582
CO_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.7,,0.4582762985347257,0.9999999985658824,-3.827287701763105e-06,-8.351485149898264e-06,5.355412070465269e-05,,0.07146579294748082,0.9999999999999043,1.0,0.20928770722821355,0.01050496194511652,0.22033810708671808
CO_active_eq_sto3g,yoshida4,full_cisd,model_training,0.1,0.1,0.015467784615335387,0.999999999999962,-4.9301562832226864e-11,-3.1873706583260346e-09,9.029363203177178e-11,4.9301562832226864e-11,0.5460137301252765,0.9999999999999621,1.0,0.12199834012426436,0.007166340947151184,0.12956157000735402
CO_active_eq_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.1,,0.015467784615335387,0.9999999999999598,-4.8923240458798034e-11,-3.162911927949498e-09,8.736322729011024e-11,,0.5599980904590081,0.9999999999999599,0.9999999999999999,0.10102640511468053,0.006391131319105625,0.10768756363540888
CO_active_eq_sto3g,yoshida4,full_cisd,model_training,0.2,0.2,0.030935569230670774,0.9999999999999528,-1.5775286910102437e-09,-5.099400884617368e-08,2.888750309280946e-09,1.5775286910102437e-09,0.5460938198576653,0.9999999999999528,1.0,0.12210521916858852,0.00838083797134459,0.1308471958618611
CO_active_eq_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.2,,0.030935569230670774,0.9999999999999545,-1.5653764395828773e-09,-5.060118428436416e-08,2.79513500260113e-09,,0.560036076299052,0.9999999999999543,1.0,0.10080615617334843,0.00612906226888299,0.1072049867361784
CO_active_eq_sto3g,yoshida4,full_cisd,model_training,0.3,0.3,0.046403353846006155,0.9999999999999569,-1.1977782821137595e-08,-2.581232136988844e-07,2.1928270397095147e-08,1.1977782821137595e-08,0.5462256075939441,0.999999999999957,1.0,0.11829373892396688,0.007643919205293059,0.12628757790662348
CO_active_eq_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.3,,0.046403353846006155,0.9999999999999573,-1.1884996320432606e-08,-2.561236491628185e-07,2.1219405558387253e-08,,0.5601003424780154,0.9999999999999575,0.9999999999999999,0.10096907475963235,0.006509530358016491,0.10775249404832721
CO_active_eq_sto3g,yoshida4,full_cisd,selection_diagnostic,0.5,0.5,0.07733892307667693,0.9999999999999138,-1.5397025598939962e-07,-1.9908507885059028e-06,2.816636642319673e-07,1.5397025598939962e-07,0.5466457890805385,0.9999999999999536,0.9999999999999999,0.11830959003418684,0.008393056923523545,0.12706234608776867
CO_active_eq_sto3g,yoshida4,truncated_cisd,state_convergence_diagnostic,0.5,,0.07733892307667693,0.9999999999999161,-1.527564143510851e-07,-1.9751556948838846e-06,2.726306077569724e-07,,0.5603054462881688,0.9999999999999535,0.9999999999999997,0.10067149624228477,0.007062098011374474,0.10800720332190394
CO_active_eq_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.15,,0.023201676923003078,0.9999999999999626,-3.7437208888491114e-10,-1.6135561671998957e-08,6.856034878391562e-10,,0.5460475267779552,0.9999999999999626,0.9999999999999999,0.10083391610532999,0.006121251732110977,0.10722835687920451
