condition,formula,point_role,relative_to_proxy_t_ana,short_grid_index,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
CO_active_stretch150_sto3g,current_m3,proxy_scale_fit,,3,0.030108450502611094,0.999999999999953,-9.01584362722474e-13,-2.9944561997446066e-11,1.703013733638502e-11,9.01584362722474e-13,0.05294052214107705,0.9999999999999528,1.0,0.23620942002162337,0.007299210876226425,0.2441242488566786
CO_active_stretch150_sto3g,current_m3,proxy_scale_fit,,4,0.034507053373351075,0.9999999999999591,-1.782601843913767e-12,-5.165905719699687e-11,3.3676364456279316e-11,1.782601843913767e-12,0.052933322010695304,0.999999999999959,1.0,0.2371455281972885,0.007677359040826559,0.24544936488382518
CO_active_stretch150_sto3g,current_m3,selection_diagnostic,0.05,,0.04836049612557058,0.9999999999999649,-9.642564524625641e-12,-1.9938928044882364e-10,1.8209324346200972e-10,9.642564524625641e-12,0.05295399401591404,0.9999999999999647,1.0000000000000002,0.24353484087623656,0.008360157022252679,0.2526010158471763
CO_active_stretch150_sto3g,current_m3,model_training,0.1,,0.09672099225114116,0.9999999999999608,-3.0959323993329235e-10,-3.200889824717856e-09,5.831351215822964e-09,3.0959323993329235e-10,0.0530911667767897,0.9999999999999609,0.9999999999999999,0.2415587748400867,0.00880626612342894,0.2510017300955951
CO_active_stretch150_sto3g,current_m3,model_training,0.2,,0.1934419845022823,0.9999999999999472,-1.0044623077742898e-08,-5.192576525508291e-08,1.8712250604285445e-07,1.0044623077742898e-08,0.05367939586830083,0.9999999999999645,1.0,0.2420654648449272,0.010050382930785418,0.2527538051363081
CO_active_stretch150_sto3g,current_m3,model_training,0.3,,0.29016297675342345,0.9999999999989408,-7.815937147492846e-08,-2.693636946706238e-07,1.4265353090679252e-06,7.815937147492846e-08,0.05478965082609593,0.9999999999999583,1.0,0.24124276684597135,0.011509618954733014,0.25339786405675113
CO_active_stretch150_sto3g,current_m3,selection_diagnostic,0.5,,0.48360496125570573,0.9999999998292015,-1.092100937460927e-06,-2.2582500696957894e-06,1.848041111806761e-05,1.092100937460927e-06,0.05909505640776684,0.9999999999999645,1.0,0.23881163308396935,0.012795984977856278,0.25225412705913186
CO_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,0,0.02,0.999999999999982,-3.294275963128257e-11,-1.6471379815641285e-09,2.1935700024377326e-10,3.294275963128257e-11,0.15017874786158183,0.9999999999999818,1.0000000000000002,0.12117867195047438,0.00708915083669126,0.1286168920341879
CO_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999892,-6.514747075136995e-11,-2.8421571921332687e-09,4.3371944610849283e-10,6.514747075136995e-11,0.1502064787177507,0.9999999999999891,1.0,0.11926440591923892,0.007346870144829154,0.12698124605230987
CO_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999842,-1.2883943911745632e-10,-4.904332312888252e-09,8.575390031316427e-10,1.2883943911745632e-10,0.1502432410035557,0.999999999999984,1.0,0.11838299897499382,0.007587689906358719,0.1263272580690682
