condition,formula,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
HF_full_eq_sto3g,current_m3,1,-37.28198891050632,0.5623239661768622,2.9033350783909296e-05,0.0,2.9033350783909296e-05,-1.4990210420382588e-09
HF_full_eq_sto3g,current_m3,2,-36.97755812803661,0.8667547486465708,-0.0005013465749380162,0.0,0.0005013465749380162,-2.8998789864671407e-07
HF_full_eq_sto3g,current_m3,3,-36.6291610164813,1.2151518602018854,-3.2545354473210244e-19,0.0,3.2545354473210244e-19,-8.716606808394553e-38
HF_full_eq_sto3g,current_m3,4,-36.52162027628483,1.322692600398355,9.024850776122696e-08,0.0,9.024850776122696e-08,-6.1577369909495806e-15
HF_full_eq_sto3g,current_m3,5,-36.52162027628481,1.3226926003983763,6.985954113949787e-06,0.0,6.985954113949787e-06,-3.689712550558838e-11
HF_full_eq_sto3g,current_m3,6,-36.502645495210395,1.3416673814727886,-0.0019438013654154264,0.0,0.0019438013654154264,-2.8161702373976275e-06
HF_full_eq_sto3g,current_m3,7,-36.41307291398669,1.4312399626964947,-6.365001111412131e-06,0.0,6.365001111412131e-06,-2.8306391803055604e-11
HF_full_eq_sto3g,current_m3,8,-36.288329359384655,1.5559835172985288,0.008639736402018445,0.0,0.008639736402018445,-4.797290219755029e-05
HF_full_eq_sto3g,current_m3,9,-36.15637428576388,1.6879385909193019,-0.003588227034954216,0.0,0.003588227034954216,-7.627868290732076e-06
HF_full_eq_sto3g,current_m3,10,-35.61300376176041,2.231309114922773,-1.4512298966615156e-06,0.0,1.4512298966615156e-06,-9.438711108555148e-13
HF_full_eq_sto3g,current_m3,11,-35.2504423210094,2.5938705556737816,-0.0018176637644842183,0.0,0.0018176637644842183,-1.2737341705398715e-06
HF_full_eq_sto3g,current_m3,12,-34.49478032802537,3.3495325486578125,0.014716636556146453,0.0,0.014716636556146453,-6.46595870855148e-05
HF_full_eq_sto3g,current_m3,13,-12.312182046342423,25.532130830340762,-0.0030188547645562066,0.0,0.0030188547645562066,-3.5694177466198097e-07
HF_full_eq_sto3g,current_m3,14,-12.286633313255054,25.55767956342813,-0.07967037460379385,0.0,0.07967037460379385,-0.00024835465104553676
HF_full_eq_sto3g,current_m3,15,-11.2091827181014,26.63513015858178,0.004615612673695245,0.0,0.004615612673695245,-7.998414209630624e-07
HF_full_eq_sto3g,current_m3,16,-11.154773243101507,26.689539633581674,0.05082696922337074,0.0,0.05082696922337074,-9.679375650162882e-05
HF_full_eq_sto3g,current_m3,17,-10.329897935902862,27.51441494078032,-0.00218066760856478,0.0,0.00218066760856478,-1.7282981409121593e-07
HF_full_eq_sto3g,current_m3,18,-10.178508211340208,27.665804665342975,0.5913264902906566,0.0,0.5913264902906566,-0.012638960707963604
HF_full_eq_sto3g,current_m3,19,17.827463322291386,55.67177619897457,14.04028015547512,0.0,14.04028015547512,-3.5409228931312495
HF_full_stretch150_sto3g,yoshida4,1,-37.099293777765546,0.1751910263264449,-0.009447145136530704,0.0,0.009447145136530704,-0.0005094356320761149
HF_full_stretch150_sto3g,yoshida4,2,-36.63742481906293,0.6370599850290617,-0.2567513082970259,0.0,0.2567513082970259,-0.10347727978743983
HF_full_stretch150_sto3g,yoshida4,3,-36.5868518204804,0.6876329836115929,1.9557547567055793e-14,0.0,1.9557547567055793e-14,-5.562526463298661e-28
HF_full_stretch150_sto3g,yoshida4,4,-36.47931108028391,0.7951737238080838,-0.0014671307274719521,0.0,0.0014671307274719521,-2.706921150744515e-06
HF_full_stretch150_sto3g,yoshida4,5,-36.479311080283885,0.7951737238081051,0.0004781556739052398,0.0,0.0004781556739052398,-2.875256584093927e-07
HF_full_stretch150_sto3g,yoshida4,6,-36.45530889565574,0.8191759084362502,-0.4491325944048544,0.0,0.4491325944048544,-0.24624758282003809
HF_full_stretch150_sto3g,yoshida4,7,-36.36095851718717,0.9135262869048191,-1.349144337022361,0.0,1.349144337022361,-1.9924883040712686
