point_role,used_as_direct_truth,used_for_model_fit,used_for_cost_validation,source,time,signed_pf_eigenvalue_shift_hartree,committed_signed_shift_hartree,committed_shift_absolute_difference_hartree,ground_overlap_probability,adjacent_selected_vector_overlap_probability,phase_unwrap_integer,eigenpair_residual_2_norm,selected_phase_gap_radians,phase_gap_over_time_hartree,condition,formula,relative_to_t_ana,physical_excitation_gap_hartree,normalized_phase_gap_over_physical_gap,build_seconds
f05_diagnostic_only,False,False,False,reused_committed_point,0.14887081576026273,-1.999855001599826e-06,-1.9998549957362754e-06,5.863550849017057e-15,0.9999999270529485,0.9999999035907364,-1,5.6808228476323186e-15,0.08371389762419508,0.5623257802187739,HF_full_eq_sto3g,current_m3,0.5,0.562323966176848,1.000003225972989,0.02906958688981831
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.2233062236403941,4.98467091105681e-05,,,0.9998958134618787,0.9999011305989824,-1,6.4714001475346134e-15,0.1023603592438332,0.45838560867283024,HF_full_eq_sto3g,current_m3,0.75,0.562323966176848,0.8151628531668705,0.029103798093274236
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.25308038679244665,-1.9896838772126557e-05,,,0.9999983294016052,0.9998687120933489,-2,4.674029337510006e-15,0.14231444298810525,0.5623290085486494,HF_full_eq_sto3g,current_m3,0.85,0.562323966176848,1.0000089670227568,0.02903096005320549
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.2679674683684729,-1.935028636523839e-05,,,0.9999988733203222,0.9999999235600688,-2,3.345369608061905e-15,0.1506886997331034,0.5623395281918943,HF_full_eq_sto3g,current_m3,0.9,0.562323966176848,1.0000276744652234,0.028914693975821137
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.28285454994449916,-1.881719897056655e-05,,,0.9999987717136439,0.9999999946125475,-2,3.025777539338381e-15,0.15906018131008215,0.5623391292142638,HF_full_eq_sto3g,current_m3,0.95,0.562323966176848,1.0000269649496158,0.028965676901862025
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.29774163152052546,-1.628680620058276e-05,,,0.9999980233712908,0.9999999033289685,-2,3.066125955965728e-15,0.1674309296258578,0.5623363073911133,HF_full_eq_sto3g,current_m3,1.0,0.562323966176848,1.0000219468047027,0.029032429913058877
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.31262871309655177,-7.174537856258212e-06,,,0.9999948574218019,0.999999231181384,-2,4.289917237191913e-15,0.17579948930135972,0.5623267535476374,HF_full_eq_sto3g,current_m3,1.05,0.562323966176848,1.0000049568770977,0.029109870083630085
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.327515794672578,3.607009939088357e-05,,,0.99996492409854,0.9999865187813541,-2,4.937366794965826e-15,0.18415655928111205,0.5622829868868335,HF_full_eq_sto3g,current_m3,1.1,0.562323966176848,0.9999271251227418,0.029011420905590057
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.34240287624860427,-0.0002808853863811578,,,0.9995941843141504,0.9993215238350782,-2,4.591554222106764e-15,0.19263564452902188,0.5625993760319854,HF_full_eq_sto3g,current_m3,1.15,0.562323966176848,1.0004897707935336,0.02884498191997409
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.37217703940065683,-7.794360649882037e-05,,,0.9999857263934548,0.9997306641415598,-2,6.008212690350314e-15,0.20931062269481368,0.562395313348404,HF_full_eq_sto3g,current_m3,1.25,0.562323966176848,1.0001268791227966,0.02889044815674424
