point_index,time_hartree_inverse,maximum_ground_overlap_branch_index,continuous_branch_index,selection_rules_agree,maximum_ground_overlap_probability,continuous_branch_ground_overlap_probability,previous_branch_overlap_probability,ground_overlap_top_two_margin,selected_phase_gap_radians,oracle_effective_energy_hartree,continuous_effective_energy_hartree,effective_energy_difference_hartree,oracle_phase_unwrap_integer,continuous_phase_unwrap_integer,branch_warning
21,0.3504603297932982,1,1,True,0.9999999999523901,0.9999999999523901,0.9999999999914839,0.9999999999047796,0.124516277183187,-0.7735571033601067,-0.7735571033601067,0.0,0,0,False
22,0.40165977004930176,1,1,True,0.9999999998566436,0.9999999998566436,0.9999999999742639,0.9999999997132868,0.14271143116582963,-0.7735678728132664,-0.7735678728132664,0.0,0,0,False
23,0.46033903743459603,1,1,True,0.9999999995668654,0.9999999995668654,0.9999999999218776,0.9999999991337308,0.16356893024379424,-0.7735863479955394,-0.7735863479955394,0.0,0,0,False
24,0.5275908746355139,1,1,True,0.9999999986855739,0.9999999986855739,0.9999999997615099,0.9999999973711473,0.1874817288494679,-0.7736179846869885,-0.7736179846869885,0.0,0,0,False
25,0.6046676652709777,1,1,True,0.999999995988744,0.999999995988744,0.9999999992667035,0.9999999919774876,0.21490398233173413,-0.7736720279793063,-0.7736720279793063,0.0,0,0,False
26,0.6930047561509587,1,1,True,0.9999999876720609,0.9999999876720609,0.9999999977250182,0.9999999753441213,0.24636350060753862,-0.7737640503935813,-0.7737640503935813,0.0,0,0,False
27,0.7942471867296331,1,1,True,0.9999999617772318,0.9999999617772318,0.9999999928639434,0.9999999235544635,0.2824791476657513,-0.7739200694905005,-0.7739200694905005,0.0,0,0,False
28,0.9102803235170321,1,1,True,0.9999998802030503,0.9999998802030503,0.9999999773164702,0.9999997604061002,0.32398648746409914,-0.774183070247968,-0.774183070247968,0.0,0,0,False
29,1.0432649699322605,1,1,True,0.9999996196154588,0.9999996196154588,0.9999999267559965,0.9999992392309175,0.37177724794377875,-0.7746229738550231,-0.7746229738550231,0.0,0,0,False
30,1.1956776054243634,1,1,True,0.9999987735229031,0.9999987735229031,0.9999997592025119,0.9999975470458062,0.4269614449798441,-0.7753510348246173,-0.7753510348246173,0.0,0,0,False
31,1.3703565032056693,1,1,True,0.9999959752283278,0.9999959752283278,0.9999991923021933,0.9999919504566556,0.4909645683382255,-0.7765386706076488,-0.7765386706076488,0.0,0,0,False
32,1.5705545854156755,1,1,True,0.9999865296590622,0.9999865296590622,0.9999972310405202,0.9999730593181241,0.5656725609119942,-0.7784373701084314,-0.7784373701084314,0.0,0,0,False
33,1.8,1,1,True,0.9999539280911528,0.9999539280911528,0.9999902813706544,0.9999078561823057,0.6536231462204315,-0.7813875734832199,-0.7813875734832199,0.0,0,0,False
