condition,evaluation_group,strategy,selected_formula,selected_time,rotations,predicted_error_hartree,direct_error_hartree,predicted_cost,stored_budget_gamma_1_01,recomputed_budget_gamma_1_01,stored_s4_beta,practical_cost_beta,stored_phase_error_hartree,protocol_beta_phase_error_hartree,consistent_phase_error_hartree,cost_identity_phase_error_hartree,stored_energy_margin_hartree,consistent_energy_margin_hartree,stored_success,consistent_success,stored_phase_matches_protocol_beta,consistent_phase_matches_cost_identity,direct_cost_matches_practical_beta,success_changed,joint_formula_time_selection_regret
N2_active_stretch150_sto3g,primary,diagnostic_record_only,current_m3,0.8303584711475099,18952,2.8064634326220847e-05,8.568591745727244e-06,208603332.59679866,210689365.92276666,210689365.92276666,0.105,1.2,1.1374599394922454e-05,1.1374599394922454e-05,0.00012999542165625661,0.0001299954216562566,0.00013941681905839032,2.0795996797056158e-05,True,True,True,True,True,False,0.22759988252141805
N2_active_stretch150_sto3g,primary,universal_fallback,current_m3,0.4754414378170683,18952,2.328770968806021e-06,9.442286161720209e-07,304616346.6069018,307662510.07297087,307662510.07297087,0.105,1.2,1.3604191517470765e-05,1.3604191517470765e-05,0.00015547647448538017,0.00015547647448538017,0.00014481159006539724,2.9393070974878272e-06,True,True,True,True,True,False,1.0408148713818344
N2_active_stretch150_sto3g,primary,state_targeted_fallback,current_m3,0.8303584711475099,18952,2.8064634326220847e-05,8.568591745727244e-06,208603332.59679866,210689365.92276666,210689365.92276666,0.105,1.2,1.1374599394922454e-05,1.1374599394922454e-05,0.00012999542165625661,0.0001299954216562566,0.00013941681905839032,2.0795996797056158e-05,True,True,True,True,True,False,0.22759988252141805
N2_active_stretch150_sto3g,primary,equal_cost_extra_points,current_m3,0.850945085404989,18952,2.8768373518862256e-05,9.432357659421928e-06,204653602.80348065,206700138.83151546,206700138.83151546,0.105,1.2,1.1313631890609461e-05,1.1313631890609461e-05,0.00012929865017839384,0.0001292986501783938,0.0001386140206490086,2.0629002361224235e-05,True,True,True,True,True,False,0.2048023605728535
CO_active_eq_sto3g,primary,practical_baseline,current_m3,0.6127481451622522,37936,2.97567078775186e-05,1.998541374786822e-05,573237653.784658,578970030.3225045,578970030.3225045,0.105,1.2,1.1228008864488242e-05,1.1228008864488242e-05,0.00012832010130843703,0.00012832010130843705,0.00012814658758668354,1.1054495142734762e-05,True,True,True,True,True,False,0.031842958597858795
CO_active_eq_sto3g,primary,fixed_current_m3,current_m3,0.6127481451622522,37936,2.97567078775186e-05,1.998541374786822e-05,573237653.784658,578970030.3225045,578970030.3225045,0.105,1.2,1.1228008864488242e-05,1.1228008864488242e-05,0.00012832010130843703,0.00012832010130843705,0.00012814658758668354,1.1054495142734762e-05,True,True,True,True,True,False,0.031842958597858795
CO_active_eq_sto3g,primary,fixed_yoshida4,yoshida4,0.1548170562148919,16336,3.1905224244403225e-05,3.056082231196442e-05,993463733.0374541,1003398370.3678287,1003398370.3678287,0.105,1.2,1.1041875020822492e-05,1.1041875020822492e-05,0.00012619285738082848,0.0001261928573808285,0.00011775731286625312,2.6063305062471213e-06,True,True,True,True,True,False,0.9030118437582915
CO_active_eq_sto3g,primary,diagnostic_record_only,current_m3,0.6127481451622522,37936,2.97567078775186e-05,1.998541374786822e-05,573237653.784658,578970030.3225045,578970030.3225045,0.105,1.2,1.1228008864488242e-05,1.1228008864488242e-05,0.00012832010130843703,0.00012832010130843705,0.00012814658758668354,1.1054495142734762e-05,True,True,True,True,True,False,0.031842958597858795
CO_active_eq_sto3g,primary,universal_fallback,current_m3,0.3273402132390898,37936,2.1153981679242776e-06,1.6629290885503798e-06,884418153.6549133,893262335.1914624,893262335.1914624,0.105,1.2,1.362267678487389e-05,1.362267678487389e-05,0.00015568773468427303,0.000155687734684273,0.00014407440432561574,2.0093464262165982e-06,True,True,True,True,True,False,0.7070892096639163
CO_active_eq_sto3g,primary,state_targeted_fallback,current_m3,0.6127481451622522,37936,2.97567078775186e-05,1.998541374786822e-05,573237653.784658,578970030.3225045,578970030.3225045,0.105,1.2,1.1228008864488242e-05,1.1228008864488242e-05,0.00012832010130843703,0.00012832010130843705,0.00012814658758668354,1.1054495142734762e-05,True,True,True,True,True,False,0.031842958597858795
