system_id,formula_id,method_id,point_count,indices_json,times_json,orders_json,fixed_a4,scaled_design_condition_number,maximum_training_residual_hartree,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree
H4,current_m3,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-1.2874212807516101e-05,4.345901715382043e-07,8.83502419910412e-09
H4,current_m3,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,1.3270359162577907e-13,-1.2874212807516101e-05,4.345341616527263e-07,8.964859335240797e-09
H4,current_m3,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,2.4061492730854733e-13,-1.2874212807516101e-05,4.345139730064768e-07,9.010045261428435e-09
H4,current_m3,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,1.4167428899781224e-14,-1.2874212201386441e-05,4.3467631178502737e-07,8.035733494487067e-09
H4,two_term_center,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,4.235164736271502e-22,-2.1889643366908783e-05,5.931846455575759e-07,9.159513324368078e-10
H4,two_term_center,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,3.102770814834377e-14,-2.188965131742154e-05,5.932294598796432e-07,8.546755209599108e-10
H4,two_term_center,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-2.1889670739577453e-05,5.933885483987871e-07,5.902296906102068e-10
H4,two_term_center,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,7.271918374944118e-14,-2.1889670739577453e-05,5.933578559879628e-07,6.613770122610942e-10
H4,two_term_center,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,1.291442801426546e-13,-2.1889670739577453e-05,5.933469931772767e-07,6.856924784478517e-10
H4,two_term_center,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,1.4411137182969284e-14,-2.1889668924981924e-05,5.934100373424778e-07,3.004343910207836e-10
H4,m5_best,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,5.293955920339377e-23,-1.1306399599108764e-06,5.699208401539748e-08,2.3408673035956486e-09
H4,m5_best,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,1.0676726964202402e-14,-1.1306427247732767e-06,5.7007685663244505e-08,2.3195175365281253e-09
H4,m5_best,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-1.1306501269234173e-06,5.706832749822035e-08,2.2187062204474627e-09
