system_id,formula_id,method_id,estimate_state_id,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree,reference_a4_hartree,reference_a6_hartree,reference_a8_hartree,a6_relative_error,a8_relative_error,a6_sign_matches_reference,a8_sign_matches_reference,reference_three_term_tstar_hartree_inverse,reference_shift_at_tstar_hartree,higher_order_coefficient_residual_at_tstar_hartree,higher_order_residual_over_epsilon,full_coefficient_residual_at_tstar_hartree,full_residual_over_epsilon,meets_higher_order_residual_threshold,direct_point_count,direct_times_json,maximum_direct_training_time_hartree_inverse,tstar_to_maximum_training_time_ratio,scaled_design_condition_number,maximum_training_residual_hartree,online_evaluation_seconds,requires_exact_state,requires_exact_a4,requires_dense_d6_d8,requires_direct_pf_eigenvalues,acquisition_scope
H2,current_m3,direct_free_5_tail,direct_pf_branch,-2.738411224069454e-06,3.6226887061878825e-08,2.0557000793905493e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,9.394762360924679e-05,0.04791067545992272,True,True,1.879363470925947,-3.253497719773352e-05,1.3127196716439724e-09,8.237447211533125e-06,1.318172655051095e-09,8.27166522771116e-06,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.862542718971755,115.5597404166589,4.96473883063666e-16,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,current_m3,direct_fixed_a4_2_tail,direct_pf_branch,-2.738411661179765e-06,3.6230701412847024e-08,1.9907456408790313e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,1.1333092685129247e-05,0.014799595581526995,True,True,1.879363470925947,-3.253497719773352e-05,4.699183142261285e-10,2.9487844136003907e-06,4.699183142261285e-10,2.9487844136003907e-06,True,2,"[0.3931379077393266, 0.65653639279173]",0.65653639279173,2.862542718971755,67.7000299710837,0.0,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,current_m3,direct_fixed_a4_3_tail,direct_pf_branch,-2.738411661179765e-06,3.6229776132104544e-08,2.012194345896154e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,1.4205778843427338e-05,0.02573325618093566,True,True,1.879363470925947,-3.253497719773352e-05,7.62949313000474e-10,4.787583234009293e-06,7.62949313000474e-10,4.787583234009293e-06,True,3,"[0.3931379077393266, 0.5080446277807349, 0.65653639279173]",0.65653639279173,2.862542718971755,22.621806544636392,2.192257255986833e-15,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,current_m3,direct_fixed_a4_5_tail,direct_pf_branch,-2.738411661179765e-06,3.6229532237660085e-08,2.0176691671621952e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,2.0937561531234918e-05,0.02852409308775744,True,True,1.879363470925947,-3.253497719773352e-05,8.374060808763087e-10,5.254806898106946e-06,8.374060808763087e-10,5.254806898106946e-06,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.862542718971755,15.991232488996264,2.780318641115179e-15,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,current_m3,direct_order12_16,direct_pf_branch,-2.7384097483853527e-06,3.620162578318612e-08,3.565861213030569e-10,-2.738411661179765e-06,3.623029081160325e-08,1.9617130806385887e-10,0.0007911895757665303,0.8177282132766266,True,True,1.879363470925947,-3.253497719773352e-05,2.370191123235213e-08,0.00014873186317413344,2.3725773483893185e-08,0.00014888160118877873,True,16,"[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.862542718971755,6784.797330107626,2.091638232396721e-15,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,two_term_center,bch_exact_d8_diagonal,exact,-4.656046198994233e-06,4.970530557454585e-08,1.9396775078363427e-10,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,5.777997043951417e-14,14.66307310611184,True,False,1.6340495019241474,-3.22499135979635e-05,1.0581026667502674e-08,6.639700044124629e-05,1.0581026667544946e-08,6.639700044151155e-05,True,0,[],,,,,0.0002613188698887825,True,False,True,False,stored dense D6/D8 expectations; omits D4 response mixing
H2,two_term_center,bch_exact_response,exact,-4.656046198994233e-06,4.970530557454585e-08,-1.4196495127845687e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,5.777997043951417e-14,6.795334909749699e-12,True,True,1.6340495019241474,-3.22499135979635e-05,5.957638470315907e-20,3.73847771650795e-16,1.0184900602372758e-19,6.391126976994955e-16,True,0,[],,,,,0.0002613188698887825,True,False,True,False,H04 compact D4 action + stored dense D6/D8 + projected response
H2,two_term_center,bch_hf_response,hf,-9.6878445624128e-06,-1.360589323017241e-07,-6.132233999244469e-09,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,3.7373120581197656,430.95408049517374,False,True,1.6340495019241474,-3.22499135979635e-05,-3.847315673899417e-06,0.024142290585286327,-3.972166768072354e-05,0.2492574368633093,True,0,[],,,,,0.00025168689899146557,False,False,True,False,HF state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,two_term_center,bch_cisd_response,cisd,-4.656046198994236e-06,4.9705305574545765e-08,-1.419649512785003e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,5.604923399777757e-14,6.4894355890535705e-12,True,True,1.6340495019241474,-3.22499135979635e-05,5.771798004074075e-20,3.621860965536537e-16,7.583481774955583e-20,4.758710648602398e-16,True,0,[],,,,,0.000249277800321579,False,False,True,False,CISD state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,two_term_center,direct_free_3_tail,direct_pf_branch,-4.656045965254312e-06,4.9703866317800154e-08,-1.0968863576032738e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,2.8955797096285505e-05,0.2273541126046425,True,True,1.6340495019241474,-3.22499135979635e-05,1.3666242890203035e-10,8.575704076031341e-07,1.383288844724315e-10,8.680275829529583e-07,True,3,"[0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.4888940199884844,238.70602739061877,2.117582368135751e-22,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
