rank,candidate,conditions_present,expected_conditions,passed_conditions,all_passed,boundary_optimum_count,worst_eta_star,worst_eta_min,worst_eta_t,worst_maximum_unseen_residual_over_epsilon,worst_normalized_metric,robust_worst_normalized_metric,median_predicted_cost,stored_passed_conditions,stored_worst_normalized_metric,stored_robust_worst_normalized_metric,summary_reproduction_pass
19,joint_refine_r2_s0051,7,7,6,False,0,0.013514261436431526,0.0011056817473407143,0.02564102564102555,0.019048334593587825,1.3514261436431525,1.930608776633075,204085906.912316,6,1.3514261436431525,1.930608776633075,True
20,joint_refine_r0_s0063,7,7,6,False,0,0.013517618091121774,0.001103976856034583,0.02564102564102555,0.019044755056516365,1.3517618091121772,1.931088298731682,204243056.8178114,6,1.3517618091121772,1.931088298731682,True
21,joint_refine_r0_s0087,7,7,6,False,0,0.013520435734218624,0.0011041257621464684,0.02564102564102555,0.019049453543082892,1.3520435734218623,1.9314908191740892,204245351.72276688,6,1.3520435734218623,1.9314908191740892,True
22,joint_refine_r3_s0068,7,7,6,False,0,0.013523879490209608,0.0011892804493027764,0.02564102564102555,0.01916224051733483,1.3523879490209607,1.9319827843156583,198172252.1155433,6,1.3523879490209607,1.9319827843156583,True
23,joint_refine_r0_s0061,7,7,6,False,0,0.013530155163558872,0.0011125283435218236,0.025641025641025772,0.019073650796072674,1.3530155163558872,1.9328793090798388,203816953.48742372,6,1.3530155163558872,1.9328793090798388,True
24,joint_refine_r0_s0040,7,7,6,False,0,0.013532708578539906,0.001110267409345056,0.025641025641025772,0.019072778021773897,1.3532708578539905,1.933244082648558,204012520.8518613,6,1.3532708578539905,1.933244082648558,True
25,joint_refine_r2_s0078,7,7,6,False,0,0.013540075453526415,0.0010984468008554682,0.025641025641025772,0.01904973885793284,1.3540075453526415,1.9342964933609164,204664805.62118465,6,1.3540075453526415,1.9342964933609164,True
26,joint_refine_r1_s0004,7,7,6,False,0,0.01354690673160759,0.0011187073606186981,0.025641025641025772,0.019106269473530807,1.3546906731607589,1.9352723902296556,203467560.80086696,6,1.3546906731607589,1.9352723902296556,True
27,joint_refine_r2_s0077,7,7,6,False,0,0.013556350071011155,0.0010684185092990628,0.02564102564102555,0.019017368964219006,1.3556350071011154,1.9366214387158793,206731555.07593453,6,1.3556350071011154,1.9366214387158793,True
28,joint_refine_r1_s0071,7,7,6,False,0,0.013557007126372925,0.0011118492032387017,0.02564102564102555,0.01910584390385019,1.3557007126372924,1.9367153037675606,204046051.76738963,6,1.3557007126372924,1.9367153037675606,True
29,refinement_center,7,7,6,False,0,0.014026291995586505,0.0011958605314277282,0.025641025641025772,0.019747978530252747,1.4026291995586504,2.003755999369501,204090653.40954667,6,1.4026291995586504,2.003755999369501,True
30,two_term_center,7,7,3,False,1,0.5507734956308245,0.585190970584601,0.25,0.6763667471956316,100.0,100.0,92861008.27238697,3,100.0,100.0,True
31,current_m3,7,7,3,False,2,0.5628715205502233,1.2275544041138096,0.16666666666666663,1.591301516340573,,,,3,,,True
