system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
H2_stored,two_term_center,exact_ground,1,0.27,-4.656048199261145e-06,4.974817523458427e-08,17.3589273424777,-2.4724875648259187e-08,-2.4724876261598918e-08,-2.4724876261598918e-08,-2.4724879588156057e-08,6.133397301716686e-16,0.0,3.326557139198134e-15,3.9398968693698024e-15,0.0,0.0
H2_stored,two_term_center,exact_ground,1,0.4,-4.656048199261145e-06,4.974817523458427e-08,17.3589273424777,-1.1899106537532449e-07,-1.1899106533430626e-07,-1.1899106533430626e-07,-1.1899119678471237e-07,-4.1018232215279536e-17,0.0,1.3145040611561853e-13,1.3140938788340325e-13,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.05,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-6.262227491780131e-09,-6.262294016678993e-09,-6.262294016678993e-09,-6.262292462366759e-09,6.652489886239402e-14,0.0,-1.5543122344752192e-15,6.49705866279188e-14,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.08,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-4.102674938338318e-08,-4.102715320253303e-08,-4.102715320253303e-08,-4.1027151898020975e-08,4.0381914984628264e-13,0.0,-1.304512053934559e-15,4.025146377923481e-13,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.12,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-2.0755892372177313e-07,-2.0756061915501908e-07,-2.0756061915501908e-07,-2.0756062701909883e-07,1.6954332459516586e-12,0.0,7.864079748938266e-15,1.7032973257005968e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.18,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-1.0491838110596098e-06,-1.049188894714565e-06,-1.049188894714565e-06,-1.0491891466735126e-06,5.083654955218917e-12,0.0,2.519589475565156e-13,5.3356139027754324e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.27,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-5.2934589471536396e-06,-5.29345735989362e-06,-5.29345735989362e-06,-5.2934638906654286e-06,-1.5872600195665303e-12,0.0,6.530771808557095e-12,4.9435117889905645e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,-1,-0.4,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-2.5312248660071193e-05,-2.5312248766590217e-05,-2.5312248766590217e-05,-2.5312401415678032e-05,1.0651902469338385e-13,0.0,1.5264908781453812e-10,1.527556068392315e-10,0.0,0.0
H2_stored,yoshida4,exact_ground,1,0.05,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-6.262227491780131e-09,-6.262294016678993e-09,-6.262294016678993e-09,-6.262292462366759e-09,6.652489886239402e-14,0.0,-1.5543122344752192e-15,6.49705866279188e-14,0.0,0.0
H2_stored,yoshida4,exact_ground,1,0.08,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-4.102674938338318e-08,-4.102715320253303e-08,-4.102715320253303e-08,-4.1027151898020975e-08,4.0381914984628264e-13,0.0,-1.304512053934559e-15,4.025146377923481e-13,0.0,0.0
