system_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,direct_shift_hartree,unitarity_residual_frobenius
two_level_commuting,yoshida4,real_q001,1,0.12,0.12,0.9999999999999991,-5.003685938654834e-17,0.9999999999999991,-5.003685938654838e-17,-5.003685938654838e-17,0,-4.1697382822123615e-16,-4.1697382822123654e-16,-4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,complex_q001,1,0.12,0.12,0.9999999999999992,-4.163336342344337e-17,0.9999999999999992,-4.16333634234434e-17,-4.16333634234434e-17,0,-3.469446951953614e-16,-3.4694469519536167e-16,-4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,exact_ground,1,0.18,0.18,0.9999999999999993,-5.887846720064157e-17,0.9999999999999993,-5.887846720064161e-17,-5.887846720064161e-17,0,-3.2710259555911987e-16,-3.2710259555912006e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,real_q001,1,0.18,0.18,0.9999999999999992,-5.3795342177913215e-17,0.9999999999999992,-5.379534217791326e-17,-5.379534217791326e-17,0,-2.988630120995179e-16,-2.988630120995181e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,complex_q001,1,0.18,0.18,0.9999999999999993,-4.85722573273506e-17,0.9999999999999993,-4.857225732735063e-17,-4.857225732735063e-17,0,-2.698458740408367e-16,-2.6984587404083683e-16,-4.440892098500626e-16,1.2560739669470201e-15
two_level_commuting,yoshida4,exact_ground,1,0.27,0.27,0.9999999999999992,-3.925231146709435e-17,0.9999999999999992,-3.925231146709438e-17,-3.925231146709438e-17,0,-1.453789313596087e-16,-1.453789313596088e-16,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,real_q001,1,0.27,0.27,0.9999999999999991,-8.533393338233849e-17,0.9999999999999991,-8.533393338233856e-17,-8.533393338233856e-17,0,-3.1605160511977214e-16,-3.1605160511977244e-16,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,complex_q001,1,0.27,0.27,0.9999999999999992,-9.020562075079397e-17,0.9999999999999992,-9.020562075079404e-17,-9.020562075079404e-17,0,-3.3409489166960727e-16,-3.3409489166960757e-16,0.0,1.5700924586837751e-15
two_level_commuting,yoshida4,exact_ground,1,0.4,0.4,0.9999999999999993,1.962615573354719e-16,0.9999999999999993,1.9626155733547201e-16,1.9626155733547201e-16,0,4.906538933386797e-16,4.9065389333868e-16,4.440892098500626e-16,1.88411095042053e-15
two_level_commuting,yoshida4,real_q001,1,0.4,0.4,0.9999999999999992,2.0014743754619343e-16,0.9999999999999992,2.0014743754619358e-16,2.0014743754619358e-16,0,5.003685938654836e-16,5.00368593865484e-16,4.440892098500626e-16,1.88411095042053e-15
