system_id,formula_id,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm
two_level_commuting,m5_best,-1,0.18,-0.18,1,0.25455844122715715,0.25455844122715715,0,-2.220446049250313e-16,1.0,0.9999999999999998,0.9999999999999998,1.3018518929051675e-16
two_level_commuting,m5_best,-1,0.27,-0.27,1,0.3818376618407357,0.3818376618407357,0,0.0,1.0,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16
two_level_commuting,m5_best,-1,0.4,-0.4,1,0.5656854249492381,0.5656854249492381,0,0.0,1.0,0.9999999999999998,0.9999999999999998,2.0955000055363631e-16
two_level_commuting,m5_best,1,0.05,0.05,1,-0.07071067811865478,-0.07071067811865478,0,-4.440892098500626e-16,0.9999999999999998,1.0,1.0,1.1424507409576203e-16
two_level_commuting,m5_best,1,0.08,0.08,1,-0.11313708498984756,-0.11313708498984756,0,6.661338147750939e-16,1.0,1.0000000000000004,1.0000000000000004,2.237726045655905e-16
two_level_commuting,m5_best,1,0.12,0.12,1,-0.16970562748477142,-0.16970562748477142,0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.6653345369377348e-16
two_level_commuting,m5_best,1,0.18,0.18,1,-0.25455844122715715,-0.25455844122715715,0,-2.220446049250313e-16,1.0,0.9999999999999998,0.9999999999999998,1.3018518929051675e-16
two_level_commuting,m5_best,1,0.27,0.27,1,-0.3818376618407357,-0.3818376618407357,0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16
two_level_commuting,m5_best,1,0.4,0.4,1,-0.5656854249492381,-0.5656854249492381,0,0.0,1.0,0.9999999999999998,0.9999999999999998,2.0955000055363631e-16
two_level_noncommuting,m5_best,-1,0.05,-0.05,1,0.07071067814436563,0.07071067814436563,0,-5.142173353789303e-10,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.1443916996305594e-16
two_level_noncommuting,m5_best,-1,0.08,-0.08,1,0.11313708525928391,0.11313708525928391,0,-3.3679536937114563e-09,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.3597399555105182e-16
two_level_noncommuting,m5_best,-1,0.12,-0.12,1,0.16970562952828952,0.16970562952828952,0,-1.702931751168535e-08,0.9999999999999816,0.9999999999999885,0.9999999999999885,1.2177709378935645e-16
two_level_noncommuting,m5_best,-1,0.18,-0.18,1,0.25455845670209826,0.25455845670209826,0,-8.597189515846537e-08,0.9999999999995228,0.999999999999692,0.999999999999692,1.2412670766236366e-16
two_level_noncommuting,m5_best,-1,0.27,-0.27,1,0.3818377786159399,0.3818377786159399,0,-4.3250075631995344e-07,0.99999999998754,0.9999999999919387,0.9999999999919387,2.7755575615628914e-17
