dataset,condition,formula,target_name,target_error_hartree,source_status,analysis_status,model_name,formal_order,rotations,alpha,source_analytic_time_ca_div_10,target_analytic_time,saved_direct_point_count,model_time,model_relative_to_target_t_ana,model_signed_shift_hartree,model_absolute_error_hartree,model_cost,model_optimum_at_search_boundary,model_status,nearest_direct_time,nearest_direct_time_relative_mismatch,model_time_direct_point_covered,nearest_direct_error_hartree,nearest_direct_cost,direct_grid_status,direct_grid_minimum_time,direct_grid_minimum_cost,direct_grid_minimum_error_hartree,direct_grid_minimum_bracketed,direct_grid_minimum_lower_gap_fraction,direct_grid_minimum_upper_gap_fraction,feasible_saved_point_count,local_unseen_point_count,local_unseen_coverage,full_existing_curve_coverage,check_eta_star,check_eta_min,check_eta_t,check_maximum_local_unseen_residual_over_target_error,fixed_model_passed,maximum_local_unseen_residual_over_target_error,eta_star,eta_min,eta_t
p03,CO_active_eq_sto3g,yoshida6_m3,CA_div_10,0.00015936001019904,complete,validated_existing_curve,three_term_5point,6,37936,0.006019604148441528,0.39471675580435694,0.39471675580435694,28,0.39860471584902984,1.00985,2.30659945752623e-05,2.30659945752623e-05,837941235.6644785,False,complete,0.3986047158490299,2.220446049250313e-16,True,2.3067278474751862e-05,837949129.2059106,complete,0.3986047158490299,837949129.2059106,2.3067278474751862e-05,True,0.010000000000000064,0.010000000000000064,28,22,True,True,True,True,True,True,True,2.5249649148790137e-05,9.42007236107928e-06,0.0,1.1102230246251565e-16
p03,CO_active_eq_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,37936,0.006019604148441528,0.39471675580435694,0.2689173952537964,28,0.27014096940220117,1.00455,2.2895498966342934e-06,2.2895498966342934e-06,12348738802.410492,False,complete,0.3388140084716754,0.2542118628708625,False,8.808561974826598e-06,18851152755.555,complete,0.19735837790217847,14800701782.954048,3.514280234311226e-07,False,0.19999999999999996,0.7167450000000002,10,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,37712,2.808352033670854e-05,1.0321419969072012,1.8354368613365335,51,1.9485915438379307,1.06165,-0.00034333391588074486,0.00034333391588074486,18575371.660893638,False,complete,1.2059547091863736,0.3811146758796178,False,5.556233190532155e-05,24398482.34172712,complete,1.2059547091863736,24398482.34172712,5.556233190532155e-05,False,9.842519685012826e-05,,51,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,current_m3,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,37712,2.808352033670854e-05,1.0321419969072012,1.0321419969072012,51,1.0486562688577163,1.016,-3.246823425291773e-05,3.246823425291773e-05,340090247.4467923,False,complete,1.0486562688577163,0.0,True,3.231314134628838e-05,339675081.09543616,complete,1.080115956923448,339228616.38816804,3.585119713500948e-05,True,9.842519685029806e-05,0.009609357082791767,51,45,True,True,True,True,True,True,True,0.0036993605230279543,0.0012222455354018221,0.0013161174668037123,0.029126213592233108
p03,CO_active_stretch150_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,37712,2.808352033670854e-05,1.0321419969072012,0.5804160983254087,51,0.5832020955973707,1.0048,-3.2048693123956627e-06,3.2048693123956627e-06,6095014235.689613,False,complete,0.5160709984536006,0.11510777764782909,False,1.9709309316291385e-06,6279256701.329398,complete,0.5160709984536006,6279256701.329398,1.9709309316291385e-06,False,0.19999999999999996,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,two_term_center,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,37712,4.7744653910876424e-05,0.9039015866704302,1.6073895802775389,51,1.6277230584680498,1.01265,-0.00032343077390118254,0.00032343077390118254,21888634.742749617,False,complete,1.0436967463109124,0.3587995569140616,False,5.593714440998993e-05,28198456.005091667,complete,1.0436967463109124,28198456.005091667,5.593714440998993e-05,False,0.00019919326726757349,,51,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,two_term_center,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,37712,4.7744653910876424e-05,0.9039015866704302,0.9039015866704302,51,0.9073816077791113,1.00385,-3.201531532722738e-05,3.201531532722738e-05,391642651.366852,False,complete,0.9073816077791115,2.220446049250313e-16,True,3.205533005980538e-05,391765753.48645544,complete,0.9073816077791115,391765753.48645544,3.205533005980538e-05,True,0.009802759376400958,0.0001992329531303964,51,44,True,True,True,True,True,True,True,0.0004599436327623591,0.0003142237893637405,0.0,2.220446049250313e-16
p03,CO_active_stretch150_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,37712,4.7744653910876424e-05,0.9039015866704302,0.5083012160899089,51,0.5089111775492168,1.0012,-3.1917694645090857e-06,3.1917694645090857e-06,6977585515.721255,False,complete,0.4519507933352151,0.11192598379997865,False,1.986752187262737e-06,7178254248.874483,complete,0.4519507933352151,7178254248.874483,1.986752187262737e-06,False,0.1999999999999999,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,16240,0.010278281415297352,0.23597837711864197,0.4196354892444811,74,0.4191109448829255,0.99875,-0.00031826409753985257,0.00031826409753985257,36459746.77410295,False,complete,0.27130728990301667,0.3526599741297529,False,5.588907395395118e-05,46712281.425304584,complete,0.27130728990301667,46712281.425304584,5.588907395395118e-05,False,0.0001500375093774022,,74,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,yoshida4,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,16240,0.010278281415297352,0.23597837711864197,0.23597837711864197,74,0.23588398576779454,0.9996,-3.185561274503737e-05,3.185561274503737e-05,647953216.6541957,False,complete,0.23588398576779454,0.0,True,3.189054138263575e-05,648130766.0179403,complete,0.23575419766037928,648130311.8576326,3.1820277138598044e-05,True,0.009306341023972752,0.0005505229968470463,74,67,True,True,True,True,True,True,True,0.0007469432614341264,0.00027394065064287033,7.0072375768504e-07,0.0005505229968469916
