system_id,state_id,formula_id,state_energy_error_hartree,state_energy_variance_hartree_squared,exact_state_overlap_probability,d4_expectation_hartree,absolute_d4_expectation_hartree,d4_spectral_norm_hartree,d4_frobenius_norm_hartree,centered_d4_action_norm_hartree,expectation_over_spectral_norm,centered_action_over_expectation,d4_state_variance_hartree_squared,d4_expectation_relative_error_vs_exact_state
H2,cisd,m5_best,2.220446049250313e-15,1.825249119546072e-32,1.0000000000000004,-2.404951309484251e-07,2.404951309484251e-07,9.697393254640043e-06,1.3714185060377314e-05,9.694410659092605e-06,0.02479997713131332,40.31021593186267,9.398159802712832e-11,1.0125858738813212e-14
H4,exact,yoshida4,3.1086244689504383e-15,2.1397943833792425e-30,1.0,-0.004711578748179359,0.004711578748179359,0.012716348247951441,0.029269196238374234,0.0037714531094734647,0.3705135040587126,0.8004648358962108,1.4223858556957066e-05,0.0
H4,hf,yoshida4,0.06784151163704677,0.08001674461394703,0.9364638563852806,-0.0036120932903673797,0.0036120932903673797,0.012716348247951441,0.029269196238374234,0.004341776845440562,0.28405114581139873,1.2020112705890182,1.8851026175603795e-05,0.23335818344049555
H4,cisd,yoshida4,0.0013556073912417421,0.0036282414121280677,0.9994668439213916,-0.004666962108827896,0.004666962108827896,0.012716348247951441,0.029269196238374234,0.0038245390454171844,0.36700489934912933,0.819492199900829,1.4627098909920589e-05,0.009469573095579456
H4,exact,current_m3,3.1086244689504383e-15,2.1397943833792425e-30,1.0,-1.2874212807516118e-05,1.2874212807516118e-05,0.00021310985921438064,0.000501650569506032,0.00017176215533263534,0.06041115533075894,13.341565647598939,2.950223800451235e-08,0.0
H4,hf,current_m3,0.06784151163704677,0.08001674461394703,0.9364638563852806,-4.949721511948724e-05,4.949721511948724e-05,0.00021310985921438064,0.000501650569506032,0.00017850907232615446,0.2322614979051479,3.6064467848389063,3.186548890274424e-08,2.844678960921803
H4,cisd,current_m3,0.0013556073912417421,0.0036282414121280677,0.9994668439213916,-1.3583990899692943e-05,1.3583990899692943e-05,0.00021310985921438064,0.000501650569506032,0.00017160101808866467,0.06374172903013348,12.63259224448859,2.9446909409066217e-08,0.055131766329235145
H4,exact,two_term_center,3.1086244689504383e-15,2.1397943833792425e-30,1.0,-2.188967073957748e-05,2.188967073957748e-05,0.0001580265467301699,0.000381814871643235,0.00013000131016168017,0.13851894629422018,5.938934016336396,1.690034064375337e-08,0.0
H4,hf,two_term_center,0.06784151163704677,0.08001674461394703,0.9364638563852806,-4.786610277607295e-05,4.786610277607295e-05,0.0001580265467301699,0.000381814871643235,0.00013328767456466335,0.30289912528307195,2.7845942500940453,1.7765604190855606e-08,1.1866981621395039
H4,cisd,two_term_center,0.0013556073912417421,0.0036282414121280677,0.9994668439213916,-2.233478267881745e-05,2.233478267881745e-05,0.0001580265467301699,0.000381814871643235,0.00012989165843918767,0.1413356372138794,5.815666993813122,1.6871842932082595e-08,0.02033433689046724
H4,exact,m5_best,3.1086244689504383e-15,2.1397943833792425e-30,1.0,-1.1306501269234905e-06,1.1306501269234905e-06,9.643771173528438e-05,0.00022571837849465608,7.631173213026828e-05,0.011724149262552558,67.49367493365362,5.823480460721821e-09,0.0
H4,hf,m5_best,0.06784151163704677,0.08001674461394703,0.9364638563852806,-1.8025835901713805e-05,1.8025835901713805e-05,9.643771173528438e-05,0.00022571837849465608,7.999532816925423e-05,0.18691687699095993,4.437815178471068,6.3992525289066795e-09,14.942894687291346
H4,cisd,m5_best,0.0013556073912417421,0.0036282414121280677,0.9994668439213916,-1.4800743109027512e-06,1.4800743109027512e-06,9.643771173528438e-05,0.00022571837849465608,7.624196039964572e-05,0.015347464018697007,51.512251674135854,5.812836525581146e-09,0.3090471363851938
