system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H2,two_term_center,4,0.1,0.999,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
H2,two_term_center,4,0.2,0.995,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
H2,two_term_center,4,0.2,0.999,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
H2,two_term_center,4,0.3,0.995,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
H2,two_term_center,4,0.3,0.999,True,31,0,0.02,0.030108450502611094,4.010074087667637,4.644010157102545e-06,1.6185609040412947
H2,two_term_center,5,0.1,0.995,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,5,0.1,0.999,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,5,0.2,0.995,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,5,0.2,0.999,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,5,0.3,0.995,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,5,0.3,0.999,True,30,0,0.02,0.034507053373351075,4.00835707402445,4.64611303331161e-06,1.6183777288236272
H2,two_term_center,6,0.1,0.995,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
H2,two_term_center,6,0.1,0.999,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
H2,two_term_center,6,0.2,0.995,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
