system,formula,time_hartree_inverse,selection_rules_agree,ground_overlap_probability,previous_overlap_probability,phase_gap_radians
H2,yoshida4,4.870430875223203,True,0.5298838505514928,0.9998717343346742,1.0448950899680214
H2,yoshida4,4.913738293751982,True,0.519561732268452,0.9998931927167982,1.0077555830797977
H2,yoshida4,4.9570457122807605,True,0.5102000378137275,0.9999122809718548,0.9697036419452254
H2,yoshida4,5.000353130809539,True,0.5017799885283338,0.999929092592606,0.9308274424404823
H2,yoshida4,5.043660549338318,False,0.49427998309648846,0.9999437490452434,0.8912113175405079
H2,yoshida4,5.086967967867096,False,0.487677002199888,0.9999563864442499,0.8509358811268308
H2,yoshida4,5.1302753863958745,False,0.4819477478645738,0.9999671453302131,0.8100782390634773
H2,yoshida4,5.173582804924654,False,0.47706954765460124,0.9999761631257702,0.7687122636983714
H2,yoshida4,5.186672140722922,False,0.47575936477515396,0.9999982795927179,0.7561204632464285
H2,yoshida4,5.188183044859447,False,0.4756129832126505,0.9999999785216488,0.7546645056328543
H2,yoshida4,5.189693948995973,False,0.4754676030619724,0.9999999788139108,0.7532080443001377
H2,yoshida4,5.191204853132499,False,0.47532322348087847,0.9999999791039355,0.7517510821654221
H2,yoshida4,5.192715757269024,False,0.47517984363015275,0.9999999793917284,0.7502936221422485
H2,yoshida4,5.1942266614055495,False,0.475037462673622,0.9999999796772964,0.7488356671405687
H2,yoshida4,5.195737565542075,False,0.4748960797781808,0.999999979960645,0.7473772200667659
H2,yoshida4,5.1972484696786,False,0.4747556941138076,0.999999980241779,0.7459182838236766
H2,yoshida4,5.198759373815126,False,0.4746163048535875,0.9999999805207046,0.7444588613106049
H2,yoshida4,5.200270277951652,False,0.47447791117373117,0.9999999807974277,0.7429989554233485
H2,yoshida4,5.201781182088177,False,0.47434051225359414,0.9999999810719539,0.7415385690542062
H2,yoshida4,5.203292086224702,False,0.4742041072756963,0.999999981344288,0.7400777050920108
H2,yoshida4,5.204802990361228,False,0.47406869542574037,0.9999999816144364,0.7386163664221366
H2,yoshida4,5.206313894497754,False,0.47393427589263176,0.9999999818824047,0.7371545559265278
H2,yoshida4,5.207824798634279,False,0.4738008478684972,0.9999999821481983,0.7356922764837099
