condition,formula,state_method,model,grid,passed,budget_1_01_met,eta_star,eta_min,eta_t,maximum_unseen_residual_over_epsilon,predicted_time,direct_minimum_time,direct_minimum_cost
CO_active_eq_sto3g,yoshida4,exact_ground,echo_phase_5point,fine,True,True,1.529454400824475e-05,0.0,0.0,2.7107710264133017e-05,0.15652848718304763,0.15652848718304763,982805891.567614
CO_active_eq_sto3g,yoshida4,rhf_determinant,echo_imag_3point,coarse,False,True,0.03086388398776204,0.0017757735412962106,0.04761904761904767,0.04260037738555995,0.15152765205930543,0.15910403466227072,983483675.4008423
CO_active_eq_sto3g,yoshida4,rhf_determinant,echo_imag_5point,coarse,False,True,0.030867653951188005,0.0017757735412962106,0.04761904761904767,0.04260738642780861,0.15152765205930543,0.15910403466227072,983483675.4008423
CO_active_eq_sto3g,yoshida4,rhf_determinant,echo_phase_3point,coarse,False,True,0.030863883987767488,0.0017757735412962106,0.04761904761904767,0.04260037738556497,0.15152765205930543,0.15910403466227072,983483675.4008423
CO_active_eq_sto3g,yoshida4,rhf_determinant,echo_phase_5point,coarse,False,True,0.0308676539512871,0.0017757735412962106,0.04761904761904767,0.04260738642798822,0.15152765205930543,0.15910403466227072,983483675.4008423
CO_active_eq_sto3g,yoshida4,cisd,echo_imag_3point,fine,False,True,0.010547916330978655,0.00029137008580160106,0.00990099009901002,0.01243844104253522,0.15481458594345524,0.15636273180288981,982808459.4677472
CO_active_eq_sto3g,yoshida4,cisd,echo_imag_5point,fine,False,True,0.01054495930925599,0.00029137008580160106,0.00990099009901002,0.012434190877339555,0.15481458594345524,0.15636273180288981,982808459.4677472
CO_active_eq_sto3g,yoshida4,cisd,echo_phase_3point,fine,False,True,0.010547916330978655,0.00029137008580160106,0.00990099009901002,0.012438441042532583,0.15481458594345524,0.15636273180288981,982808459.4677472
CO_active_eq_sto3g,yoshida4,cisd,echo_phase_5point,fine,False,True,0.010544959309336263,0.00029137008580160106,0.00990099009901002,0.012434190877452194,0.15481458594345524,0.15636273180288981,982808459.4677472
CO_active_stretch150_sto3g,current_m3,exact_ground,echo_imag_3point,fine,True,True,0.0011745195001729098,0.002162330604246865,0.029126213592233108,0.0043196969591403015,1.0499464463538504,1.081444839744466,338578195.31175596
CO_active_stretch150_sto3g,current_m3,exact_ground,echo_imag_5point,fine,True,True,0.0009336235851834148,0.0024364290678169365,0.029126213592233108,0.004339493753995937,1.050307696052768,1.0818169269343512,338482010.43392205
CO_active_stretch150_sto3g,current_m3,exact_ground,echo_phase_3point,fine,True,True,0.0011745195089884377,0.002162330604246865,0.029126213592233108,0.004319696967529584,1.0499464463538504,1.081444839744466,338578195.31175596
CO_active_stretch150_sto3g,current_m3,exact_ground,echo_phase_5point,fine,True,True,0.0009336241332734042,0.0024364290678169365,0.029126213592233108,0.004339494279101562,1.050307696052768,1.0818169269343512,338482010.43392205
CO_active_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,False,,,0.17647058823529416,3.584417948783695,1.5595149502269356,1.3255877076928952,428386712.73242563
CO_active_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_5point,coarse,False,False,0.8975255445273933,3.3261947734416895,0.17647058823529416,3.455043632286454,1.5358272913979156,1.3054531976882282,417086627.0797229
CO_active_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,False,,,0.17647058823529416,3.584417948431019,1.5595149502269356,1.3255877076928952,428386712.73242563
CO_active_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_5point,coarse,False,False,0.897525543641226,3.3261947734416895,0.17647058823529416,3.455043611961329,1.5358272913979156,1.3054531976882282,417086627.0797229
CO_active_stretch150_sto3g,current_m3,cisd,echo_imag_3point,coarse,False,True,0.10264972181100622,0.06222602621315665,0.13043478260869557,0.17872130304816572,0.8643673153099357,0.994022412606426,341747623.16048926
CO_active_stretch150_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.104542778649219,0.0655135616936049,0.13043478260869568,0.18384443196897282,0.8563682148339049,0.9848234470589906,342587252.09266806
CO_active_stretch150_sto3g,current_m3,cisd,echo_phase_3point,coarse,False,True,0.10264972181558625,0.06222602621315665,0.13043478260869557,0.17872130305616218,0.8643673153099357,0.994022412606426,341747623.16048926
CO_active_stretch150_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.10454277895516688,0.0655135616936049,0.13043478260869568,0.18384443252840552,0.8563682148339049,0.9848234470589906,342587252.09266806
CO_active_stretch150_sto3g,yoshida4,exact_ground,echo_imag_3point,fine,True,True,0.0003956351148771445,0.0,0.0,0.0006852644230644366,0.23615536090148095,0.23615536090148095,647510050.095362
CO_active_stretch150_sto3g,yoshida4,exact_ground,echo_imag_5point,fine,True,True,0.00032518804297793725,0.0,0.0,0.0005829572909828398,0.2361317630637691,0.2361317630637691,647509834.1269277
CO_active_stretch150_sto3g,yoshida4,exact_ground,echo_phase_3point,fine,True,True,0.00039563511483572104,0.0,0.0,0.000685264423006522,0.23615536090148095,0.23615536090148095,647510050.095362
CO_active_stretch150_sto3g,yoshida4,exact_ground,echo_phase_5point,fine,True,True,0.00032518804202943236,0.0,0.0,0.0005829572896019465,0.2361317630637691,0.2361317630637691,647509834.1269277
CO_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_imag_3point,coarse,False,False,,,0.17647058823529416,2.3668253384464704,0.3914409319644033,0.3327247921697428,1778392345.3363843
CO_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_imag_5point,coarse,False,False,,,0.17647058823529416,2.3738144626573456,0.3916887092603779,0.33293540287132123,1794847604.7052
CO_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_phase_3point,coarse,False,False,,,0.17647058823529416,2.3668253384464437,0.3914409319644033,0.3327247921697428,1778392345.3363843
CO_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_phase_5point,coarse,False,False,,,0.17647058823529416,2.373814462656469,0.3916887092603779,0.33293540287132123,1794847604.7052
CO_active_stretch150_sto3g,yoshida4,cisd,echo_imag_3point,fine,False,True,0.010312001021871619,0.0004484315179003051,0.009900990099010132,0.014267085659083167,0.23265108200126916,0.23497759282128192,647538783.0733777
CO_active_stretch150_sto3g,yoshida4,cisd,echo_imag_5point,fine,False,True,0.010353367634502763,0.0004508267492537854,0.009900990099010132,0.014327686524658295,0.23263928308241322,0.23496567591323742,647539483.9723781
CO_active_stretch150_sto3g,yoshida4,cisd,echo_phase_3point,fine,False,True,0.010312001021932343,0.0004484315179003051,0.009900990099010132,0.01426708565916872,0.23265108200126916,0.23497759282128192,647538783.0733777
CO_active_stretch150_sto3g,yoshida4,cisd,echo_phase_5point,fine,False,True,0.010353367636612655,0.0004508267492537854,0.009900990099010132,0.014327686527713736,0.23263928308241322,0.23496567591323742,647539483.9723781
HF_full_eq_sto3g,current_m3,exact_ground,echo_imag_3point,coarse,False,False,0.023472518591959167,0.25531232418668215,0.13043478260869568,0.29919349962330977,0.27874571542951593,0.3205575727439433,222643427.1464433
HF_full_eq_sto3g,current_m3,exact_ground,echo_imag_5point,coarse,False,True,0.23765681678343642,0.0,0.0,1.3776252291540707,0.31867286821641844,0.31867286821641844,217857453.1696019
HF_full_eq_sto3g,current_m3,exact_ground,echo_phase_3point,coarse,False,False,0.023472522662429704,0.25531232418668215,0.13043478260869568,0.29919349291317693,0.27874571542951593,0.3205575727439433,222643427.1464433
HF_full_eq_sto3g,current_m3,exact_ground,echo_phase_5point,coarse,False,True,0.23765709210033814,0.0,0.0,1.3776254698952577,0.31867286821641844,0.31867286821641844,217857453.1696019
HF_full_eq_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,True,0.1335655157553285,0.14405844281804958,0.13043478260869568,0.34515925112687634,0.15490008379855336,0.17813509636833635,392474048.84299976
HF_full_eq_sto3g,current_m3,rhf_determinant,echo_imag_5point,fine,False,True,0.10737718063768922,0.04584111768897681,0.038461538461538436,0.9723398074709982,0.20414654965204831,0.21231241163813025,325340871.59085256
HF_full_eq_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,True,0.13356551595378938,0.14405844281804958,0.13043478260869568,0.3451592514946745,0.15490008379855336,0.17813509636833635,392474048.84299976
HF_full_eq_sto3g,current_m3,rhf_determinant,echo_phase_5point,fine,False,True,0.10737718464834937,0.04584111768897681,0.038461538461538436,0.9723398141795618,0.20414654965204831,0.21231241163813025,325340871.59085256
HF_full_eq_sto3g,current_m3,cisd,echo_imag_3point,coarse,False,False,0.023505178562231624,0.25531232418668215,0.13043478260869568,0.2991396826919606,0.27874571542951593,0.3205575727439433,222643427.1464433
HF_full_eq_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.23763455935627764,0.0,0.0,1.3776052451816698,0.31867286821641844,0.31867286821641844,217857453.1696019
HF_full_eq_sto3g,current_m3,cisd,echo_phase_3point,coarse,False,False,0.023505182632484845,0.25531232418668215,0.13043478260869568,0.29913967598173713,0.27874571542951593,0.3205575727439433,222643427.1464433
HF_full_eq_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.23763483466490914,0.0,0.0,1.377605485924279,0.31867286821641844,0.31867286821641844,217857453.1696019
HF_full_eq_sto3g,yoshida4,exact_ground,echo_imag_3point,fine,True,True,0.0018346987693001909,0.0,0.0,0.002637707416648644,0.0728083336299945,0.0728083336299945,523625805.00975406
HF_full_eq_sto3g,yoshida4,exact_ground,echo_imag_5point,fine,True,True,0.0013819640413735188,0.0,0.0,0.0020006747893462754,0.07275373932227681,0.07275373932227681,523620732.4713494
HF_full_eq_sto3g,yoshida4,exact_ground,echo_phase_3point,fine,True,True,0.0018346987689719034,0.0,0.0,0.0026377074161931936,0.0728083336299945,0.0728083336299945,523625805.00975406
HF_full_eq_sto3g,yoshida4,exact_ground,echo_phase_5point,fine,True,True,0.0013819640204400946,0.0,0.0,0.00200067475963277,0.07275373932227681,0.07275373932227681,523620732.4713494
HF_full_eq_sto3g,yoshida4,rhf_determinant,echo_imag_3point,coarse,False,True,0.07300180528741786,0.008960686187715616,0.04761904761904767,0.0812051617763367,0.06751268578137928,0.07088832007044825,524208750.1653063
HF_full_eq_sto3g,yoshida4,rhf_determinant,echo_imag_5point,coarse,False,True,0.07444437309885879,0.010598214590120003,0.09090909090909105,0.08512700186179234,0.06720218065623496,0.07392239872185846,524013294.29199094
HF_full_eq_sto3g,yoshida4,rhf_determinant,echo_phase_3point,coarse,False,True,0.07300180528785917,0.008960686187715616,0.04761904761904767,0.08120516177707701,0.06751268578137928,0.07088832007044825,524208750.1653063
HF_full_eq_sto3g,yoshida4,rhf_determinant,echo_phase_5point,coarse,False,True,0.07444437312505203,0.010598214590120003,0.09090909090909105,0.08512700190739987,0.06720218065623496,0.07392239872185846,524013294.29199094
HF_full_eq_sto3g,yoshida4,cisd,echo_imag_3point,fine,True,True,0.0018359023926045918,0.0,0.0,0.0026393827599057933,0.0728083336299945,0.0728083336299945,523625805.00975406
HF_full_eq_sto3g,yoshida4,cisd,echo_imag_5point,fine,True,True,0.0013817773384522567,0.0,0.0,0.0020003935372241597,0.07275373932227681,0.07275373932227681,523620732.4713494
HF_full_eq_sto3g,yoshida4,cisd,echo_phase_3point,fine,True,True,0.0018359023922720926,0.0,0.0,0.0026393827594442198,0.0728083336299945,0.0728083336299945,523625805.00975406
HF_full_eq_sto3g,yoshida4,cisd,echo_phase_5point,fine,True,True,0.0013817773175147346,0.0,0.0,0.002000393507505296,0.07275373932227681,0.07275373932227681,523620732.4713494
HF_full_stretch150_sto3g,current_m3,exact_ground,echo_imag_3point,fine,False,False,0.01889477995720576,0.18577244082850708,0.09090909090909094,0.5083701856103066,0.38259559527549974,0.42085515480304975,171682935.15613362
HF_full_stretch150_sto3g,current_m3,exact_ground,echo_imag_5point,coarse,False,True,0.04743008675077638,0.3141370596031312,0.13043478260869557,0.3331816978465194,0.37305799980828624,0.42901669977952916,160897085.67109486
HF_full_stretch150_sto3g,current_m3,exact_ground,echo_phase_3point,fine,False,False,0.018894792960626947,0.18577244082850708,0.09090909090909094,0.5083701793568194,0.38259559527549974,0.42085515480304975,171682935.15613362
HF_full_stretch150_sto3g,current_m3,exact_ground,echo_phase_5point,coarse,False,True,0.04743020905581406,0.3141370596031312,0.13043478260869557,0.3331819310017395,0.37305799980828624,0.42901669977952916,160897085.67109486
HF_full_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,True,0.10404883334752278,0.16307926325463828,0.13043478260869568,0.36467156067701123,0.22344340827832582,0.2569599195200747,276936997.28185934
HF_full_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_5point,coarse,False,True,0.09758469610156649,0.15655318358557535,0.13043478260869545,0.28993829916935404,0.25036703090391554,0.2879220855395028,246711435.4755166
HF_full_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,True,0.10404883624638749,0.16307926325463828,0.13043478260869568,0.36467156611888224,0.22344340827832582,0.2569599195200747,276936997.28185934
HF_full_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_5point,coarse,False,True,0.09758476606819722,0.15655318358557535,0.13043478260869545,0.2899384469992207,0.25036703090391554,0.2879220855395028,246711435.4755166
HF_full_stretch150_sto3g,current_m3,cisd,echo_imag_3point,fine,False,False,0.018916440456981664,0.18585701240947294,0.09090909090909105,0.5063542431565882,0.38261619483374426,0.42087781431711874,171657264.91416568
HF_full_stretch150_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.047474648504292866,0.3143247165899514,0.13043478260869557,0.33335472933251026,0.37307859936653076,0.42904038927151034,160860033.9862181
HF_full_stretch150_sto3g,current_m3,cisd,echo_phase_3point,fine,False,False,0.018916453465600225,0.18585701240947294,0.09090909090909105,0.5063542369001653,0.38261619483374426,0.42087781431711874,171657264.91416568
HF_full_stretch150_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.047474770856466966,0.3143247165899514,0.13043478260869557,0.33335496256393676,0.37307859936653076,0.42904038927151034,160860033.9862181
HF_full_stretch150_sto3g,yoshida4,exact_ground,echo_imag_3point,coarse,False,False,0.7204786636701533,0.6020431642209827,0.13043478260869557,1.5814173497317237,0.1700013709058758,0.19550157654175715,446929029.4311809
HF_full_stretch150_sto3g,yoshida4,exact_ground,echo_imag_5point,coarse,False,False,0.707224343567755,0.6020431642209827,0.13043478260869557,1.4890446399598198,0.1700013709058758,0.19550157654175715,446929029.4311809
HF_full_stretch150_sto3g,yoshida4,exact_ground,echo_phase_3point,coarse,False,False,0.7204786636590786,0.6020431642209827,0.13043478260869557,1.5814173496514365,0.1700013709058758,0.19550157654175715,446929029.4311809
HF_full_stretch150_sto3g,yoshida4,exact_ground,echo_phase_5point,coarse,False,False,0.7072243427911241,0.6020431642209827,0.13043478260869557,1.4890446347859783,0.1700013709058758,0.19550157654175715,446929029.4311809
