system_id,formula_id,degenerate_group_index,excited_energy_hartree,excitation_gap_hartree,state_count,first_state_index,last_state_index,squared_d4_coupling,mixing_contribution_hartree,absolute_mixing_share
H4,two_term_center,20,-0.14399057828486375,1.6909190569330883,1,21,21,2.3207010530226635e-09,-1.3724495229427747e-09,0.1696862844713639
H4,two_term_center,21,-0.08053792042241656,1.7543717147955356,1,22,22,3.7487045341817965e-41,-2.1367789406127605e-41,2.641860943576244e-33
H4,two_term_center,22,-0.050547185476518444,1.7843624497414337,1,23,23,6.665131879575793e-39,-3.735301580988558e-39,4.618235032053618e-31
H4,two_term_center,23,0.07234165859462317,1.9072512938125754,1,24,24,9.558079409683001e-39,-5.011442089823675e-39,6.196023779747005e-31
H4,two_term_center,24,0.07339260942198376,1.9083022446399358,1,25,25,6.220755738022354e-13,-3.2598377722896327e-13,4.0303832695659716e-05
H4,two_term_center,25,0.11442070813562433,1.9493303433535765,1,26,26,1.0615287788836574e-36,-5.445607423611082e-37,6.732815123290839e-29
H4,two_term_center,26,0.15305739017078104,1.9879670253887332,1,27,27,5.538549086514347e-10,-2.7860366976818047e-10,0.03444587270625659
H4,two_term_center,27,0.24490149864373725,2.0798111338616896,1,28,28,4.590974367886416e-09,-2.2073996494874627e-09,0.2729174651624228
H4,two_term_center,28,0.4760791285885283,2.3109887638064803,1,29,29,1.7820552235373276e-14,-7.711224093543688e-15,9.533967867567599e-07
H4,two_term_center,29,0.5392582979922533,2.3741679332102055,1,30,30,2.221591577537851e-38,-9.357348090090451e-39,1.1569195102404266e-30
H4,two_term_center,30,0.5810447925825365,2.4159544278004885,1,31,31,3.3560134354475154e-37,-1.389104610927147e-37,1.717454785986292e-29
H4,two_term_center,31,0.581467266408673,2.416376901626625,1,32,32,4.927674142098872e-09,-2.039282091623093e-09,0.25213182367140685
H4,two_term_center,32,0.8523222709984262,2.687231906216378,1,33,33,6.855493184380633e-10,-2.5511356755335515e-10,0.03154161422530372
H4,two_term_center,33,0.9853212346857831,2.8202308699037353,1,34,34,6.672560643474361e-38,-2.365962558129902e-38,2.925217933163769e-30
H4,two_term_center,34,1.0824414016901154,2.9173510369080677,1,35,35,1.8309859334893882e-09,-6.276193403965348e-10,0.07759731207156148
H4,m5_best,0,-1.602279420097768,0.23263021512018422,1,1,1,4.7864688335589975e-43,-2.0575439140982413e-42,7.213934969114413e-34
H4,m5_best,1,-1.3880163292143617,0.44689330600359045,1,2,2,1.0468063647293014e-15,-2.3424077977146768e-15,8.212693497366279e-07
H4,m5_best,2,-1.3181800727844573,0.5167295624334949,1,3,3,6.857658833648106e-15,-1.3271272503459125e-14,4.653028114800137e-06
H4,m5_best,3,-1.291660212963727,0.5432494222542252,1,4,4,1.8921643946506797e-43,-3.483049069429476e-43,1.221188491236207e-34
H4,m5_best,4,-1.1062134698360315,0.7286961653819206,1,5,5,3.101771074452654e-42,-4.256604085225245e-42,1.4924038728738163e-33
H4,m5_best,5,-1.0007975440348666,0.8341120911830855,1,6,6,6.168443122366164e-13,-7.395220843300551e-13,0.00025928312820089046
H4,m5_best,6,-0.953344752704397,0.8815648825135551,1,7,7,1.6538680434830044e-17,-1.876059353416422e-17,6.577633692778966e-09
H4,m5_best,7,-0.8831787619676617,0.9517308732502905,1,8,8,3.0034081309626326e-12,-3.1557325872024987e-12,0.0011064283735577676
H4,m5_best,8,-0.8153265384161082,1.0195830968018438,1,9,9,4.0037597536533455e-12,-3.9268596804047225e-12,0.0013767925035851505
H4,m5_best,9,-0.7905198429945312,1.0443897922234209,1,10,10,5.406014751999824e-46,-5.176242426202633e-46,1.814837388944005e-37
H4,m5_best,10,-0.7745036666381158,1.0604059685798364,1,11,11,6.2254387640164076e-43,-5.870806981927794e-43,2.05835800119053e-34
H4,m5_best,11,-0.6519625219697148,1.1829471132482374,1,12,12,5.019923118106029e-41,-4.2435735815119364e-41,1.4878352604734434e-32
H4,m5_best,12,-0.6124975827078092,1.222412052510143,1,13,13,1.0666457452383209e-41,-8.725746306640497e-42,3.0593255376851848e-33
H4,m5_best,13,-0.6117724713365257,1.2231371638814266,1,14,14,8.433049760393402e-11,-6.894606761544626e-11,0.024173114592889636
H4,m5_best,14,-0.448057410146619,1.386852225071333,1,15,15,5.748139789197625e-14,-4.1447384842332195e-14,1.453182781877513e-05
H4,m5_best,15,-0.38821455096863083,1.4466950842493214,1,16,16,1.1308774923626243e-16,-7.816971970630755e-17,2.7407010399695364e-08
H4,m5_best,16,-0.36917036738694675,1.4657392678310055,1,17,17,8.595469645677736e-41,-5.864255556445093e-41,2.0560610121900347e-32
H4,m5_best,17,-0.30790137719737587,1.5270082580205764,1,18,18,3.163454257673792e-14,-2.0716680745227277e-14,7.263455552416393e-06
H4,m5_best,18,-0.29316734012866336,1.5417422950892887,1,19,19,5.08480598699667e-40,-3.2980907400624874e-40,1.1563404288980443e-31
H4,m5_best,19,-0.22007959130858268,1.6148300439093695,1,20,20,7.344275166651898e-10,-4.5480174179023926e-10,0.1594576021748082
H4,m5_best,20,-0.14399057828486375,1.6909190569330883,1,21,21,9.111502428689335e-10,-5.38849118254978e-10,0.1889253721692596
H4,m5_best,21,-0.08053792042241656,1.7543717147955356,1,22,22,2.2304845131798775e-41,-1.271386499433976e-41,4.457596003022078e-33
H4,m5_best,22,-0.050547185476518444,1.7843624497414337,1,23,23,2.1722541799619047e-39,-1.2173839346802435e-39,4.268258129050356e-31
H4,m5_best,23,0.07234165859462317,1.9072512938125754,1,24,24,4.6205844096652434e-39,-2.4226405952142487e-39,8.493996938612977e-31
H4,m5_best,24,0.07339260942198376,1.9083022446399358,1,25,25,2.6447954113199435e-13,-1.385941571231014e-13,4.8592364407612875e-05
H4,m5_best,25,0.11442070813562433,1.9493303433535765,1,26,26,5.39820318660948e-37,-2.7692603283046184e-37,9.709277057978795e-29
H4,m5_best,26,0.15305739017078104,1.9879670253887332,1,27,27,2.804938822295589e-10,-1.410958424598166e-10,0.049469477902425445
H4,m5_best,27,0.24490149864373725,2.0798111338616896,1,28,28,1.605640473858071e-09,-7.720126350496056e-10,0.270674609004559
H4,m5_best,28,0.4760791285885283,2.3109887638064803,1,29,29,3.2359324952350235e-14,-1.4002372256908113e-14,4.909358297654488e-06
H4,m5_best,29,0.5392582979922533,2.3741679332102055,1,30,30,7.475452499614858e-39,-3.148662061788951e-39,1.103949383428745e-30
H4,m5_best,30,0.5810447925825365,2.4159544278004885,1,31,31,1.0539264612307208e-37,-4.36236068488356e-38,1.5294830927758672e-29
