system_id,formula_id,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
H4,yoshida4,11,-0.7745036666381158,1.0604059685798364,-1.06597263646212e-18,0.0,1.06597263646212e-18,-1.0715685269178613e-36
H4,yoshida4,12,-0.6519625219697148,1.1829471132482374,2.3091369855757534e-18,0.0,2.3091369855757534e-18,-4.507482674785438e-36
H4,yoshida4,13,-0.6124975827078092,1.222412052510143,7.888394885415038e-19,0.0,7.888394885415038e-19,-5.090490865208956e-37
H4,yoshida4,14,-0.6117724713365257,1.2231371638814266,4.7586409400907504e-05,0.0,4.7586409400907504e-05,-1.8513592968468581e-09
H4,yoshida4,15,-0.448057410146619,1.386852225071333,-5.7436261648325236e-05,0.0,5.7436261648325236e-05,-2.378713530178167e-09
H4,yoshida4,16,-0.38821455096863083,1.4466950842493214,0.00035207087998010886,0.0,0.00035207087998010886,-8.568073941737827e-08
H4,yoshida4,17,-0.36917036738694675,1.4657392678310055,3.689922741118584e-18,0.0,3.689922741118584e-18,-9.289189512929053e-36
H4,yoshida4,18,-0.30790137719737587,1.5270082580205764,-6.6905423177006705e-06,0.0,6.6905423177006705e-06,-2.931441678185101e-11
H4,yoshida4,19,-0.29316734012866336,1.5417422950892887,-1.0659265651982651e-18,0.0,1.0659265651982651e-18,-7.3695808048748454e-37
H4,yoshida4,20,-0.22007959130858268,1.6148300439093695,0.0019603208002905988,0.0,0.0019603208002905988,-2.3797288479651606e-06
H4,yoshida4,21,-0.14399057828486375,1.6909190569330883,0.0015455604600968726,0.0,0.0015455604600968726,-1.4126975067319158e-06
H4,yoshida4,22,-0.08053792042241656,1.7543717147955356,-5.777336804205491e-19,0.0,5.777336804205491e-19,-1.9025398248122877e-37
H4,yoshida4,23,-0.050547185476518444,1.7843624497414337,-6.629433175213913e-19,0.0,6.629433175213913e-19,-2.4630300996860472e-37
H4,yoshida4,24,0.07234165859462317,1.9072512938125754,-6.025575038950612e-18,0.0,6.025575038950612e-18,-1.9036586666797456e-35
H4,yoshida4,25,0.07339260942198376,1.9083022446399358,-3.393852951037526e-05,0.0,3.393852951037526e-05,-6.035856157282578e-10
H4,yoshida4,26,0.11442070813562433,1.9493303433535765,-7.140243648118389e-17,0.0,7.140243648118389e-17,-2.615415059244656e-33
H4,yoshida4,27,0.15305739017078104,1.9879670253887332,0.0016161037729748786,0.0,0.0016161037729748786,-1.3138001645238155e-06
H4,yoshida4,28,0.24490149864373725,2.0798111338616896,0.0011476913463255025,0.0,0.0011476913463255025,-6.333245384568847e-07
H4,yoshida4,29,0.4760791285885283,2.3109887638064803,0.0001090825414877312,0.0,0.0001090825414877312,-5.148878715370079e-09
H4,yoshida4,30,0.5392582979922533,2.3741679332102055,-1.79958967471687e-18,0.0,1.79958967471687e-18,-1.3640665228632906e-36
H4,yoshida4,31,0.5810447925825365,2.4159544278004885,2.088954151692314e-18,0.0,2.088954151692314e-18,-1.806213477232409e-36
H4,yoshida4,32,0.581467266408673,2.416376901626625,-0.00026125457787959676,0.0,0.00026125457787959676,-2.824640246192553e-08
H4,yoshida4,33,0.8523222709984262,2.687231906216378,-0.0009315689791898841,0.0,0.0009315689791898841,-3.229422667174171e-07
H4,yoshida4,34,0.9853212346857831,2.8202308699037353,-5.310810535288347e-18,0.0,5.310810535288347e-18,-1.0000850938381662e-35
H4,yoshida4,35,1.0824414016901154,2.9173510369080677,0.0005472546568223179,0.0,0.0005472546568223179,-1.026573955704428e-07
H4,current_m3,1,-1.602279420097768,0.23263021512018422,3.2252286486866257e-21,0.0,3.2252286486866257e-21,-4.4715170946022204e-41
H4,current_m3,2,-1.3880163292143617,0.44689330600359045,-1.101141224562644e-07,0.0,1.101141224562644e-07,-2.7132024135120468e-14
H4,current_m3,3,-1.3181800727844573,0.5167295624334949,-7.893645969251827e-08,0.0,7.893645969251827e-08,-1.205846369509875e-14
H4,current_m3,4,-1.291660212963727,0.5432494222542252,4.4000678424555796e-21,0.0,4.4000678424555796e-21,-3.5638504571020955e-41
H4,current_m3,5,-1.1062134698360315,0.7286961653819206,7.371325630081429e-21,0.0,7.371325630081429e-21,-7.456666320758917e-41
H4,current_m3,6,-1.0007975440348666,0.8341120911830855,6.497709629339898e-07,0.0,6.497709629339898e-07,-5.061697447321765e-13
H4,current_m3,7,-0.953344752704397,0.8815648825135551,9.915511098975074e-08,0.0,9.915511098975074e-08,-1.1152594925692961e-14
H4,current_m3,8,-0.8831787619676617,0.9517308732502905,-5.853601935824304e-06,0.0,5.853601935824304e-06,-3.600246307663381e-11
H4,current_m3,9,-0.8153265384161082,1.0195830968018438,-1.8152974066208285e-06,0.0,1.8152974066208285e-06,-3.232011873108513e-12
H4,current_m3,10,-0.7905198429945312,1.0443897922234209,-8.554167774705097e-21,0.0,8.554167774705097e-21,-7.006367437010479e-41
H4,current_m3,11,-0.7745036666381158,1.0604059685798364,-4.9981147428462605e-22,0.0,4.9981147428462605e-22,-2.3558101069643638e-43
H4,current_m3,12,-0.6519625219697148,1.1829471132482374,2.1392439070349086e-20,0.0,2.1392439070349086e-20,-3.868612926591289e-40
H4,current_m3,13,-0.6124975827078092,1.222412052510143,9.260742380995036e-21,0.0,9.260742380995036e-21,-7.015748026293779e-41
H4,current_m3,14,-0.6117724713365257,1.2231371638814266,-2.1104069030425873e-05,0.0,2.1104069030425873e-05,-3.6413064927864186e-10
H4,current_m3,15,-0.448057410146619,1.386852225071333,-6.787998625414315e-07,0.0,6.787998625414315e-07,-3.3224106004701873e-13
H4,current_m3,16,-0.38821455096863083,1.4466950842493214,7.914631153123458e-07,0.0,7.914631153123458e-07,-4.32996468792845e-13
H4,current_m3,17,-0.36917036738694675,1.4657392678310055,2.944861532563643e-20,0.0,2.944861532563643e-20,-5.916611252972834e-40
H4,current_m3,18,-0.30790137719737587,1.5270082580205764,3.9618090486113625e-07,0.0,3.9618090486113625e-07,-1.0278877573330953e-13
H4,current_m3,19,-0.29316734012866336,1.5417422950892887,4.9754286827620815e-20,0.0,4.9754286827620815e-20,-1.6056438651323347e-39
H4,current_m3,20,-0.22007959130858268,1.6148300439093695,-5.83157583793958e-05,0.0,5.83157583793958e-05,-2.1059353510238093e-09
H4,current_m3,21,-0.14399057828486375,1.6909190569330883,-6.634362475465702e-05,0.0,6.634362475465702e-05,-2.6030084216863327e-09
H4,current_m3,22,-0.08053792042241656,1.7543717147955356,9.648442736089497e-21,0.0,9.648442736089497e-21,-5.306312593078241e-41
H4,current_m3,23,-0.050547185476518444,1.7843624497414337,1.0619181403481311e-19,0.0,1.0619181403481311e-19,-6.31973698484767e-39
H4,current_m3,24,0.07234165859462317,1.9072512938125754,1.4385681732543886e-19,0.0,1.4385681732543886e-19,-1.0850580601592372e-38
