experiment_id,case_id,formula_id,grid_role,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm,unitarity_residual_frobenius,branch_reliable,direct_cost,infeasible_error_budget
B,H4,two_term_center,decision_frozen_grid,1,0.30634965686161375,0.30634965686161375,0,-0.5621239960352612,-0.5621239960352612,0,-1.923102257439524e-07,0.9999999999996814,1.0,1.0,3.793909428683537e-15,5.583589990360576e-13,True,62902767.992498346,False
B,H4,two_term_center,decision_frozen_grid,1,0.30794639417483455,0.30794639417483455,0,-0.5650538662660232,-0.5650538662660232,0,-1.9634583781069637e-07,0.9999999999996645,1.0000000000000009,1.0000000000000009,2.027589660007334e-15,5.601548292263017e-13,True,62578196.574948736,False
B,H4,two_term_center,decision_frozen_grid,1,0.3095514539065413,0.3095514539065413,0,-0.5679990074234069,-0.5679990074234069,0,-2.0046608284474132e-07,0.999999999999651,0.9999999999999982,0.9999999999999982,1.7663527907190709e-15,5.59431867804348e-13,True,62255333.054721005,False
B,H4,two_term_center,decision_frozen_grid,1,0.3111648794343447,0.3111648794343447,0,-0.5709594991024808,-0.5709594991024808,0,-2.0467273942337272e-07,0.9999999999996352,0.9999999999999987,0.9999999999999987,3.968629955650352e-15,5.600783833937723e-13,True,61934168.97194329,False
B,H4,two_term_center,decision_frozen_grid,1,0.31278671436194555,0.31278671436194555,0,-0.5739354213131861,-0.5739354213131861,0,-2.0896758945454508e-07,0.9999999999996236,1.0000000000000013,1.0000000000000013,4.169034846575699e-15,5.616465954182798e-13,True,61614695.90376197,False
B,H4,two_term_center,decision_frozen_grid,1,0.31441700252031307,0.31441700252031307,0,-0.5769268544825286,-0.5769268544825286,0,-2.1335251387810672e-07,0.9999999999996088,1.0000000000000067,1.0000000000000067,2.9323160847522395e-15,5.571935960695986e-13,True,61296905.501081064,False
B,H4,two_term_center,decision_frozen_grid,1,0.31605578796887,0.31605578796887,0,-0.5799338794567225,-0.5799338794567225,0,-2.178293907473261e-07,0.9999999999995881,1.000000000000004,1.000000000000004,2.400963793505559e-15,5.599092230641851e-13,True,60980789.44844255,False
B,H4,two_term_center,decision_frozen_grid,1,0.3177031149966828,0.3177031149966828,0,-0.5829565775033868,-0.5829565775033868,0,-2.2240013430874228e-07,0.9999999999995695,0.9999999999999993,0.9999999999999993,2.2302921517308928e-15,5.611976069377049e-13,True,60666339.478875056,False
B,H4,two_term_center,decision_frozen_grid,1,0.3193590281236586,0.3193590281236586,0,-0.5859950303137506,-0.5859950303137506,0,-2.270667212034283e-07,0.9999999999995508,0.9999999999999982,0.9999999999999982,1.961265775508817e-15,5.609325546232984e-13,True,60353547.38339889,False
B,H4,two_term_center,decision_frozen_grid,1,0.3210235721017488,0.3210235721017488,0,-0.5890493200048503,-0.5890493200048503,0,-2.318311547178098e-07,0.9999999999995346,1.0000000000000004,1.0000000000000004,1.7309707672572632e-15,5.57426933810631e-13,True,60042404.99685545,False
B,H4,two_term_center,decision_frozen_grid,1,0.3226967919161579,0.3226967919161579,0,-0.5921195291217564,-0.5921195291217564,0,-2.366954878763039e-07,0.9999999999995115,1.0000000000000004,1.0000000000000004,3.790623751635624e-15,5.587529255203063e-13,True,59732904.20624931,False
B,H4,two_term_center,decision_frozen_grid,1,0.32437873278656,0.32437873278656,0,-0.5952057406398031,-0.5952057406398031,0,-2.416618161138473e-07,0.9999999999994926,0.9999999999999996,0.9999999999999996,3.672136237889246e-15,5.575111487611638e-13,True,59425036.94746634,False
B,H4,two_term_center,decision_frozen_grid,1,0.32606944016832,0.32606944016832,0,-0.5983080379668259,-0.5983080379668259,0,-2.467322628429969e-07,0.9999999999994726,1.000000000000003,1.000000000000003,1.7224123448807482e-15,5.618435944831097e-13,True,59118795.199443385,False
B,H4,two_term_center,decision_frozen_grid,1,0.32776895975372294,0.32776895975372294,0,-0.601426504945432,-0.601426504945432,0,-2.51909026527386e-07,0.9999999999994451,1.0,1.0,2.6128898981112904e-15,5.578910045492286e-13,True,58814171.001244105,False
B,H4,two_term_center,decision_frozen_grid,1,0.32947733747320823,0.32947733747320823,0,-0.6045612258552457,-0.6045612258552457,0,-2.5719431473447685e-07,0.9999999999994269,1.0000000000000009,1.0000000000000009,1.673878952492683e-15,5.591429269695989e-13,True,58511156.42704013,False
B,H4,two_term_center,decision_frozen_grid,1,0.3311946194966113,0.3311946194966113,0,-0.6077122854152082,-0.6077122854152082,0,-2.625904120812095e-07,0.9999999999993996,1.000000000000003,1.000000000000003,1.5898610651175042e-15,5.576866278098232e-13,True,58209743.61083566,False
B,H4,two_term_center,decision_frozen_grid,1,0.33292085223441087,0.33292085223441087,0,-0.6108797687858536,-0.6108797687858536,0,-2.6809963782348234e-07,0.9999999999993758,1.0000000000000022,1.0000000000000022,2.860042165740901e-15,5.583913304269111e-13,True,57909924.73025969,False
B,H4,two_term_center,decision_frozen_grid,1,0.33465608233898414,0.33465608233898414,0,-0.6140637615716145,-0.6140637615716145,0,-2.7372435118522276e-07,0.9999999999993527,1.000000000000008,1.000000000000008,4.298605707795734e-15,5.596265548012751e-13,True,57611692.00813132,False
B,H4,two_term_center,decision_frozen_grid,1,0.33640035670586665,0.33640035670586665,0,-0.6172643498231465,-0.6172643498231465,0,-2.7946698843983597e-07,0.9999999999993177,1.0000000000000044,1.0000000000000044,1.265138629344474e-15,5.607206285690232e-13,True,57315037.7254106,False
B,H4,two_term_center,decision_frozen_grid,1,0.33815372247502,0.33815372247502,0,-0.6204816200396367,-0.6204816200396367,0,-2.853300069549647e-07,0.9999999999992895,0.9999999999999987,0.9999999999999987,1.3383360178892008e-15,5.597701184511642e-13,True,57019954.20039579,False
B,H4,two_term_center,decision_frozen_grid,1,0.3399162270321062,0.3399162270321062,0,-0.6237156591711576,-0.6237156591711576,0,-2.9131593004549927e-07,0.999999999999259,0.9999999999999996,0.9999999999999996,1.56217667563629e-15,5.585123632774397e-13,True,56726433.80449616,False
B,H4,two_term_center,decision_frozen_grid,1,0.3416879180097677,0.3416879180097677,0,-0.6269665546210115,-0.6269665546210115,0,-2.9742733231863383e-07,0.999999999999226,0.999999999999998,0.999999999999998,3.065057535670306e-15,5.566320743892544e-13,True,56434468.95640381,False
B,H4,two_term_center,decision_frozen_grid,1,0.3434688432889149,0.3434688432889149,0,-0.6302343942480888,-0.6302343942480888,0,-3.0366682413074386e-07,0.9999999999991909,0.9999999999999942,0.9999999999999942,3.524998701952732e-15,5.588647873086127e-13,True,56144052.11612006,False
B,H4,two_term_center,decision_frozen_grid,1,0.3452590510000205,0.3452590510000205,0,-0.633519266369265,-0.633519266369265,0,-3.1003711442600945e-07,0.9999999999991593,0.9999999999999953,0.9999999999999953,1.9222527039875325e-15,5.562831812134045e-13,True,55855175.80668262,False
B,H4,two_term_center,decision_frozen_grid,1,0.3470585895244197,0.3470585895244197,0,-0.6368212597617565,-0.6368212597617565,0,-3.165409205863057e-07,0.9999999999991263,1.0000000000000009,1.0000000000000009,1.9920508735953242e-15,5.591676403830855e-13,True,55567832.581768945,False
B,H4,two_term_center,decision_frozen_grid,1,0.34886750749561807,0.34886750749561807,0,-0.6401404636655518,-0.6401404636655518,0,-3.2318105724904456e-07,0.9999999999990818,0.9999999999999971,0.9999999999999971,4.0755343216198346e-15,5.600447457036622e-13,True,55282015.056487344,False
B,H4,two_term_center,decision_frozen_grid,1,0.35068585380060585,0.35068585380060585,0,-0.6434769677857971,-0.6434769677857971,0,-3.2996035881360797e-07,0.9999999999990481,0.9999999999999956,0.9999999999999956,2.3473363893348682e-15,5.567549110017545e-13,True,54997715.879707545,False
B,H4,two_term_center,decision_frozen_grid,1,0.3525136775811792,0.3525136775811792,0,-0.6468308622952433,-0.6468308622952433,0,-3.368817422799708e-07,0.9999999999990083,1.0000000000000018,1.0000000000000018,2.1528652124444613e-15,5.607677573724233e-13,True,54714927.755508155,False
B,H4,two_term_center,decision_frozen_grid,1,0.354351028235268,0.354351028235268,0,-0.6502022378366794,-0.6502022378366794,0,-3.4394819459215853e-07,0.9999999999989657,1.0000000000000022,1.0000000000000022,1.0371183671264778e-15,5.615262918796287e-13,True,54433643.43812144,False
B,H4,two_term_center,decision_frozen_grid,1,0.3561979554182712,0.3561979554182712,0,-0.6535911855253712,-0.6535911855253712,0,-3.511627388874672e-07,0.9999999999989198,1.0000000000000009,1.0000000000000009,1.4041165864029026e-15,5.594333471928201e-13,True,54153855.719837114,False
B,H4,two_term_center,decision_frozen_grid,1,0.35805450904439856,0.35805450904439856,0,-0.6569977969515396,-0.6569977969515396,0,-3.585284777951614e-07,0.9999999999988722,0.9999999999999982,0.9999999999999982,1.96903854065951e-15,5.53919306108327e-13,True,53875557.44537346,False
B,H4,two_term_center,decision_frozen_grid,1,0.35992073928801993,0.35992073928801993,0,-0.6604221641828325,-0.6604221641828325,0,-3.660485785594858e-07,0.9999999999988205,0.9999999999999929,0.9999999999999929,3.7080387448846185e-15,5.580197641468865e-13,True,53598741.506192334,False
B,H4,two_term_center,decision_frozen_grid,1,0.3617966965850206,0.3617966965850206,0,-0.663864379766814,-0.663864379766814,0,-3.737262772585126e-07,0.9999999999987736,0.9999999999999927,0.9999999999999927,3.050943997726301e-15,5.578087934818334e-13,True,53323400.841382116,False
B,H4,two_term_center,decision_frozen_grid,1,0.36368243163416514,0.36368243163416514,0,-0.6673245367334577,-0.6673245367334577,0,-3.8156485060447665e-07,0.9999999999987235,0.9999999999999984,0.9999999999999984,2.90477263453725e-15,5.627328906154275e-13,True,53049528.42768732,False
B,H4,two_term_center,decision_frozen_grid,1,0.36557799539846686,0.36557799539846686,0,-0.6708027285976856,-0.6708027285976856,0,-3.8956768522169227e-07,0.9999999999986693,1.0000000000000009,1.0000000000000009,2.0274566313211935e-15,5.57702769236355e-13,True,52777117.30219569,False
B,H4,two_term_center,decision_frozen_grid,1,0.3674834391065657,0.3674834391065657,0,-0.6742990493618739,-0.6742990493618739,0,-3.9773821103317175e-07,0.9999999999986084,0.9999999999999976,0.9999999999999976,2.3492633911737063e-15,5.610226173591948e-13,True,52506160.53944223,False
B,H4,two_term_center,decision_frozen_grid,1,0.3693988142541123,0.3693988142541123,0,-0.677813593518404,-0.677813593518404,0,-4.0607993234687e-07,0.9999999999985492,0.9999999999999936,0.9999999999999936,2.3295329145321874e-15,5.565507107487706e-13,True,52236651.261304796,False
B,H4,two_term_center,decision_frozen_grid,1,0.3713241726051599,0.3713241726051599,0,-0.681346456052227,-0.681346456052227,0,-4.145964505042343e-07,0.9999999999984885,0.9999999999999958,0.9999999999999958,2.4533544930848073e-15,5.591720241443409e-13,True,51968582.64383402,False
B,H4,two_term_center,decision_frozen_grid,1,0.37325956619356315,0.37325956619356315,0,-0.684897732443408,-0.684897732443408,0,-4.2329140104158114e-07,0.9999999999984257,0.9999999999999989,0.9999999999999989,2.625541322150802e-15,5.562622945962966e-13,True,51701947.89605748,False
B,H4,two_term_center,decision_frozen_grid,1,0.3752050473243846,0.3752050473243846,0,-0.6884675186697317,-0.6884675186697317,0,-4.321685185271207e-07,0.9999999999983575,0.9999999999999998,0.9999999999999998,2.5455539641134945e-15,5.621877157626419e-13,True,51436740.28074006,False
B,H4,two_term_center,decision_frozen_grid,1,0.37716066857530783,0.37716066857530783,0,-0.6920559112092968,-0.6920559112092968,0,-4.4123163500664475e-07,0.9999999999982838,0.999999999999996,0.999999999999996,5.280332633596525e-15,5.594287343719178e-13,True,51172953.11313023,False
B,H4,two_term_center,decision_frozen_grid,1,0.37912648279805905,0.37912648279805905,0,-0.6956630070430998,-0.6956630070430998,0,-4.504846127240114e-07,0.9999999999982128,0.9999999999999951,0.9999999999999951,2.1356771096608606e-15,5.630686355647583e-13,True,50910579.73867664,False
B,H4,two_term_center,decision_frozen_grid,1,0.3811025431198347,0.3811025431198347,0,-0.6992889036576946,-0.6992889036576946,0,-4.5993144537348485e-07,0.9999999999981373,0.9999999999999982,0.9999999999999982,3.4639077152709725e-15,5.573120008877352e-13,True,50649613.5651314,False
B,H4,two_term_center,decision_frozen_grid,1,0.38308890294473796,0.38308890294473796,0,-0.7029336990477996,-0.7029336990477996,0,-4.6957618016207903e-07,0.9999999999980551,0.9999999999999964,0.9999999999999964,3.69021175060139e-15,5.572116329378809e-13,True,50390048.03684699,False
B,H4,two_term_center,decision_frozen_grid,1,0.3850856159552213,0.3850856159552213,0,-0.7065974917189604,-0.7065974917189604,0,-4.794229540028283e-07,0.9999999999979767,0.9999999999999991,0.9999999999999991,2.3289709913752377e-15,5.597318313451241e-13,True,50131876.645851776,False
B,H4,two_term_center,decision_frozen_grid,1,0.3870927361135379,0.3870927361135379,0,-0.7102803806902123,-0.7102803806902123,0,-4.894759897400291e-07,0.999999999997891,1.0000000000000049,1.0000000000000049,2.774317499805475e-15,5.558338445280392e-13,True,49875092.93003674,False
B,H4,two_term_center,decision_frozen_grid,1,0.38911031766319976,0.38911031766319976,0,-0.713982465496766,-0.713982465496766,0,-4.997396176875668e-07,0.9999999999978,1.0000000000000062,1.0000000000000062,1.1823316165805196e-15,5.555175660776923e-13,True,49619690.479294665,False
B,H4,two_term_center,decision_frozen_grid,1,0.39113841513044345,0.39113841513044345,0,-0.7177038461926801,-0.7177038461926801,0,-5.102182276672806e-07,0.9999999999977025,1.0000000000000022,1.0000000000000022,2.0032717658047683e-15,5.588481260817912e-13,True,49365662.91986639,False
B,H4,two_term_center,decision_frozen_grid,1,0.39317708332570434,0.39317708332570434,0,-0.7214446233535863,-0.7214446233535863,0,-5.209163176367326e-07,0.9999999999976052,1.0000000000000004,1.0000000000000004,1.5976754983196028e-15,5.58372631333217e-13,True,49113003.9290163,False
B,H4,two_term_center,decision_frozen_grid,1,0.39522637734509697,0.39522637734509697,0,-0.7252048980794001,-0.7252048980794001,0,-5.318384761476835e-07,0.9999999999975036,1.0000000000000027,1.0000000000000027,2.809527291321855e-15,5.598151888410337e-13,True,48861707.228902094,False
B,H4,two_term_center,decision_frozen_grid,1,0.39728635257190476,0.39728635257190476,0,-0.7289847719970594,-0.7289847719970594,0,-5.429893883412973e-07,0.9999999999973932,1.0000000000000009,1.0000000000000009,2.0390290332797315e-15,5.537332625904536e-13,True,48611766.58782404,False
B,H4,two_term_center,decision_frozen_grid,1,0.3993570646780767,0.3993570646780767,0,-0.7327843472632759,-0.7327843472632759,0,-5.543738481605942e-07,0.9999999999972808,0.9999999999999964,0.9999999999999964,2.153700139305471e-15,5.593409479959941e-13,True,48363175.823322,False
B,H4,two_term_center,decision_frozen_grid,1,0.4014385696257316,0.4014385696257316,0,-0.7366037265672845,-0.7366037265672845,0,-5.659967243776265e-07,0.9999999999971734,1.0000000000000049,1.0000000000000049,4.637301331268783e-15,5.55815482112198e-13,True,48115928.791175745,False
