experiment_id,case_id,formula_id,state_id,order,state_expectation_real,state_expectation_imaginary,exact_expectation_real,state_minus_exact_expectation_real,operator_frobenius_norm,operator_action_2_norm
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,6,0.001052151812024347,6.264292289278584e-53,0.0009987935751143578,5.335823690998912e-05,0.0070692611444696,0.0013016808277816097
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,8,-6.103648342514107e-05,1.044048714879764e-53,-6.623299670178005e-05,5.196513276638988e-06,0.0011568840346057282,0.00013879068731638143
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,4,-0.004650123179918732,0.0,-0.004711578748179359,6.145556826062711e-05,0.029269196238374234,0.0060240068266015885
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,6,0.0009827507918028927,6.776263578034403e-21,0.0009987935751143578,-1.6042783311465136e-05,0.0070692611444696,0.0012924573542914754
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,8,-6.509131630331578e-05,4.235164736271502e-22,-6.623299670178005e-05,1.1416803984642764e-06,0.0011568840346057282,0.00013264854664110821
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,4,-0.004794608438943612,3.009265538105056e-36,-0.004711578748179359,-8.302969076425318e-05,0.029269196238374234,0.005985642480044717
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,6,0.0007665616418252705,0.0,0.0009987935751143578,-0.00023223193328908735,0.0070692611444696,0.0012627795904585938
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,8,-6.940641878570371e-05,4.70197740328915e-38,-6.623299670178005e-05,-3.173422083923658e-06,0.0011568840346057282,0.00011924631296471042
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,4,-0.0044043009068762224,2.710505431213761e-20,-0.004711578748179359,0.00030727784130313643,0.029269196238374234,0.005979294256490723
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,6,0.0009185796585570346,0.0,0.0009987935751143578,-8.021391655732319e-05,0.0070692611444696,0.0012833637889537255
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,8,-6.052459470945868e-05,1.6940658945086007e-21,-6.623299670178005e-05,5.708401992321375e-06,0.0011568840346057282,0.0001336847259416014
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,4,-0.004013993374808834,1.0022867662845734e-51,-0.004711578748179359,0.0006975853733705252,0.029269196238374234,0.005972939285853325
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,6,0.0010705976752887992,-1.2528584578557167e-52,0.0009987935751143578,7.18041001744414e-05,0.0070692611444696,0.0013036230036005624
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,8,-5.164277063321367e-05,0.0,-6.623299670178005e-05,1.4590226068566388e-05,0.0011568840346057282,0.00014670899340014739
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,4,-0.0044043009068762224,-2.710505431213761e-20,-0.004711578748179359,0.00030727784130313643,0.029269196238374234,0.005979294256490723
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,6,0.0009185796585570346,0.0,0.0009987935751143578,-8.021391655732319e-05,0.0070692611444696,0.0012833637889537255
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,8,-6.052459470945868e-05,-1.6940658945086007e-21,-6.623299670178005e-05,5.708401992321375e-06,0.0011568840346057282,0.0001336847259416014
B,H4,current_m3,exact,4,-1.2874212807516118e-05,0.0,-1.2874212807516118e-05,0.0,0.000501650569506032,0.00017224396465457232
B,H4,current_m3,exact,6,4.3467394333328753e-07,0.0,4.3467394333328753e-07,0.0,6.255330377649687e-05,2.592049599172073e-05
B,H4,current_m3,exact,8,2.2401912302007416e-08,0.0,2.2401912302007416e-08,0.0,8.611474313156918e-06,4.362091238918697e-06
B,H4,current_m3,rhf,4,-4.949721511948724e-05,0.0,-1.2874212807516118e-05,-3.662300231197112e-05,0.000501650569506032,0.00018524433380627067
B,H4,current_m3,rhf,6,-3.553711170667384e-06,0.0,4.3467394333328753e-07,-3.9883851140006715e-06,6.255330377649687e-05,2.777742827504117e-05
B,H4,current_m3,rhf,8,-4.569384088881634e-07,0.0,2.2401912302007416e-08,-4.793403211901708e-07,8.611474313156918e-06,4.559130550867391e-06
B,H4,current_m3,cisd,4,-1.3583990899692943e-05,0.0,-1.2874212807516118e-05,-7.09778092176825e-07,0.000501650569506032,0.00017213783493999558
B,H4,current_m3,cisd,6,5.619753212623043e-07,0.0,4.3467394333328753e-07,1.273013779290168e-07,6.255330377649687e-05,2.596843088212556e-05
B,H4,current_m3,cisd,8,7.60064312239179e-08,0.0,2.2401912302007416e-08,5.360451892191048e-08,8.611474313156918e-06,4.3684752601900244e-06
B,H4,current_m3,controlled_q0.001_phi0.000000000000,4,-1.174503264833457e-05,-2.350988701644575e-38,-1.2874212807516118e-05,1.1291801591815478e-06,0.000501650569506032,0.00017231927395410543
B,H4,current_m3,controlled_q0.001_phi0.000000000000,6,2.705125945145778e-07,-4.408103815583578e-39,4.3467394333328753e-07,-1.6416134881870973e-07,6.255330377649687e-05,2.583883179337244e-05
B,H4,current_m3,controlled_q0.001_phi0.000000000000,8,-5.001307744816122e-08,7.346839692639297e-40,2.2401912302007416e-08,-7.241498975016863e-08,8.611474313156918e-06,4.350269944922318e-06
B,H4,current_m3,controlled_q0.001_phi1.570796326795,4,-1.278326393940155e-05,-3.1763735522036263e-22,-1.2874212807516118e-05,9.094886811456806e-08,0.000501650569506032,0.00017220353009575606
B,H4,current_m3,controlled_q0.001_phi1.570796326795,6,4.405360622481365e-07,5.293955920339377e-23,4.3467394333328753e-07,5.86211891484898e-09,6.255330377649687e-05,2.5911337325182333e-05
B,H4,current_m3,controlled_q0.001_phi1.570796326795,8,2.2969005457030848e-08,-1.9852334701272664e-23,2.2401912302007416e-08,5.670931550234316e-10,8.611474313156918e-06,4.360323378263469e-06
B,H4,current_m3,controlled_q0.001_phi3.141592653590,4,-1.3821495230468511e-05,-7.177834914798377e-54,-1.2874212807516118e-05,-9.47282422952393e-07,0.000501650569506032,0.00017208770838967517
B,H4,current_m3,controlled_q0.001_phi3.141592653590,6,6.105595299816951e-07,3.2626522339992623e-55,4.3467394333328753e-07,1.7588558664840753e-07,6.255330377649687e-05,2.5983640536163903e-05
B,H4,current_m3,controlled_q0.001_phi3.141592653590,8,9.595108836222273e-08,3.2626522339992623e-55,2.2401912302007416e-08,7.354917606021532e-08,8.611474313156918e-06,4.370353685042834e-06
B,H4,current_m3,controlled_q0.001_phi4.712388980385,4,-1.278326393940155e-05,3.1763735522036263e-22,-1.2874212807516118e-05,9.094886811456806e-08,0.000501650569506032,0.00017220353009575606
B,H4,current_m3,controlled_q0.001_phi4.712388980385,6,4.405360622481365e-07,-5.293955920339377e-23,4.3467394333328753e-07,5.86211891484898e-09,6.255330377649687e-05,2.5911337325182333e-05
B,H4,current_m3,controlled_q0.001_phi4.712388980385,8,2.2969005457030848e-08,1.9852334701272664e-23,2.2401912302007416e-08,5.670931550234316e-10,8.611474313156918e-06,4.360323378263469e-06
B,H4,current_m3,controlled_q0.010_phi0.000000000000,4,-8.696371047527967e-06,-4.70197740328915e-38,-1.2874212807516118e-05,4.177841759988152e-06,0.000501650569506032,0.00017220406056591155
B,H4,current_m3,controlled_q0.010_phi0.000000000000,6,-4.193890354054838e-08,1.7632415262334313e-38,4.3467394333328753e-07,-4.766128468738359e-07,6.255330377649687e-05,2.559908517658415e-05
B,H4,current_m3,controlled_q0.010_phi0.000000000000,8,-2.0167482163989104e-07,2.938735877055719e-39,2.2401912302007416e-08,-2.2407673394189845e-07,8.611474313156918e-06,4.312535807106498e-06
B,H4,current_m3,controlled_q0.010_phi1.570796326795,4,-1.1964724126370399e-05,6.352747104407253e-22,-1.2874212807516118e-05,9.094886811457196e-07,0.000501650569506032,0.00017183919091717572
B,H4,current_m3,controlled_q0.010_phi1.570796326795,6,4.932951324817743e-07,5.293955920339377e-23,4.3467394333328753e-07,5.862118914848673e-08,6.255330377649687e-05,2.582876318530522e-05
B,H4,current_m3,controlled_q0.010_phi1.570796326795,8,2.807284385224005e-08,-1.3234889800848443e-23,2.2401912302007416e-08,5.670931550232635e-09,8.611474313156918e-06,4.344380259651344e-06
B,H4,current_m3,controlled_q0.010_phi3.141592653590,4,-1.523307720521284e-05,2.61012178719941e-54,-1.2874212807516118e-05,-2.358864397696721e-06,0.000501650569506032,0.0001714735448830257
B,H4,current_m3,controlled_q0.010_phi3.141592653590,6,1.0285291685040995e-06,-6.525304467998525e-55,4.3467394333328753e-07,5.93855225170812e-07,6.255330377649687e-05,2.605641674304329e-05
B,H4,current_m3,controlled_q0.010_phi3.141592653590,8,2.5782050934437136e-07,0.0,2.2401912302007416e-08,2.3541859704236395e-07,8.611474313156918e-06,4.375992983691915e-06
