experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,model_status,quality_class,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,E_fit_hartree,E_state_hartree,E_proxy_hartree,E_total_hartree,closure_residual_hartree
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,1,0.275,0.275,fit_ok,resolved,-1.0716177364508313e-07,-1.0716020328143084e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,-1.5703636522918936e-12,1.7772974705735326e-08,2.5827579777519514e-13,1.777166261788081e-08,1.5703636522918936e-12,1.7772974705735326e-08,2.5827579777519514e-13,1.777166261788081e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,1,0.275,0.275,fit_ok,resolved,-1.1965630205195245e-07,-1.1964733200725552e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,-8.970044696930035e-12,5.285845979910637e-09,2.5827579777519514e-13,5.2771342110114825e-09,8.970044696930035e-12,5.285845979910637e-09,2.5827579777519514e-13,5.2771342110114825e-09,0.0
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,1,0.275,0.275,fit_ok,resolved,-1.329889242744078e-07,-1.3299061485030533e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,1.690575897531495e-12,-8.05743686313917e-09,2.5827579777519514e-13,-8.055488011443863e-09,1.690575897531495e-12,8.05743686313917e-09,2.5827579777519514e-13,8.055488011443863e-09,0.0
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,1,0.275,0.275,fit_ok,resolved,-1.2049439587133927e-07,-1.2050348612896947e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,9.090257630198617e-12,4.429691858196694e-09,2.5827579777519514e-13,4.439040391624668e-09,9.090257630198617e-12,4.429691858196694e-09,2.5827579777519514e-13,4.439040391624668e-09,0.0
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,1,0.275,0.275,fit_ok,resolved,-7.23578207112839e-08,-7.235449031676222e-08,-1.2493317798716616e-07,-1.2493343626296394e-07,-3.3303945216849094e-12,5.2578687670403946e-08,2.5827579777519514e-13,5.2575615551680036e-08,3.3303945216849094e-12,5.2578687670403946e-08,2.5827579777519514e-13,5.2575615551680036e-08,0.0
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,1,0.275,0.275,fit_ok,resolved,-9.972619976672523e-08,-9.970666088220492e-08,-1.2493317798716616e-07,-1.2493343626296394e-07,-1.953888452031053e-11,2.522651710496124e-08,2.5827579777519514e-13,2.5207236496238703e-08,1.953888452031053e-11,2.522651710496124e-08,2.5827579777519514e-13,2.5207236496238703e-08,0.0
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,1,0.275,0.275,fit_ok,resolved,-1.289303639386639e-07,-1.289341764011418e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,3.8124624778824e-12,-4.00099841397563e-09,2.5827579777519514e-13,-3.9969276756999725e-09,3.8124624778824e-12,4.00099841397563e-09,2.5827579777519514e-13,3.9969276756999725e-09,0.0
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,1,0.275,0.275,fit_ok,resolved,-1.0156198489703694e-07,-1.0158200581836503e-07,-1.2493317798716616e-07,-1.2493343626296394e-07,2.0020921328088996e-11,2.335117216880113e-08,2.5827579777519514e-13,2.3371451365926994e-08,2.0020921328088996e-11,2.335117216880113e-08,2.5827579777519514e-13,2.3371451365926994e-08,0.0
B,H4,two_term_center,rhf,1,0.35,0.35,fit_ok,resolved,-6.916630105721634e-07,-6.917331434636814e-07,-3.273892140951458e-07,-3.273909208179049e-07,7.013289151803472e-11,-3.643439293685356e-07,1.7067227590736057e-12,-3.642720897542585e-07,7.013289151803472e-11,3.643439293685356e-07,1.7067227590736057e-12,3.642720897542585e-07,0.0
B,H4,two_term_center,cisd,1,0.35,0.35,fit_ok,resolved,-3.348729195487104e-07,-3.348653186174903e-07,-3.273892140951458e-07,-3.273909208179049e-07,-7.600931220121659e-12,-7.47610452234448e-09,1.7067227590736057e-12,-7.481998730805528e-09,7.600931220121659e-12,7.47610452234448e-09,1.7067227590736057e-12,7.481998730805528e-09,0.0
