experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,unitary_cold_repeatability_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.175,-0.175,0.9999999999995131,7.661473165191442e-07,0.9999999999998066,7.661473165193674e-07,7.661473165193674e-07,0,-4.377984665823682e-06,-4.377984665824957e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3185240.6831791555,resolved
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.175,-0.175,0.9999999999995143,7.875312591071098e-07,0.9999999999998244,7.875312591073295e-07,7.875312591073295e-07,0,-4.500178623469199e-06,-4.5001786234704546e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3274143.955995426,resolved
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.175,-0.175,0.9999999999995154,7.618996871096989e-07,0.9999999999998056,7.618996871099207e-07,7.618996871099207e-07,0,-4.353712497769708e-06,-4.3537124977709756e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3167581.256969189,resolved
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.175,-0.175,0.9999999999995158,7.29002107180619e-07,0.9999999999997815,7.290021071808429e-07,7.290021071808429e-07,0,-4.165726326746395e-06,-4.165726326747674e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3030810.2891554227,resolved
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.175,-0.175,0.9999999999995142,7.546336791789537e-07,0.9999999999997989,7.546336791791771e-07,7.546336791791771e-07,0,-4.312192452451165e-06,-4.312192452452441e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3137372.9881855003,resolved
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.175,-0.175,0.9999999999995207,7.822144391306824e-07,0.9999999999998267,7.822144391308978e-07,7.822144391308978e-07,0,-4.469796795032471e-06,-4.469796795033702e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3252039.393427748,resolved
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.175,-0.175,0.9999999999995235,7.260702970402627e-07,0.9999999999997871,7.260702970404811e-07,7.260702970404811e-07,0,-4.148973125944359e-06,-4.148973125945607e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3018621.3527288777,resolved
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.175,-0.175,0.9999999999995239,6.540104794703484e-07,0.9999999999997378,6.540104794705665e-07,6.540104794705665e-07,0,-3.7372027398305627e-06,-3.737202739831809e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,2719034.239914884,resolved
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.175,-0.175,0.9999999999995209,7.101546215630694e-07,0.9999999999997731,7.101546215632903e-07,7.101546215632903e-07,0,-4.058026408931825e-06,-4.058026408933087e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,2952452.280623322,resolved
B,H4,yoshida4,rhf,-1,0.2,-0.2,0.9999999999983807,1.1466775617918756e-06,0.9999999999990382,1.1466775617932298e-06,1.1466775617932298e-06,0,-5.733387808959378e-06,-5.7333878089661485e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,4832904.214690302,resolved
B,H4,yoshida4,cisd,-1,0.2,-0.2,0.9999999999981547,1.4806740201924216e-06,0.9999999999992509,1.4806740201940718e-06,1.4806740201940718e-06,0,-7.403370100962108e-06,-7.403370100970359e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6240599.756384879,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.2,-0.2,0.9999999999981531,1.5111268711910038e-06,0.9999999999992949,1.5111268711926445e-06,1.5111268711926445e-06,0,-7.555634355955019e-06,-7.5556343559632225e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6368949.448438152,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.2,-0.2,0.9999999999981551,1.4955800375204137e-06,0.9999999999992735,1.4955800375220578e-06,1.4955800375220578e-06,0,-7.4779001876020684e-06,-7.477900187610289e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6303424.177450663,resolved
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.2,-0.2,0.9999999999981555,1.4748737621648046e-06,0.999999999999243,1.4748737621664557e-06,1.4748737621664557e-06,0,-7.374368810824023e-06,-7.374368810832278e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6216153.397267015,resolved
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.2,-0.2,0.9999999999981534,1.4904205958351114e-06,0.999999999999264,1.4904205958367601e-06,1.4904205958367601e-06,0,-7.452102979175557e-06,-7.4521029791838e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6281678.668253308,resolved
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.2,-0.2,0.9999999999981574,1.5324739042082049e-06,0.9999999999993316,1.532473904209829e-06,1.532473904209829e-06,0,-7.662369521041023e-06,-7.662369521049144e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6458920.831220549,resolved
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.2,-0.2,0.9999999999981632,1.483532457219848e-06,0.9999999999992637,1.4835324572214845e-06,1.4835324572214845e-06,0,-7.41766228609924e-06,-7.417662286107422e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6252647.216645363,resolved
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.2,-0.2,0.9999999999981637,1.4183490829637765e-06,0.9999999999991696,1.41834908296543e-06,1.41834908296543e-06,0,-7.091745414818883e-06,-7.09174541482715e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,5977918.718707701,resolved
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.2,-0.2,0.9999999999981576,1.4672905299531816e-06,0.9999999999992341,1.467290529954832e-06,1.467290529954832e-06,0,-7.336452649765908e-06,-7.33645264977416e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6184192.333287305,resolved
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.2,-0.2,0.9999999999981813,1.5222301132839124e-06,0.99999999999934,1.522230113285505e-06,1.522230113285505e-06,0,-7.611150566419561e-06,-7.611150566427525e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,6415746.305109603,resolved
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.2,-0.2,0.9999999999981939,1.4150273418573472e-06,0.9999999999991951,1.4150273418589585e-06,1.4150273418589585e-06,0,-7.075136709286736e-06,-7.075136709294792e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,5963918.569818169,resolved
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.2,-0.2,0.9999999999981949,1.272247779737725e-06,0.9999999999990042,1.2722477797393351e-06,1.2722477797393351e-06,0,-6.361238898688624e-06,-6.361238898696675e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,5362145.2635879,resolved
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.2,-0.2,0.9999999999981816,1.3794505511633554e-06,0.999999999999133,1.3794505511649889e-06,1.3794505511649889e-06,0,-6.897252755816777e-06,-6.897252755824944e-06,2.372646985856632e-13,0.0,0.0,1.186323492928316e-12,5813972.998875397,resolved
B,H4,yoshida4,rhf,-1,0.225,-0.225,0.999999999994763,2.061984771317693e-06,0.9999999999968888,2.0619847713255692e-06,2.0619847713255692e-06,0,-9.16437676141197e-06,-9.164376761446974e-06,2.399936358975117e-13,0.0,0.0,1.0666383817667185e-12,8591831.044212587,resolved
B,H4,yoshida4,cisd,-1,0.225,-0.225,0.9999999999940281,2.6621412886830954e-06,0.9999999999975716,2.6621412886927046e-06,2.6621412886927046e-06,0,-1.1831739060813758e-05,-1.1831739060856465e-05,2.399936358975117e-13,0.0,0.0,1.0666383817667185e-12,11092549.511687687,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.225,-0.225,0.9999999999940226,2.7170255260724857e-06,0.9999999999977137,2.7170255260820407e-06,2.7170255260820407e-06,0,-1.2075669004766602e-05,-1.2075669004809069e-05,2.399936358975117e-13,0.0,0.0,1.0666383817667185e-12,11321239.89834789,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.225,-0.225,0.9999999999940296,2.6896069029098187e-06,0.9999999999976465,2.6896069029193915e-06,2.6896069029193915e-06,0,-1.1953808457376972e-05,-1.1953808457419517e-05,2.399936358975117e-13,0.0,0.0,1.0666383817667185e-12,11206992.605663946,resolved
