system_id,formula_id,time_hartree_inverse,repeat_count,reference_signed_shift_hartree,median_unitary_build_seconds,median_schur_seconds,median_total_seconds,minimum_total_seconds,maximum_total_seconds,signed_direct_shift_hartree,shift_repeat_spread_hartree,minimum_ground_overlap_probability,maximum_eigenpair_residual_2_norm,absolute_shift_difference_hartree
H4,yoshida4,0.44691341667477724,7,-0.00018011962943709214,0.002621809020638466,0.0006342330016195774,0.0032666660845279694,0.003075401997193694,0.0033970719669014215,-0.00018011962944552984,0.0,0.9999999896219363,1.7827419506586558e-15,8.43769498715119e-15
H4,yoshida4,0.5080446277807349,7,-0.0002970482297561805,0.002734065055847168,0.000659354031085968,0.003407242940738797,0.003229307010769844,0.004551156889647245,-0.0002970482297566246,0.0,0.9999999708599345,2.2458924852357497e-15,4.440892098500626e-16
H4,yoshida4,0.577537693402241,7,-0.000488060459251205,0.0026410589925944805,0.0006702521350234747,0.0033114610705524683,0.0032474820036441088,0.003561564953997731,-0.00048806045925342545,0.0,0.9999999180153322,1.7408534904603258e-15,2.220446049250313e-15
H4,yoshida4,0.65653639279173,7,-0.0007980134712239906,0.002690854948014021,0.0006545770447701216,0.003340203082188964,0.0032096789218485355,0.003541878890246153,-0.0007980134712266551,0.0,0.9999997687426148,3.175376815989731e-15,2.6645352591003757e-15
H4,current_m3,0.3931379077393266,7,-3.0592954569641506e-07,0.004229148151353002,0.0006645969115197659,0.004918587859719992,0.004834921099245548,0.00513219297863543,-3.059295561325115e-07,0.0,0.9999999999957199,2.2335042804881307e-15,1.0436096431476471e-14
H4,current_m3,0.44691341667477724,7,-5.10110591100954e-07,0.005332855973392725,0.0006517961155623198,0.005984936840832233,0.005505396984517574,0.006280167959630489,-5.101105948757123e-07,0.0,0.9999999999879332,1.6621818816735232e-15,3.774758283725532e-15
H4,current_m3,0.5080446277807349,7,-8.501739237054551e-07,0.005384291987866163,0.0006874469108879566,0.006072092102840543,0.005838674958795309,0.007320326054468751,-8.501739225952321e-07,0.0,0.999999999965852,2.3165102713623795e-15,1.1102230246251565e-15
H4,current_m3,0.577537693402241,7,-1.4160907109150855e-06,0.005211725132539868,0.0006685771513730288,0.005860558012500405,0.005068472120910883,0.006276823114603758,-1.4160907133575762e-06,0.0,0.9999999999029499,1.5685912938235497e-15,2.4424906541753444e-15
H4,current_m3,0.65653639279173,7,-2.356861687147216e-06,0.004300462082028389,0.0006629619747400284,0.0049600068014115095,0.004843833157792687,0.0056164320558309555,-2.3568616889235727e-06,0.0,0.999999999722541,3.319941308638333e-15,1.7763568394002505e-15
H4,two_term_center,0.3931379077393266,7,-5.207091646752815e-07,0.005381373222917318,0.0006762680131942034,0.006059883162379265,0.005857327952980995,0.0062438189052045345,-5.207091779979578e-07,0.0,0.9999999999976017,5.084820827115581e-15,1.3322676295501878e-14
H4,two_term_center,0.44691341667477724,7,-8.685094547988825e-07,0.005318764830008149,0.0006630700081586838,0.0059976179618388414,0.0058169139083474874,0.006267752964049578,-8.68509455687061e-07,0.0,0.9999999999932521,2.219511729394518e-15,8.881784197001252e-16
H4,two_term_center,0.5080446277807349,7,-1.448093440714615e-06,0.005377537803724408,0.0006586539093405008,0.006033060839399695,0.005899564828723669,0.006224622949957848,-1.4480934453775518e-06,0.0,0.9999999999808995,1.5551592474496446e-15,4.6629367034256575e-15
H4,two_term_center,0.577537693402241,7,-2.413318389349328e-06,0.005403968971222639,0.0006602150388062,0.006068294867873192,0.005844854982569814,0.006603525951504707,-2.4133183935681757e-06,0.0,0.9999999999457274,1.835358546736407e-15,4.218847493575595e-15
H4,two_term_center,0.65653639279173,7,-4.0194605017696006e-06,0.004284369060769677,0.0006720439996570349,0.004956718068569899,0.004916436970233917,0.006157051073387265,-4.019460504212091e-06,0.0,0.9999999998448534,4.97881838695998e-15,2.4424906541753444e-15
H4,m5_best,0.3931379077393266,7,-2.6796997731892702e-08,0.013400115072727203,0.0006763029377907515,0.01407452393323183,0.013651660876348615,0.01473194919526577,-2.6797005947543084e-08,0.0,0.9999999999991398,3.2741217309401614e-15,8.215650382226158e-15
H4,m5_best,0.44691341667477724,7,-4.4646483843280294e-08,0.013078771065920591,0.0006996281445026398,0.013781202957034111,0.013558759121224284,0.015398168005049229,-4.464648761803858e-08,0.0,0.9999999999975748,2.2419158916022715e-15,3.774758283725532e-15
H4,m5_best,0.5080446277807349,7,-7.433333548689802e-08,0.013071227120235562,0.0006959100719541311,0.013772814068943262,0.013562423875555396,0.014700781088322401,-7.433333704121026e-08,0.0,0.9999999999931448,2.4549632113144215e-15,1.5543122344752192e-15
H4,m5_best,0.577537693402241,7,-1.2364596213565449e-07,0.012954257894307375,0.000678718090057373,0.013629226014018059,0.0133226178586483,0.013980595162138343,-1.2364596413405593e-07,0.0,0.999999999980518,2.67973592222923e-15,1.9984014443252818e-15
