condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,-0.00013403451245119272,7.22379222472795e-05,0.4033974698954101,1.1757954568548645,0.6621688081187646,0.7756732761171945,208069115.19111592,273623312.3402094,0.23957826030402962,0.9999999999497814,29.20924143389024,2.248692482638927e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,-0.00016685397187275275,-2.1870141532542527e-05,0.2115238484646557,0.6489084482442348,0.6621688081187646,0.020025648613988256,276734668.6524039,273623312.3402094,0.011370947473678505,0.9999999999489259,29.20924143389024,4.4741484295080126e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,-0.00022798277498070778,-0.0001675125237904214,1.081996462405173,0.5690523401328419,0.6621688081187646,0.1406234586169477,311621114.53746843,273623312.3402094,0.13886902352097263,0.9999999999469146,29.20924143389024,5.835663056680793e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,-0.00015515827883082978,4.1307873332264866e-05,0.18963255921375652,0.7090699824533087,0.6621688081187646,0.07082963401400821,258817907.74415138,273623312.3402094,0.05410871050946764,0.9999999999487472,29.20924143389024,1.0773976642265227e-09
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,-7.048024244310782e-05,0.00012217843979535678,0.8555282999422347,0.8639810338939371,0.6621688081187646,0.3047745881424486,180185531.44110626,273623312.3402094,0.3414832606913527,0.9999999999513128,29.20924143389024,4.834813181953146e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,-0.00014330474331229786,-8.664191174532162e-05,0.6036153613007219,0.6377710523890262,0.6621688081187646,0.03684522047943162,277928346.1478184,273623312.3402094,0.015733432107043255,0.999999999949358,29.20924143389024,9.77311104355848e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,-0.00023445355234240166,9.813976892760392e-05,0.5876979177749052,0.6523705126449741,0.6621688081187646,0.014797277300976464,283410544.93342376,273623312.3402094,0.03576900122108517,0.999999999947944,29.20924143389024,8.161453747159099e-11
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,-0.00016135906816031384,0.00015324724244324042,0.7963348434840131,1.0261428239851706,0.6621688081187646,0.5496695274736119,140724220.5972089,273623312.3402094,0.4857009097885655,0.9999999999489646,29.20924143389024,1.6261048107088633e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,-0.00011569643337838607,-6.809592648133741e-05,0.5784614040679643,0.6696808346486707,0.6621688081187646,0.011344579264082055,264424539.29248744,273623312.3402094,0.033618382034220406,0.9999999999495225,29.20924143389024,9.422280402716415e-11
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,-0.00018879092132164532,-0.00012320336574075035,0.7894447616850839,0.5973367530671839,0.6621688081187646,0.0979086514747951,296953266.3905933,273623312.3402094,0.08526303497626175,0.9999999999484809,29.20924143389024,1.6387139935675793e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,-0.0003096155407527014,0.0002032973084546366,1.3255158676110856,1.1757954568548645,0.6621688081187646,0.7756732761171945,186784347.22916335,273623312.3402094,0.3173668367959631,0.9999999999470218,29.20924143389024,1.9268641698172657e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,-0.0001463444193145598,0.00032639083231727627,1.7883551487873919,0.7419269332754196,0.6621688081187646,0.12044983722994984,207788908.87575915,273623312.3402094,0.24060231893763162,0.9999999999492624,29.20924143389024,3.642608560973545e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,0.005,2,3.141592653589793,-4.434781336062575e-05,-0.00016802328368142002,1.2793337020928086,0.6766376244350619,0.6621688081187646,0.021850646147775432,253908289.70352748,273623312.3402094,0.0720516920435832,0.999999999950543,29.20924143389024,2.0008300108428005e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,0.005,3,4.71238898038469,-0.00020761893668140428,-0.00029111679216091614,1.75390710701031,0.5559552851828752,0.6621688081187646,0.16040248594258644,316128245.1818886,273623312.3402094,0.15534105072462046,0.9999999999481816,29.20924143389024,3.6500205668870464e-09
