system_id,formula_id,state_id,dimension,group_count,grouped_term_count,full_action_relative_error,reference_expectation_real_hartree,compact_expectation_real_hartree,compact_expectation_imaginary_hartree,expectation_absolute_error_hartree,component_cancellation_ratio,norm_importance_actual_rank_correlation,expectation_evaluation_count,unique_partial_sum_operator_count,partial_sum_operator_addition_count,partial_sum_operator_bytes,component_action_vector_bytes,linear_combination_action_count,equivalent_fragment_action_count,partial_sum_construction_seconds,component_evaluation_seconds
H2,m5_best,hf,4,2,5,7.462884595595089e-16,-3.572094450506762e-06,-3.5720944505067595e-06,0.0,2.541098841762901e-21,1.1405825942403918,0.9999999999999999,5,6,4,1536,320,212,238,1.983996480703354e-05,0.00021275109611451626
H2,m5_best,cisd,4,2,5,7.202773401473956e-16,-2.404951309484251e-07,-2.404951309484247e-07,0.0,4.235164736271502e-22,2.606275115360933,-0.6,5,6,4,1536,320,212,238,1.96059700101614e-05,0.00021580304019153118
H4,yoshida4,exact,36,13,456,4.005414907932492e-13,-0.004711578748179359,-0.004711578748176999,0.0,2.360091289066446e-15,4.210333677038707,0.5172984219511917,456,61,312,1264896,262656,18384,55216,0.0008832451421767473,0.034846700029447675
H4,yoshida4,hf,36,13,456,4.3996548710357073e-13,-0.0036120932903673797,-0.003612093290364899,0.0,2.480654570646834e-15,7.747537177208391,0.5664648492127474,456,61,312,1264896,262656,18384,55216,0.0007347201462835073,0.03467893390916288
H4,yoshida4,cisd,36,13,456,4.0219370414190627e-13,-0.004666962108827896,-0.0046669621088255234,0.0,2.3722343533982837e-15,4.326674579599945,0.679213519407001,456,61,312,1264896,262656,18384,55216,0.0007147050928324461,0.034584552980959415
H4,current_m3,exact,36,13,456,1.964661539044403e-12,-1.2874212807516118e-05,-1.2874212807821153e-05,0.0,3.0503519903111315e-16,4.210333677038685,0.49287100093273084,456,61,312,1264896,262656,18384,55216,0.0007966300472617149,0.03434117301367223
H4,current_m3,hf,36,13,456,1.8325801779758016e-12,-4.949721511948724e-05,-4.9497215119792494e-05,0.0,3.0525712166329377e-16,2.0174083170153385,0.5731698797574647,456,61,312,1264896,262656,18384,55216,0.0007273419760167599,0.0343522559851408
H4,current_m3,cisd,36,13,456,1.9609788298526104e-12,-1.3583990899692943e-05,-1.3583990899996278e-05,0.0,3.033343568730265e-16,4.142302537422671,0.6872005801408082,456,61,312,1264896,262656,18384,55216,0.0007145970594137907,0.03432617895305157
H4,two_term_center,exact,36,13,456,1.0808514497798576e-11,-2.188967073957748e-05,-2.188967073820951e-05,0.0,1.3679683742110621e-15,4.210333677038692,0.5230013680894714,456,61,312,1264896,262656,18384,55216,0.0007350731175392866,0.034517970867455006
H4,two_term_center,hf,36,13,456,1.0392876878358208e-11,-4.786610277607295e-05,-4.786610277461749e-05,0.0,1.4554601013988533e-15,2.639917951157451,0.5642900805287078,456,61,312,1264896,262656,18384,55216,0.000717169838026166,0.03428781381808221
H4,two_term_center,cisd,36,13,456,1.0825280870930806e-11,-2.233478267881745e-05,-2.233478267744574e-05,0.0,1.3717122598379261e-15,4.192642663335909,0.6782697781315772,456,61,312,1264896,262656,18384,55216,0.0007214860524982214,0.03465176513418555
H4,m5_best,exact,36,13,456,1.4022792752297469e-11,-1.1306501269234905e-06,-1.1306501279435177e-06,0.0,1.020027144753256e-15,4.210333677038617,0.46844307368319815,456,61,312,1264896,262656,18384,55216,0.0008055479265749454,0.03461787197738886
H4,m5_best,hf,36,13,456,1.353712551747553e-11,-1.8025835901713805e-05,-1.8025835902815974e-05,0.0,1.1021694353626627e-15,1.3943774447329371,0.5826920862162138,456,61,312,1264896,262656,18384,55216,0.0007447521202266216,0.03439022204838693
H4,m5_best,cisd,36,13,456,1.4058492417856383e-11,-1.4800743109027512e-06,-1.4800743119260043e-06,0.0,1.023253069732874e-15,3.855988038089337,0.7093312307869489,456,61,312,1264896,262656,18384,55216,0.0007366652134805918,0.03454405604861677
