system_id,formula_id,state_id,requested_grouped_term_count,selected_grouped_term_count,selected_fraction,approximate_expectation_real_hartree,full_expectation_real_hartree,expectation_relative_error,action_relative_error,expectation_sign_matches_full,selected_importance_score_fraction,selected_actual_absolute_contribution_fraction,dropped_signed_expectation_real_hartree,selected_linear_combination_action_count,selected_equivalent_fragment_action_count,analytic_time_from_truncated_expectation,analytic_cost_from_truncated_expectation,accuracy_worsened_from_previous_count
H4,yoshida4,exact,100,100,0.21929824561403508,-0.004651879110214745,-0.004711578748176999,0.012670835223830869,0.26654193114552693,True,0.9783598643136389,0.9715314087025124,-5.969963796225407e-05,3952,19968,0.2877035568877318,30426333.948370147,False
H4,yoshida4,exact,200,200,0.43859649122807015,-0.004693145686924937,-0.004711578748176999,0.003912289751963434,0.025210922779273764,True,0.9963856982980107,0.9902995220879041,-1.8433061252061574e-05,7904,33650,0.28706902028401055,30493588.236513767,False
H4,yoshida4,exact,300,300,0.6578947368421053,-0.004691803626589418,-0.004711578748176999,0.004197132775342486,0.009335407860031305,True,0.9995038654270956,0.9958093135602109,-1.9775121587580803e-05,11892,43530,0.2870895466453727,30491408.00244156,True
H4,yoshida4,exact,400,400,0.8771929824561403,-0.004715565556592111,-0.004711578748176999,0.0008461725099372327,0.0029277435774788655,True,0.999970160462801,0.9992739375711946,3.986808415111856e-06,15916,51836,0.28672719718770023,30529941.30260185,False
H4,yoshida4,exact,456,456,1.0,-0.004711578748176999,-0.004711578748176999,0.0,8.123466834739754e-16,True,1.0000000000000013,1.0000000000000004,0.0,18384,55216,0.2867878331184469,30523486.316745605,False
H4,yoshida4,hf,1,1,0.0021929824561403508,0.000507852593216818,-0.003612093290364899,1.140597861791525,1.352429448416705,False,0.2146256247561666,0.018147426540286095,-0.004119945883581717,46,382,0.5005159451419332,17489481.773687944,False
H4,yoshida4,hf,5,5,0.010964912280701754,-0.004255269496856047,-0.003612093290364899,0.17806190338626968,0.3533773527517058,True,0.5828522111493314,0.878758483809283,0.0006431762064911476,212,1514,0.2941850295099509,29755982.19454582,False
H4,yoshida4,hf,10,10,0.021929824561403508,-0.004404086014111002,-0.003612093290364899,0.21926142546171468,1.150200472814683,True,0.69874780438039,0.8935281391139743,0.000791992723746103,424,3016,0.2916677343155222,30012796.994988594,True
H4,yoshida4,hf,25,25,0.05482456140350877,-0.0032454041346411428,-0.003612093290364899,0.10151707784012212,0.7074458013923236,True,0.8655961938487854,0.9428893478638312,-0.0003666891557237563,1042,6628,0.3148003016613874,27807357.40658837,False
H4,yoshida4,hf,50,50,0.10964912280701754,-0.003256727735914707,-0.003612093290364899,0.09838216399286095,0.3477130461261715,True,0.9325086267022858,0.9574165004541175,-0.0003553655544501922,2066,11824,0.3145263049761309,27831581.529132675,False
