formula_id,formal_order,variant,degree,word_count,l1,l2,linf,maximum_word,maximum_signed_residual
current_m3,4,exact_saved_decimal_literals,2,4,0.00000000000000040000000000000002000000000000000000000000000000000000000000000000033760816590674,0.00000000000000020000000000000001000000000000000000000000000000000000000000000000016880408295337,0.00000000000000010000000000000000500000000000000000000000000000000000000000000000008440204147668,XX,0.00000000000000010000000000000000500000000000000000000000000000000000000000000000008440204147668
current_m3,4,exact_saved_decimal_literals,3,8,0.0000000000000028072093486627103907440752728669958333333333333333333333333333333331722689035782,0.0000000000000012437328271416434414847538339546142508661825210155146959087143059357350071901366,0.00000000000000095240311622090346524802509095566533333333333333333333333333333333351312794928694,YXY,0.00000000000000095240311622090346524802509095566533333333333333333333333333333333351312794928694
current_m3,4,exact_saved_decimal_literals,4,16,0.0000000000000027405426819960439897983434724713672410741939533662250000000000000000837077884606,0.00000000000000080040042374020832350354052372464305129460164844172342117972651600378694643289133,0.00000000000000043453489144378510607750168985633876240125454778325416666666666666654871194475459,XYYX,-0.00000000000000043453489144378510607750168985633876240125454778325416666666666666654871194475459
current_m3,4,exact_saved_decimal_literals,5,32,0.01055049159059933732995748986892171721107643057191831455853905809695334924638418,0.0023297499756420477856633983821596563955878417474657921811904053971760054611217179,0.0010634354277307207509859850839715044331868390063002269585536364458848599713509333,YXYXY,-0.0010634354277307207509859850839715044331868390063002269585536364458848599713509333
two_term_center,4,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
two_term_center,4,stored_float_binary,1,2,0.00000000000000011102230246251565404236316680908203125,0.00000000000000007850462293418875296966911859817817457117116593950645737502334819916852018185133,0.000000000000000055511151231257827021181583404541015625,X,-0.000000000000000055511151231257827021181583404541015625
two_term_center,4,stored_float_binary,2,4,0.00000000000000022204460492503130192175051157900933272087058372823258067807472571075777523219585,0.00000000000000011102230246251565096087525578950466636043529186411629033903736285537888761609793,0.000000000000000055511151231257825480437627894752333180217645932058145169518681427689443808048964,XX,-0.000000000000000055511151231257825480437627894752333180217645932058145169518681427689443808048964
two_term_center,4,stored_float_binary,3,8,0.0000000000000047570715961238988864315156361602100825812554995237114624748524510332266799465482,0.0000000000000021473943950035546944216337118827148144821819494986769201803108123223617271850871,0.0000000000000015394312393485847755274271517326002710650720216487732030439935986053950607811459,YXY,0.0000000000000015394312393485847755274271517326002710650720216487732030439935986053950607811459
two_term_center,4,stored_float_binary,4,16,0.0000000000000047200641619697267423024389900650758512134907928663615170152898025283727472543514,0.0000000000000013857047894346436009053100539390120893206720598818066909376529802537993591843378,0.00000000000000079284526602064977065028980021919876846309228588847063223709868953563865375545936,XYYX,-0.00000000000000079284526602064977065028980021919876846309228588847063223709868953563865375545936
two_term_center,4,stored_float_binary,5,32,0.0083115334799229195457577260552876634843969451517182039367429294306025908937987982,0.0019108763495762444289319720068539642758481878602199279237040519508266042030175551,0.0010948955875980418021191734523375127513675113672850710603492860840267523455819794,YXYXY,-0.0010948955875980418021191734523375127513675113672850710603492860840267523455819794
two_term_center,4,exact_saved_decimal_literals,0,1,0.0,0.0,0.0,I,0.0
two_term_center,4,exact_saved_decimal_literals,1,2,0.00000000000000019999999999999999999999999999999999999999999999999999999999999999835028138152257,0.00000000000000014142135623730950488016887242096980785696718753769480731766797379790672062403561,0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761,X,-0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761
two_term_center,4,exact_saved_decimal_literals,2,4,0.00000000000000039999999999999997999999999999999999999999999999999999999999999999675328664031424,0.00000000000000019999999999999998999999999999999999999999999999999999999999999999837664332015712,0.000000000000000099999999999999994999999999999999999999999999999999999999999999998792989237207416,XX,-0.000000000000000099999999999999994999999999999999999999999999999999999999999999998792989237207416
two_term_center,4,exact_saved_decimal_literals,3,8,0.0000000000000048176611175142782353781637647492868333333333333333333333333333333325888420426745,0.0000000000000021579468646776494788255600335652868954362533104867411279832476362637018870390837,0.0000000000000015225537058380927534593879215830953333333333333333333333333333333334551489008474,YXY,0.0000000000000015225537058380927534593879215830953333333333333333333333333333333334551489008474
two_term_center,4,exact_saved_decimal_literals,4,16,0.00000000000000475099445084761110194538534665479562885029019173800833333333333333291714073753,0.0000000000000013915520917065297098453179838007719749612200385170076459451838601697400831705968,0.00000000000000080294351958571295976867533555357716036393725417855416666666666666643468041813234,XYYX,-0.00000000000000080294351958571295976867533555357716036393725417855416666666666666643468041813234
two_term_center,4,exact_saved_decimal_literals,5,32,0.0083115334799229232054622237555182928999848765910945296716116467244246853339727977,0.0019108763495762448111826896004281610985806151988451838395874097050929479020017291,0.0010948955875980431504284632545616768150256945545170286051665129156731396128759733,YXYXY,-0.0010948955875980431504284632545616768150256945545170286051665129156731396128759733
joint_refine_r0_s0046,4,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
joint_refine_r0_s0046,4,stored_float_binary,1,2,0.000000000000000388578058618804789148271083831787109375,0.00000000000000027476618026966063539384191509362361099909908078827260081258171869708982063647965,0.0000000000000001942890293094023945741355419158935546875,X,-0.0000000000000001942890293094023945741355419158935546875
joint_refine_r0_s0046,4,stored_float_binary,2,4,0.00000000000000077715611723760950280008834768392877895566465067084911330641538995678274659439921,0.00000000000000038857805861880475140004417384196438947783232533542455665320769497839137329719961,0.0000000000000001942890293094023757000220869209821947389161626677122783266038474891956866485998,XX,-0.0000000000000001942890293094023757000220869209821947389161626677122783266038474891956866485998
joint_refine_r0_s0046,4,stored_float_binary,3,8,0.0000000000000045095696420472368098711056211158978352361119940969919386907594193264200758925467,0.0000000000000019887197381422154801218328970662865479779568476746138454879900492935844264495225,0.0000000000000015355713855673126627613533123596448249918907463096154617631247480310508791307108,YXY,-0.0000000000000015355713855673126627613533123596448249918907463096154617631247480310508791307108
joint_refine_r0_s0046,4,stored_float_binary,4,16,0.0000000000000043800436225076343939507806016498378734000990934310045656202813225188843502969072,0.000000000000001277982543964496144914413226565653200246037550025953006602825578599318245967664,0.00000000000000068683193057140521278028672762360257692043585313013773594712124571226364660692467,XYYX,0.00000000000000068683193057140521278028672762360257692043585313013773594712124571226364660692467
joint_refine_r0_s0046,4,stored_float_binary,5,32,0.069054707475189107613096030101347859286242333157786199889943937388466692424400091,0.019652251349100195698514439110393190361306874818489248206310198126106933115981361,0.011267039829404430075637519270475717585555405437545409714789269672363272397107988,YXYXY,-0.011267039829404430075637519270475717585555405437545409714789269672363272397107988
yoshida6_m3,6,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
yoshida6_m3,6,stored_float_binary,1,2,0.0,0.0,0.0,X,0.0
yoshida6_m3,6,stored_float_binary,2,4,0.0,0.0,0.0,XX,0.0
yoshida6_m3,6,stored_float_binary,3,8,0.0000000000000033130824629469866736854607863916606034863996924361571001146997566879063209904402,0.0000000000000015122083331923652397710829601234882028445372699533633025673211838929018771984721,0.0000000000000011043608209823288912284869287972202011621332308120523667048999188958809220139532,YXY,0.0000000000000011043608209823288912284869287972202011621332308120523667048999188958809220139532
yoshida6_m3,6,stored_float_binary,4,16,0.0000000000000033130824629469866736854607863916606034863996924361571001146997566877086547790046,0.0000000000000009761262817416845216992650486937089272598429049492955588174915837398466740946233,0.00000000000000055218041049116444561424346439861010058106661540602618335244995944787457226983139,XYYX,-0.00000000000000055218041049116444561424346439861010058106661540602618335244995944787457226983139
yoshida6_m3,6,stored_float_binary,5,32,0.0000000000000049126612071701967705713892143228855663027668990751649399899952035452099098236914,0.0000000000000012473314936098655714367775569671768852364247797726780437204299414557989219008218,0.00000000000000055281647377105983478410406826961694056107327768140768093392821689650533474162503,XYYXY,0.00000000000000055281647377105983478410406826961694056107327768140768093392821689650533474162503
yoshida6_m3,6,stored_float_binary,6,64,0.0000000000000068707110154793470016641755186293034669097437447057942429189399237578783523728441,0.0000000000000013144483656349161932141228631441222585732547892970455310660099793556759348622315,0.00000000000000059883150797865748172503581735124142487715281250587683833079584835283359864641151,YXYYXY,0.00000000000000059883150797865748172503581735124142487715281250587683833079584835283359864641151
yoshida6_m3,6,stored_float_binary,7,128,0.085108589409537001791173712941031306994587007979985186589672969819180618967601514,0.012184993915545714090716517657745015557268090107021938505371132674475342293830999,0.0057467180332864788350648749531825525745915595829652437591485700268520793084287605,YXYXYXY,-0.0057467180332864788350648749531825525745915595829652437591485700268520793084287605
yoshida6_m3,6,exact_saved_decimal_literals,0,1,0.0,0.0,0.0,I,0.0
yoshida6_m3,6,exact_saved_decimal_literals,1,2,0.0,0.0,0.0,X,0.0
yoshida6_m3,6,exact_saved_decimal_literals,2,4,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,XY,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
yoshida6_m3,6,exact_saved_decimal_literals,3,8,0.0000000000000034594247494428160751385961073620000000000000000000000000000000000001594951667236,0.0000000000000015790041427179064178570790651123705844932652992894235080776582562911405555581432,0.0000000000000011531415831476053583795320357873333333333333333333333333333333333329472401412733,YXY,0.0000000000000011531415831476053583795320357873333333333333333333333333333333333329472401412733
yoshida6_m3,6,exact_saved_decimal_literals,4,16,0.0000000000000034594247494428160751385961073619999999999999999999999999999999999973921682066256,0.0000000000000010192427913898284755524481032002125454024822638422903553805469960681191715350947,0.00000000000000057657079157380267918976601789366666666666666666666666666666666666627595385920106,XYYX,-0.00000000000000057657079157380267918976601789366666666666666666666666666666666666627595385920106
yoshida6_m3,6,exact_saved_decimal_literals,5,32,0.0000000000000050550328129329962644678896431578564751916983997055536563481177916644555865915766,0.0000000000000012814486116835207602552668502291770646414237230977679027665726658726186200015066,0.00000000000000057036576916623538932130967710749463823316571141045214814188366666618370425538292,XYYYX,-0.00000000000000057036576916623538932130967710749463823316571141045214814188366666618370425538292
yoshida6_m3,6,exact_saved_decimal_literals,6,64,0.0000000000000070603920319363853951000927108279847770512513836068033942282237059530128221341836,0.0000000000000013503058866743315242804132404412597599531167050331868545181502169798232536858975,0.00000000000000061531082392693596585398406695503531152152824753115587998214601532754248726893984,YXYYXY,0.00000000000000061531082392693596585398406695503531152152824753115587998214601532754248726893984
yoshida6_m3,6,exact_saved_decimal_literals,7,128,0.085108589409537227940253962844225322360050153053194790420396659681414021706583759,0.012184993915545742270343121236600484824530613251641686450142383036996284348108706,0.0057467180332864853114965454763698930481117840726521552087757972989094328011276636,YXYXYXY,-0.0057467180332864853114965454763698930481117840726521552087757972989094328011276636
yoshida8,8,stored_float_binary,0,1,0.0,0.0,0.0,I,0.0
yoshida8,8,stored_float_binary,1,2,0.000000000000000534294830600856585078872740268707275390625,0.00000000000000037780349787078337366653263325373246512376123608387482611729986320849850337515952,0.0000000000000002671474153004282925394363701343536376953125,X,0.0000000000000002671474153004282925394363701343536376953125
yoshida8,8,stored_float_binary,2,4,0.000000000000001068589661201713312893228483936431710392415269825425895155058403362957619719964,0.00000000000000053429483060085665644661424196821585519620763491271294757752920168147880985998199,0.000000000000000267147415300428328223307120984107927598103817456356473788764600840739404929991,XX,0.000000000000000267147415300428328223307120984107927598103817456356473788764600840739404929991
yoshida8,8,stored_float_binary,3,8,0.000000000000038832710124657447073875593246177107587361907692986221066396277765645935476348647,0.000000000000017606744431039800817984942115956576378631114687724800730184989524362344040903337,0.0000000000000127216138621354587213692161888641453851733127274207724500295727760838336779292,YXY,-0.0000000000000127216138621354587213692161888641453851733127274207724500295727760838336779292
yoshida8,8,stored_float_binary,4,16,0.0000000000000386546118477905051458558289932144669417145163164438327464646795560470328849414,0.000000000000011363883571207126285887912919466060195197572856392647596976844207169549657346487,0.0000000000000064721183541095762353749769013894817761870154372407374996146178007687918462769064,XYYX,0.0000000000000064721183541095762353749769013894817761870154372407374996146178007687918462769064
yoshida8,8,stored_float_binary,5,32,0.0000000000039372670698783754610013675084296852082532803783733993824761545894979192310611553,0.00000000000085035710436667068212893702198755023193730746023140814863508700612118021766509043,0.00000000000028302733194403890137106835646381171767135514380306811579609878097689559669428272,YXYXY,0.00000000000028302733194403890137106835646381171767135514380306811579609878097689559669428272
yoshida8,8,stored_float_binary,6,64,0.0000000000024942736862341189015082870513396881500516280282793919592674603205579280825277385,0.00000000000038752726309059937228733030197692934586554701667608618623591007269460302200702864,0.0000000000001378215945472285261402668069222380229467713821916799831402306478873637336415904,YXYYXY,0.0000000000001378215945472285261402668069222380229467713821916799831402306478873637336415904
yoshida8,8,stored_float_binary,7,128,0.000000000042341472964231483995671922062051707566955430260237281826352182357178417999903672,0.0000000000046284260231052666306873718942587148273672355329121942130127242129405003689672904,0.00000000000078435457910585871504308491506567019117747455561884544127672441122715255829125314,XYYXYYX,0.00000000000078435457910585871504308491506567019117747455561884544127672441122715255829125314
yoshida8,8,stored_float_binary,8,256,0.000000000023654892520802860802604415998042151084702084989224384501553964486804353994672123,0.0000000000018563348821481770208224098145743813690902422391530129190493348342061675310224284,0.00000000000029047171954787951846281288814382222945898833164372861403968614620921392084543243,XYXYYXYX,-0.00000000000029047171954787951846281288814382222945898833164372861403968614620921392084543243
yoshida8,8,stored_float_binary,9,512,1104.882594144620876345469722966569522698101333235410447852806086279553552900458,60.851380186171295352053708556411435442115680379445694750165883796201686503553077,6.59285156700407562128774818615616189685546556703835882093465984592353105643394,XYYXYXYYX,-6.59285156700407562128774818615616189685546556703835882093465984592353105643394
yoshida8,8,exact_printed_decimal_literals,0,1,0.0,0.0,0.0,I,0.0
yoshida8,8,exact_printed_decimal_literals,1,2,2.3192835475107151093566862912794041816961915041210716610171078655237917440133471e-80,1.6467439613891998510412736353005923462479115444205372862741771806897953484364641e-80,1.2650637531876627869218288861524022809251953658842209060093315630129773149163712e-80,X,1.2650637531876627869218288861524022809251953658842209060093315630129773149163712e-80
yoshida8,8,exact_printed_decimal_literals,2,4,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-79,7.3061310807351475936246356436363997111670693996485188126061230347966767888516871e-80,4.954833033318345915443829804096908933623681849713198548536548621800827816755787e-80,YY,4.954833033318345915443829804096908933623681849713198548536548621800827816755787e-80
yoshida8,8,exact_printed_decimal_literals,3,8,0.00000000000003779778105811682596856723833869562400000000000000000000000000000074270535749019,0.000000000000017252247757643393065544997736847741846750591838999827496491455894351966029545154,0.000000000000012599260352705608656189079446231874666666666666666666666666666666866180266872171,YXY,-0.000000000000012599260352705608656189079446231874666666666666666666666666666666866180266872171
yoshida8,8,exact_printed_decimal_literals,4,16,0.000000000000037797781058116825968567238338695623999999999999999999999999999999402462555219864,0.000000000000011136278041666185507003170211720648176210571464824262891897852441312739256877689,0.0000000000000062996301763528043280945397231159373333333333333333333333333333332100567581996147,XYYX,0.0000000000000062996301763528043280945397231159373333333333333333333333333333332100567581996147
yoshida8,8,exact_printed_decimal_literals,5,32,0.0000000000039716117545214215077815775394980885751169147723446169552866850223135340669176372,0.00000000000085777355629148633465937858906940569114362127671731195045013172270342004551535249,0.00000000000028530562465039246112796574863593357973136403111255161648063160181841224089557244,YXYXY,0.00000000000028530562465039246112796574863593357973136403111255161648063160181841224089557244
yoshida8,8,exact_printed_decimal_literals,6,64,0.0000000000025154013255495546533178961210183073260694080569002234492716575527207715004423841,0.00000000000039093559051954579331221792755192688351283937023718166525111513230540958373200893,0.00000000000013918898889910202985181137856650179530551008041887055027079155038126572891828731,YXYYXY,0.00000000000013918898889910202985181137856650179530551008041887055027079155038126572891828731
