formula_id,formal_order,significant_digits,w0_policy,normalization_residual,complete_word_hard_linf,degree_p_plus_1_linf,lower_order_crossover_tau,crossover_contamination_degree,hard_conditions_passed
joint_refine_r0_s0046,4,12,explicit_json_float,-0.000000000001800000000000000000000000000000000000000000000000000000000000000000000164016949,0.000000000001800000000000000000000000000000000000000000000000000000000000000000000164016949,0.011267039829556386612963064632174941860108790744860083913207020083333333333333333,0.0035552133567271898742182065654856074650064677130756555134911533042432392630404719,1,False
joint_refine_r0_s0046,4,14,explicit_json_float,0.000000000000027999999999999999999999999999999999999999999999999999999999999999998859308575586,0.000000000000028000000000000391999999999999999999999999999999999999999999999999999660932332272,0.011267039829401690393150912485785859906976250490716051039640092040545587861333333,0.0012555587830976303147954125897385963654131930728719928153807248573751582087030756,1,True
joint_refine_r0_s0046,4,16,explicit_json_float,-0.00000000000000047999999999999999999999999999999999999999999999999999999999999999941417865748795,0.0000000000000015006067745943793706744503727368648426666666666666666666666666666666560398433805,0.01126703982940445740713825901467200576974549691470907908704020342419947973600728,0.0004543158116825477783640282873497772115209880014001370405905700306517615964074722,1,True
yoshida6_m3,6,6,explicit_saved_tuple,0.0000040000000000000000000000000000000000000000000000000000000000000000000000000006084,0.000004000008000000000000000000000000000000000000000000000000000000000000000000001806,0.0057463991363958902445507189854307615195664126984126984126984126984126984126984126,0.29769899409363607112670387593683899694934750769049707510978515814133380572991405,1,False
yoshida6_m3,6,8,explicit_saved_tuple,-0.000000059999999999999999999999999999999999999999999999999999999999999999999999999344968,0.000000059999999999999999999999999999999999999999999999999999999999999999999999997236529,0.0057467219212902074062975281844715784314619494513796449026984126984126984126984126,0.14783882810642156100994395976381589530368138181447671715896227136890756147114943,1,False
yoshida6_m3,6,10,explicit_saved_tuple,0.00000000080000000000000000000000000000000000000000000000000000000000000000000000167801791,0.00000000080000000032000000000000000000000000000000000000000000000000000000000000270935714,0.0057467179820939858028818389819092196782979424848018640937228665135326984126984126,0.071991023892264535415301837389760789152507496001157543612024779878629088730473813,1,False
yoshida6_m3,6,12,explicit_saved_tuple,-0.0000000000060000000000000000000000000000000000000000000000000000000000000000000019523495559,0.0000000000060000000000000000000000000000000000000000000000000000000000000000000040607891446,0.0057467180337604560809196236025921174749948976706765763226086557006619056236721328,0.031850913571687149218424767039964926544608760937951989284861740676634381341835547,1,False
yoshida6_m3,6,14,explicit_saved_tuple,-0.000000000000059999999999999999999999999999999999999999999999999999999999999999998459278199961,0.000000000000060000000000000000000000000000000000000000000000000000000000000000000567717788607,0.0057467180332911675929552421408214715640753967028097332248843188349905954438578735,0.014783884477672092027918167246165093732206799947501602513972908482003774394820949,1,True
yoshida6_m3,6,16,explicit_saved_tuple,0.0,0.0000000000000011531415831476053583795320357873333333333333333333333333333333333329472401412733,0.0057467180332864853114965454763698930481117840726521552087757972989094328011276636,0.00066929208049779843568266177648550461350011749379609803240293394646183949498918066,3,True
yoshida8,8,6,computed_from_tail,0.0,0.0016620361854078023335473762940132321980579412181813718420734126984126984126999733,6.5959920657801439437108730939197486430000209851705508224111276247167880139328178,0.092137564661824559763100522644097284942093812975215916949419496362393495044947946,5,False
yoshida8,8,8,computed_from_tail,0.0,0.00000072001944578708366525437500879198366438752694195981929093512302730158730112464497,6.5928495068865420231313651938207567879216682968232545928020890758313652423353909,0.037535326920813428972139388263942644493070417709469236557618305788501108467064722,3,False
yoshida8,8,10,computed_from_tail,0.0,0.00000016870883299249205428722191463003616426498624220744990831993424961877591900248885,6.5928512525001269858327609476156865829267079465415227649045853416796402185327675,0.02477910758543944078218682270243412186538687192889036522432043806566022543363406,3,False
yoshida8,8,12,computed_from_tail,0.0,0.00000000074218331296073791725432320751665437997656378948227784651593647955116301908682192,6.5928515656483475448587289467375580075991615265971865511954113765122059211070729,0.010229605879065713174559534400882558458273753742751274811197906778689079410237639,3,False
yoshida8,8,14,computed_from_tail,0.0,0.0000000000049021656947277257933850168254100009803123561811845065658524563798239263881206884,6.5928515669958551582158320439051498860598532227028234516451151804237852063483729,0.0033110110094015126628688657904646279268265541424422715896388017274690740635137698,3,False
yoshida8,8,16,computed_from_tail,0.0,0.00000000000079560477528188874132843679286502672310116991100332164398640112000223761306229753,6.5928515670040517108816701291442474145757035516856007968205012984312642162908943,0.0035227240581771259982670064123128321934836327930986123516892731668166816804666334,3,True
morales_y8m10b,8,6,computed_from_tail,0.0,0.000000051441428278666666666666666666666666666666666666666666666666666666666666665556583,0.00000095362092080729431026691051901216962642307008805858906525573192239858906525573239,0.61469008507524967703557937151960585107880117361584568723673913186202327124921314,3,False
morales_y8m10b,8,8,computed_from_tail,0.0,0.0000000015878937745790456666666666666666666666666666666666666666666666666666666667348849,0.00000095378219245507967885807302474644964866846042287368152090066777051258906525573187,0.34426698230918681585209373977681442774939237191756475540847243530198599134516357,3,False
morales_y8m10b,8,10,computed_from_tail,0.0,0.000000000014238080302388887989666666666666666666666666666666666666666666666666666022686544,0.00000095378334384778428813442810862497117839848249293344924470188793459666318697636083,0.15691589949236131177048962029991731806197169594247311401443978563139666265129051,3,False
