formula_id,formal_order,variant,degree,word,signed_residual,absolute_residual
paper_new4_printed_registry,4,stored_float_binary,4,XYXX,0.00000000015304450653983045327172483296537045586904303987564379300748434134852786811909586,0.00000000015304450653983045327172483296537045586904303987564379300748434134852786811909586
paper_new4_printed_registry,4,stored_float_binary,4,XYXY,-0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,XYYX,0.0000000006121780261593218130868993318614818234761721595025751720299373653941114724104947,0.0000000006121780261593218130868993318614818234761721595025751720299373653941114724104947
paper_new4_printed_registry,4,stored_float_binary,4,XYYY,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YXXX,-0.00000000015304450653983045327172483296537045586904303987564379300748434134852786805320712,0.00000000015304450653983045327172483296537045586904303987564379300748434134852786805320712
paper_new4_printed_registry,4,stored_float_binary,4,YXXY,-0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YXYX,-0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YXYY,-0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YYXX,0.00000000015304450653983045327172483296537045586904303987564379300748434134852786811909586,0.00000000015304450653983045327172483296537045586904303987564379300748434134852786811909586
paper_new4_printed_registry,4,stored_float_binary,4,YYXY,-0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YYYX,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298,0.00000000030608901307966090654344966593074091173808607975128758601496868269705573617230298
paper_new4_printed_registry,4,stored_float_binary,4,YYYY,0.0,0.0
paper_new4_printed_registry,4,exact_printed_decimal_literals,0,I,0.0,0.0
paper_new4_printed_registry,4,exact_printed_decimal_literals,1,X,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,1,Y,0.0,0.0
paper_new4_printed_registry,4,exact_printed_decimal_literals,2,XX,-5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82
paper_new4_printed_registry,4,exact_printed_decimal_literals,2,XY,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,2,YX,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,2,YY,-1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,XXX,-2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,XXY,-0.000000000306089013448396166666666666666666666666666666666666666666666666666666666655366,0.000000000306089013448396166666666666666666666666666666666666666666666666666666666655366
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,XYX,0.0000000006121780268967923333333333333333333333333333333333333333333333333333333327836221,0.0000000006121780268967923333333333333333333333333333333333333333333333333333333327836221
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,XYY,0.00000000061217802689679233333333333333333333333333333333333333333333333333333333304717705,0.00000000061217802689679233333333333333333333333333333333333333333333333333333333304717705
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,YXX,-0.0000000003060890134483961666666666666666666666666666666666666666666666666666666671824759,0.0000000003060890134483961666666666666666666666666666666666666666666666666666666671824759
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,YXY,-0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189,0.0000000012243560537935846666666666666666666666666666666666666666666666666666666668850189
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,YYX,0.0000000006121780268967923333333333333333333333333333333333333333333333333333333327836221,0.0000000006121780268967923333333333333333333333333333333333333333333333333333333327836221
paper_new4_printed_registry,4,exact_printed_decimal_literals,3,YYY,-2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XXXX,-1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XXXY,-0.00000000015304450672419808333333333333333333333333333333333333333333333333333333345946047,0.00000000015304450672419808333333333333333333333333333333333333333333333333333333345946047
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XXYX,0.00000000015304450672419808333333333333333333333333333333333333333333333333333333326179426,0.00000000015304450672419808333333333333333333333333333333333333333333333333333333326179426
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XXYY,0.000000000153044506724198083333333333333333333333333333333333333333333333333333333327683,0.000000000153044506724198083333333333333333333333333333333333333333333333333333333327683
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XYXX,0.00000000015304450672419808333333333333333333333333333333333333333333333333333333313001679,0.00000000015304450672419808333333333333333333333333333333333333333333333333333333313001679
paper_new4_printed_registry,4,exact_printed_decimal_literals,4,XYXY,-0.00000000030608901344839616666666666666666666666666666666666666666666666666666666678714347,0.00000000030608901344839616666666666666666666666666666666666666666666666666666666678714347
