condition,formula,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,tau__lambda_h_sector_centered_half_width,tau__lambda_group_half_width_sum,tau__lambda_pauli_nonidentity_l1,diagnosis
active_stretch150,paper_new4,3.8140543573975427,0.010606601717798213,0.0075,0.015,True,False,0.02055512608950015,0.20513000054199157,0.3704165508588334,direct_small_time_values_reach_numerical_floor
active_stretch150,paper_new4,3.9812895855628074,0.021213203435596427,0.015,0.03,True,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,direct_small_time_values_reach_numerical_floor
active_stretch150,paper_new4,3.9994098449537803,0.042426406871192854,0.03,0.06,False,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,direct_small_time_values_reach_numerical_floor
active_stretch150,two_term_center,4.274065442958085,0.010606601717798213,0.0075,0.015,True,False,0.02055512608950015,0.20513000054199157,0.3704165508588334,direct_small_time_values_reach_numerical_floor
active_stretch150,two_term_center,3.9926224822652236,0.021213203435596427,0.015,0.03,True,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,direct_small_time_values_reach_numerical_floor
active_stretch150,two_term_center,4.000493009963094,0.042426406871192854,0.03,0.06,True,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida4,3.9988533043887826,0.010606601717798213,0.0075,0.015,True,False,0.02055512608950015,0.20513000054199157,0.3704165508588334,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida4,4.000099410258498,0.021213203435596427,0.015,0.03,False,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida4,3.998876798199219,0.042426406871192854,0.03,0.06,False,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida6_m3,-0.09114788805819954,0.010606601717798213,0.0075,0.015,True,False,0.02055512608950015,0.20513000054199157,0.3704165508588334,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida6_m3,2.4422223286050744,0.021213203435596427,0.015,0.03,True,False,0.0411102521790003,0.41026000108398314,0.7408331017176668,direct_small_time_values_reach_numerical_floor
active_stretch150,yoshida6_m3,5.696327731648792,0.042426406871192854,0.03,0.06,True,False,0.0822205043580006,0.8205200021679663,1.4816662034353336,direct_small_time_values_reach_numerical_floor
full_equilibrium,joint_refine_r0_s0046,3.998282075324439,0.010606601717798213,0.0075,0.015,False,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_effective_order_reaches_formal_order_4
full_equilibrium,joint_refine_r0_s0046,3.995346945502708,0.021213203435596427,0.015,0.03,False,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_effective_order_reaches_formal_order_4
full_equilibrium,joint_refine_r0_s0046,3.9810939570407458,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_effective_order_reaches_formal_order_4
full_equilibrium,m5_best,3.4401638122698968,0.010606601717798213,0.0075,0.015,True,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_small_time_values_reach_numerical_floor
full_equilibrium,m5_best,3.9619404613969977,0.021213203435596427,0.015,0.03,True,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_small_time_values_reach_numerical_floor
full_equilibrium,m5_best,3.9390550646356624,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_small_time_values_reach_numerical_floor
full_equilibrium,paper_new4,3.997873251107699,0.010606601717798213,0.0075,0.015,True,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_small_time_values_reach_numerical_floor
full_equilibrium,paper_new4,3.9758874875928414,0.021213203435596427,0.015,0.03,False,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_small_time_values_reach_numerical_floor
full_equilibrium,paper_new4,3.8933053903045387,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_small_time_values_reach_numerical_floor
full_equilibrium,two_term_center,3.9908998883064286,0.010606601717798213,0.0075,0.015,True,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_small_time_values_reach_numerical_floor
full_equilibrium,two_term_center,3.9966764426631998,0.021213203435596427,0.015,0.03,False,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_small_time_values_reach_numerical_floor
