condition,formula,formal_order,protocol,qualified,failure_reasons,t_start,t_stop,free_order,r2,lambda_h_sector_centered_half_width,tau_start__lambda_h_sector_centered_half_width,tau_stop__lambda_h_sector_centered_half_width,lambda_group_half_width_sum,tau_start__lambda_group_half_width_sum,tau_stop__lambda_group_half_width_sum,lambda_pauli_nonidentity_l1,tau_start__lambda_pauli_nonidentity_l1,tau_stop__lambda_pauli_nonidentity_l1
active_equilibrium,yoshida6_m3,6,legacy_molecular_sensitivity,True,,0.0453259395834091,0.07820323082009921,5.998255805046689,0.9999999663027502,2.965603349033963,0.1344187582266691,0.23191976322536223,18.47285862483773,0.8372996739622527,1.4446372269452454,34.139120217697844,1.5473877004181127,2.66978949837974
active_equilibrium,yoshida6_m3,6,shared_molecular,True,,0.06,0.12576573057683554,5.997204800587757,0.99999998687593,2.965603349033963,0.17793620094203777,0.37297127179236655,18.47285862483773,1.1083715174902637,2.3232525607953147,34.139120217697844,2.0483472130618705,4.293531395429186
active_stretch150,joint_refine_r0_s0046,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.9998449383148,0.9999999999368738,1.9379558728040103,0.038759117456080204,0.06687314673804715,19.33984192107232,0.3867968384214464,0.6673609574026151,34.923207330135035,0.6984641466027007,1.2050969793095752
active_stretch150,joint_refine_r0_s0046,4,shared_molecular,True,,0.06,0.12576573057683554,3.9980444035557667,0.9999999889863027,1.9379558728040103,0.1162773523682406,0.24372843616886533,19.33984192107232,1.1603905152643392,2.432289348444171,34.923207330135035,2.095392439808102,4.392142683960731
active_stretch150,m5_best,4,legacy_molecular_sensitivity,True,,0.051947695424124994,0.08962809493114333,4.001706932757261,0.9999989001926297,1.9379558728040103,0.10067234142581705,0.17369529294004457,19.33984192107232,1.0046602176665893,1.7333931876551754,34.923207330135035,1.8141801376194242,3.130100541885344
active_stretch150,m5_best,4,shared_molecular,True,,0.06,0.12576573057683554,3.9988684496466753,0.99999998718148,1.9379558728040103,0.1162773523682406,0.24372843616886533,19.33984192107232,1.1603905152643392,2.432289348444171,34.923207330135035,2.095392439808102,4.392142683960731
active_stretch150,paper_new4,4,legacy_molecular_sensitivity,True,,0.02,0.034507053373351075,3.9980044720847037,0.999999954557084,1.9379558728040103,0.038759117456080204,0.06687314673804715,19.33984192107232,0.3867968384214464,0.6673609574026151,34.923207330135035,0.6984641466027007,1.2050969793095752
active_stretch150,paper_new4,4,shared_molecular,True,,0.06,0.12576573057683554,3.997941795843286,0.9999999883103152,1.9379558728040103,0.1162773523682406,0.24372843616886533,19.33984192107232,1.1603905152643392,2.432289348444171,34.923207330135035,2.095392439808102,4.392142683960731
active_stretch150,two_term_center,4,legacy_molecular_sensitivity,True,,0.026270536109242643,0.0453259395834091,4.000123813882812,0.9999999620369399,1.9379558728040103,0.0509111397346166,0.08783967080602742,19.33984192107232,0.508068015534575,0.8765965064672067,34.923207330135035,0.9174513792168798,1.5829271855045706
active_stretch150,two_term_center,4,shared_molecular,True,,0.06,0.12576573057683554,3.999407945965712,0.9999999989554025,1.9379558728040103,0.1162773523682406,0.24372843616886533,19.33984192107232,1.1603905152643392,2.432289348444171,34.923207330135035,2.095392439808102,4.392142683960731
