condition,state_id,direction_id,source_state_method,source_state_exact_overlap_probability,target_energy_error_hartree,direction_excitation_energy_hartree,excited_weight,phase_index,relative_phase_radians,normalization,energy_error_hartree,energy_variance_hartree2,hamiltonian_residual_2_norm,exact_ground_overlap_probability
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,cisd,0.9226094636935972,0.05,1.0673795839907738,0.04684369155072034,2,3.141592653589793,0.9999999999999999,0.04999999999999938,0.08333750752392888,0.28868236441447004,0.9531563084492801
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,cisd,0.9226094636935972,0.05,1.0673795839907738,0.04684369155072034,3,4.71238898038469,1.0,0.04999999999999982,0.0833375075239271,0.288682364414467,0.9531563084492801
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.001,0.9491484258333505,0.0010535759980026327,0,0.0,1.0,0.0009999999999998899,0.0018326047266903345,0.042808932790836245,0.9989464240019978
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.001,0.9491484258333505,0.0010535759980026327,1,1.5707963267948966,1.0,0.0009999999999990017,0.0018326047266814527,0.04280893279073251,0.9989464240019978
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.001,0.9491484258333505,0.0010535759980026327,2,3.141592653589793,1.0,0.0009999999999998899,0.0018326047266885581,0.0428089327908155,0.9989464240019976
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.001,0.9491484258333505,0.0010535759980026327,3,4.71238898038469,1.0,0.0009999999999990017,0.0018326047266814527,0.04280893279073251,0.9989464240019978
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.005,0.9491484258333505,0.005267879990013164,0,0.0,1.0,0.004999999999998561,0.009143023633429337,0.09561915934282908,0.9947321200099878
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.005,0.9491484258333505,0.005267879990013164,1,1.5707963267948966,1.0,0.0050000000000003375,0.009143023633436442,0.09561915934286623,0.9947321200099871
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.005,0.9491484258333505,0.005267879990013164,2,3.141592653589793,1.0,0.004999999999998561,0.009143023633429337,0.09561915934282908,0.9947321200099876
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.005,0.9491484258333505,0.005267879990013164,3,4.71238898038469,1.0,0.0050000000000003375,0.009143023633436442,0.09561915934286623,0.9947321200099871
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.01,0.9491484258333505,0.010535759980026328,0,0.0,1.0,0.009999999999999343,0.018236047266873,0.13504090960473053,0.9894642400199745
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.01,0.9491484258333505,0.010535759980026328,1,1.5707963267948966,0.9999999999999999,0.010000000000000231,0.018236047266876554,0.1350409096047437,0.9894642400199742
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.01,0.9491484258333505,0.010535759980026328,2,3.141592653589793,1.0,0.009999999999998899,0.01823604726686945,0.13504090960471737,0.9894642400199742
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.01,0.9491484258333505,0.010535759980026328,3,4.71238898038469,0.9999999999999999,0.010000000000000231,0.018236047266876554,0.1350409096047437,0.9894642400199742
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.05,0.9491484258333505,0.052678799900131634,0,0.0,1.0,0.04999999999999982,0.08918023633436611,0.2986306018049157,0.9473212000998686
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.05,0.9491484258333505,0.052678799900131634,1,1.5707963267948966,1.0,0.04999999999999849,0.08918023633435723,0.2986306018049008,0.9473212000998693
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.05,0.9491484258333505,0.052678799900131634,2,3.141592653589793,1.0,0.050000000000000266,0.08918023633437144,0.2986306018049246,0.9473212000998686
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,rhf_determinant,0.5966693601224804,0.05,0.9491484258333505,0.052678799900131634,3,4.71238898038469,1.0,0.04999999999999849,0.08918023633435723,0.2986306018049008,0.9473212000998693
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,cisd,0.9948983097603786,0.001,2.4230074130413453,0.0004127102519859011,0,0.0,1.0000000000000002,0.0009999999999967812,0.0035288566745848016,0.05940418061538095,0.9995872897480147
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,cisd,0.9948983097603786,0.001,2.4230074130413453,0.0004127102519859011,1,1.5707963267948966,1.0,0.0009999999999994458,0.003528856674606118,0.05940418061556037,0.9995872897480145
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,cisd,0.9948983097603786,0.001,2.4230074130413453,0.0004127102519859011,2,3.141592653589793,1.0,0.0009999999999985576,0.0035288566745990124,0.05940418061550056,0.9995872897480143
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,cisd,0.9948983097603786,0.001,2.4230074130413453,0.0004127102519859011,3,4.71238898038469,1.0,0.0009999999999994458,0.003528856674606118,0.05940418061556037,0.9995872897480145
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,cisd,0.9948983097603786,0.005,2.4230074130413453,0.0020635512599295057,0,0.0,1.0,0.004999999999999893,0.017624283373038452,0.1327564814728021,0.9979364487400707
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,cisd,0.9948983097603786,0.005,2.4230074130413453,0.0020635512599295057,1,1.5707963267948966,1.0,0.004999999999999005,0.017624283373017136,0.13275648147272184,0.9979364487400707
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,cisd,0.9948983097603786,0.005,2.4230074130413453,0.0020635512599295057,2,3.141592653589793,1.0,0.004999999999998117,0.01762428337301003,0.13275648147269506,0.9979364487400709
