condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,-0.00029687103515558513,0.00019406090861161696,1.240651493682241,1.1757954568548645,0.6621688081187646,0.7756732761171945,186868784.34711185,273623312.3402094,0.3170582478923849,0.9999999999487413,29.20924143389024,1.8058603817492838e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,-0.0001402179227531052,0.000313299645480641,1.7175901476573534,0.7451930317666831,0.6621688081187646,0.12538226299694188,207316095.77743286,273623312.3402094,0.24233028975372362,0.9999999999508271,29.20924143389024,3.477601971667501e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,0.005,2,3.141592653589793,-4.209829405668989e-05,-0.00015916155620173482,1.246268230599962,0.6833657873270649,0.6621688081187646,0.0320114432277796,251349338.5573093,273623312.3402094,0.08140378680602256,0.9999999999520331,29.20924143389024,1.8713417279094597e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,0.005,3,4.71238898038469,-0.0001987514115514211,-0.0002784002382848659,1.6768392837697812,0.5611483817839842,0.6621688081187646,0.1525599289730688,313127127.6881764,273623312.3402094,0.1443729885809215,0.9999999999498379,29.20924143389024,3.484136354080839e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,0.01,0,0.0,-0.0003519059123509727,0.000270298206573427,1.7772224683383209,1.1410115079229082,0.6621688081187646,0.7231429416987274,126555910.48434801,273623312.3402094,0.5374812569807839,0.9999999999481103,29.20924143389024,2.598477028186574e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,0.01,1,1.5707963267948966,-0.00013065892871820815,0.00043870345788794347,2.4351149959011034,0.6775194710277032,0.6621688081187646,0.02318240110486358,235111821.23615822,273623312.3402094,0.14074638149313812,0.9999999999510154,29.20924143389024,4.916326969148636e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,0.01,2,3.141592653589793,7.919047162975941e-06,-0.0002285709334373987,1.734484566054207,0.6869911566523673,0.6621688081187646,0.03748643582914091,244323574.40138072,273623312.3402094,0.10708056155097956,0.9999999999527495,29.20924143389024,2.595091518038369e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,0.01,3,4.71238898038469,-0.00021332793567465413,-0.0003969761892225752,2.3583941329112523,0.5398207586360335,0.6621688081187646,0.1847686692315278,324357522.4241203,273623312.3402094,0.1854162558372605,0.9999999999496232,29.20924143389024,4.915994006152312e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,0.05,0,0.0,-0.0005900579647200289,0.0005999633900666181,4.098460048746182,0.9917181458872532,0.6621688081187646,0.497681759889514,145611364.77361175,273623312.3402094,0.46784006257271704,0.9999999999457124,29.20924143389024,6.021458149099549e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,0.05,1,1.5707963267948966,-0.00010062522906210546,0.0009725020344363001,5.485434903294568,0.5594173495836144,0.6621688081187646,0.15517411462957487,295062102.56505704,273623312.3402094,0.07835147539691967,0.9999999999517172,29.20924143389024,1.0903019614678765e-08
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,0.05,2,3.141592653589793,0.00020593080932935674,-0.0005036127209945213,3.6688116917139495,0.6961362324279051,0.6621688081187646,0.051297227976718984,219774103.81851792,273623312.3402094,0.19680051403930854,0.9999999999558202,29.20924143389024,5.467525258456888e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,0.05,3,4.71238898038469,-0.0002835019279849207,-0.0008761513506677187,5.121076520443186,0.48566884565088436,0.6621688081187646,0.26654828844825884,358700935.9954658,273623312.3402094,0.3109297337555623,0.9999999999487242,29.20924143389024,1.0847626575120428e-08
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,-0.06201661059208334,0.019199524776739512,0.03348624263261141,0.15093988271517705,0.14978236827717722,0.007727975270479082,517710968.5310995,521673365.26555234,0.0075955511595571235,0.9999999999999928,29.20924143389023,5.3254582720818025e-14
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,-0.06104261617716029,0.026360261051302722,0.13300444749320015,0.1516941340586479,0.14978236827717722,0.012763623672533253,515292037.4231459,521673365.26555234,0.012232420260056998,0.999999999999993,29.20924143389023,1.0358656714424318e-11
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,-0.06013693320486057,0.01700718110265251,0.058500952928158,0.15207499364792526,0.14978236827717722,0.015306376826045742,513808910.9637054,521673365.26555234,0.015075437669399894,0.9999999999999927,29.20924143389023,3.031390480160486e-14
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,-0.06111092855435478,0.009846637380010985,0.12982123866758397,0.15131327446937057,0.14978236827717722,0.010220870519020986,516246227.5769509,521673365.26555234,0.010403325241339134,0.9999999999999931,29.20924143389023,1.0434775630661324e-11
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,-0.06308051414274377,0.020529318597756963,0.03995930761169242,0.15031258456813198,0.14978236827717722,0.0035399112529290733,519877947.85167706,521673365.26555234,0.003441650529659168,0.9999999999999932,29.20924143389023,6.167479002455888e-14
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,-0.06090425006848713,0.03652847529841749,0.28268425263652286,0.1519928474620027,0.14978236827717722,0.014757939871366643,514490703.7183802,521673365.26555234,0.013768503484006489,0.999999999999992,29.20924143389023,2.319018628054517e-11
N2_active_eq_sto3g,yoshida4,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,-0.058880624169363564,0.01563081218367034,0.0835061765924959,0.15286658416681548,0.14978236827717722,0.02059131475295417,511147490.38593,521673365.26555234,0.020177136845513033,0.999999999999993,29.20924143389023,1.8074806838822835e-14
