condition,direction_id,target_energy_error_hartree,state_count,energy_error_spread_hartree,variance_spread_hartree2,residual_spread,overlap_probability_spread,selected_formulae,selection_changes_with_phase,maximum_direct_formula_choice_regret,current_m3_relative_time_span,yoshida4_relative_time_span,current_m3_relative_model_cost_span,yoshida4_relative_model_cost_span,constructive_counterexample
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.01,4,2.220446049250313e-15,1.0658141036401503e-14,4.08006961549745e-14,2.220446049250313e-16,current_m3,False,0.0,0.8207400311339961,0.043944042851942366,1.24781389918282,0.04399001913071379,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.05,4,8.881784197001252e-16,3.552713678800501e-15,6.161737786669619e-15,2.220446049250313e-16,current_m3,False,0.0,0.7188231360748911,0.10062157998193672,1.0369267975002316,0.10064309526123036,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.001,4,8.881784197001252e-16,8.881784197001252e-15,1.0373646386341306e-13,2.220446049250313e-16,current_m3,False,0.0,0.8922428719843013,0.016744568288047795,1.3210703439077267,0.016803291788429247,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.005,4,1.7763568394002505e-15,7.105427357601002e-15,3.71508379615193e-14,6.661338147750939e-16,current_m3,False,0.0,0.6825047199496536,0.03796747125246035,1.0492458657546235,0.03814906624623363,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.01,4,1.3322676295501878e-15,7.105427357601002e-15,2.631228568361621e-14,2.220446049250313e-16,current_m3,False,0.0,0.6406846609611587,0.05442141443599646,0.9955465021696283,0.05471220788646045,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.05,4,1.7763568394002505e-15,1.4210854715202004e-14,2.3814283878209608e-14,6.661338147750939e-16,current_m3,False,0.0,0.6528709917971665,0.13332275635940563,1.01749736031746,0.13360498441671192,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.001,4,2.6645352591003757e-15,2.1316282072803006e-14,1.794189796733292e-13,4.440892098500626e-16,current_m3,False,0.0,0.0982905982905985,0.0076818798011747316,0.07815188833540682,0.00758491601594153,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.005,4,1.7763568394002505e-15,2.842170943040401e-14,1.0705325514948072e-13,2.220446049250313e-16,current_m3,False,0.0,0.2812232219365894,0.017339583648369197,0.2044936530631385,0.017081218641447637,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.01,4,1.7763568394002505e-15,2.1316282072803006e-14,5.6815663285192386e-14,2.220446049250313e-16,current_m3,False,0.0,0.9758507135016465,0.02466016473798582,1.2092601810274692,0.024315659570286252,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.05,4,8.881784197001252e-16,7.105427357601002e-15,8.548717289613705e-15,2.220446049250313e-16,current_m3,False,0.0,0.49393455234037537,0.0574104234527686,0.6545805792218623,0.05660725497980996,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.001,4,1.7763568394002505e-15,2.1316282072803006e-14,2.278732758043134e-13,4.440892098500626e-16,current_m3,False,0.0,0.7082166968549316,0.0065244667503137265,1.098344608903245,0.006547399232380849,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.005,4,8.881784197001252e-16,2.1316282072803006e-14,1.0200174038743626e-13,2.220446049250313e-16,current_m3,False,0.0,1.1043719393474543,0.014611043933897625,1.5614467433432986,0.014688450648976352,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.01,4,2.6645352591003757e-15,2.1316282072803006e-14,7.21922521762508e-14,2.220446049250313e-16,current_m3,False,0.0,1.0122033482553503,0.02066491511721911,1.4409285319539058,0.02081556587091027,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.05,4,1.7763568394002505e-15,2.1316282072803006e-14,3.2585045772748344e-14,4.440892098500626e-16,current_m3,False,0.0,0.9330335853941003,0.046390435804424396,1.332977756511528,0.04676942831344906,True
