varied_metric,threshold_multiplier,varied_threshold,other_thresholds,pf,model,passed,total,coverage,failed_conditions,median_direct_cost_ratio_to_current_over_covered
eta_star,3.0,0.03,canonical,current_m3,refit_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,3.0,0.03,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,3.0,0.03,canonical,two_term_center,original_one_term,17,17,1.0,,1.1498955026642743
eta_star,3.0,0.03,canonical,two_term_center,refit_one_term,17,17,1.0,,1.1499561026378546
eta_star,3.0,0.03,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,5.0,0.05,canonical,current_m3,original_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,5.0,0.05,canonical,current_m3,refit_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,5.0,0.05,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,5.0,0.05,canonical,two_term_center,original_one_term,17,17,1.0,,1.1498955026642743
eta_star,5.0,0.05,canonical,two_term_center,refit_one_term,17,17,1.0,,1.1499561026378546
eta_star,5.0,0.05,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,7.5,0.075,canonical,current_m3,original_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,7.5,0.075,canonical,current_m3,refit_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,7.5,0.075,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,7.5,0.075,canonical,two_term_center,original_one_term,17,17,1.0,,1.1498955026642743
eta_star,7.5,0.075,canonical,two_term_center,refit_one_term,17,17,1.0,,1.1499561026378546
eta_star,7.5,0.075,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,10.0,0.1,canonical,current_m3,original_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,10.0,0.1,canonical,current_m3,refit_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,10.0,0.1,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,10.0,0.1,canonical,two_term_center,original_one_term,17,17,1.0,,1.1498955026642743
