effect_type,contrast,held_constant,metric,condition_count,mean_benefit_from_reduction,median_benefit_from_reduction,minimum_benefit_from_reduction,maximum_benefit_from_reduction,conditions_improved,conditions_tied,conditions_worsened,median_ratio_to_over_from
model_effect,original_to_two_term,two_term_center,eta_star,17,0.008898976698474028,0.009366587656626936,0.0034796361127186746,0.01647817359984633,17,0,0,0.008318190752127136
model_effect,original_to_two_term,two_term_center,eta_t,17,0.013387508596315956,0.013962293918119428,0.005034525301972015,0.026256980520270812,17,0,0,0.0
model_effect,original_to_two_term,two_term_center,maximum_unseen_residual_over_epsilon,17,0.01404599490233094,0.014420930206366395,0.005127358130151767,0.02846646310512146,17,0,0,0.0085642298794816
model_effect,refit_to_two_term,current_m3,direct_cost_at_predicted_time,17,116935.85044240396,40638.09505432844,11822.164699524641,392256.39229115844,17,0,0,0.9985383741491325
model_effect,refit_to_two_term,current_m3,eta_min,17,0.0041949555386639765,0.0014637653281106555,0.0002276705757202624,0.03863845264559318,17,0,0,0.0
model_effect,refit_to_two_term,current_m3,eta_star,17,0.01437637139460277,0.013466777173922416,0.006216270440741861,0.026710841051656036,17,0,0,0.059640666701348787
model_effect,refit_to_two_term,current_m3,eta_t,17,0.024737106412926715,0.020690071599518967,0.009175183075927129,0.055429361862768034,17,0,0,0.0
model_effect,refit_to_two_term,current_m3,maximum_unseen_residual_over_epsilon,17,0.03134299732720781,0.021966828246107167,0.009430454299852469,0.13530154565513358,17,0,0,0.06906146031320953
model_effect,refit_to_two_term,two_term_center,direct_cost_at_predicted_time,17,26456.935638035386,13380.601131487638,2438.542796755908,125731.54906457663,17,0,0,0.999565276620575
model_effect,refit_to_two_term,two_term_center,eta_min,17,0.0005567745839891463,0.0004349124460332199,8.639541371424642e-05,0.0021885603139422116,17,0,0,0.0
model_effect,refit_to_two_term,two_term_center,eta_star,17,0.008531874375166303,0.00896812489162516,0.003334735222860434,0.015657666374179445,17,0,0,0.008669814375900177
model_effect,refit_to_two_term,two_term_center,eta_t,17,0.012998791660828742,0.01354609872051138,0.004886537142886338,0.025346092229803663,17,0,0,0.0
model_effect,refit_to_two_term,two_term_center,maximum_unseen_residual_over_epsilon,17,0.013550363157723688,0.013898495467677317,0.004949658645078841,0.02725058757055013,17,0,0,0.008865467984838693
pf_by_model_interaction,refit_to_two_term_difference_in_differences,none,direct_cost_at_predicted_time,17,-90478.91480436857,-25653.36381278932,-365487.76467993855,-5734.524070240557,0,0,17,0.3551014369013973
pf_by_model_interaction,refit_to_two_term_difference_in_differences,none,eta_min,17,-0.00363818095467483,-0.0011102350258902494,-0.03644989233165097,-0.0001252303831573709,0,0,17,0.3087799008100403
pf_by_model_interaction,refit_to_two_term_difference_in_differences,none,eta_star,17,-0.005844497019436467,-0.0053158306898716985,-0.011985806268169068,-0.001802762357946147,0,0,17,0.6188562329165276
pf_by_model_interaction,refit_to_two_term_difference_in_differences,none,eta_t,17,-0.011738314752097974,-0.009848988475473774,-0.03008326963296437,-0.002662676361303684,0,0,17,0.5939945222231267
pf_by_model_interaction,refit_to_two_term_difference_in_differences,none,maximum_unseen_residual_over_epsilon,17,-0.01779263416948412,-0.010927055246905662,-0.10805095808458345,-0.0028719445169424086,0,0,17,0.5792039701630832
pf_effect,current_m3_to_two_term_center,original_one_term,direct_cost_at_predicted_time,17,-16013983.039801149,-7493607.088800155,-83026324.9223988,-218586.0880763859,0,0,17,1.1498955026642743
pf_effect,current_m3_to_two_term_center,original_one_term,eta_min,17,0.028466538711041264,0.0011616984717681689,0.00013234877400769562,0.45562767361998513,17,0,0,0.3101374197742777
pf_effect,current_m3_to_two_term_center,original_one_term,eta_star,17,0.00947477834614292,0.007050548120604804,0.002090951949647493,0.03376235553935027,17,0,0,0.5829343209594815
pf_effect,current_m3_to_two_term_center,original_one_term,eta_t,17,0.024706611002714998,0.010114731680009759,0.0027500113846902208,0.19723457417387802,17,0,0,0.5934163154995614
pf_effect,current_m3_to_two_term_center,original_one_term,maximum_unseen_residual_over_epsilon,17,0.043471802901323686,0.012843239639802339,0.0034550792787746577,0.46947692783724726,17,0,0,0.5426182715138985
pf_effect,current_m3_to_two_term_center,refit_one_term,direct_cost_at_predicted_time,17,-16018148.985916011,-7493930.452824593,-83036024.71116853,-218982.5378694723,0,0,17,1.1499561026378546
pf_effect,current_m3_to_two_term_center,refit_one_term,eta_min,17,0.028345829273284016,0.0011102350258902494,0.0001252303831573709,0.4546715611130885,17,0,0,0.3087799008100403
pf_effect,current_m3_to_two_term_center,refit_one_term,eta_star,17,0.009233156428000192,0.0068205203507656735,0.002008461013973493,0.033477358039375224,17,0,0,0.5819485805254835
pf_effect,current_m3_to_two_term_center,refit_one_term,eta_t,17,0.024411676779835884,0.009848988475473774,0.002662676361303684,0.196749936299631,17,0,0,0.5939945222231267
pf_effect,current_m3_to_two_term_center,refit_one_term,maximum_unseen_residual_over_epsilon,17,0.04291712133806416,0.012472057566006613,0.0033446885154984098,0.46675595747563836,17,0,0,0.5415201898384062
pf_effect,current_m3_to_two_term_center,two_term,direct_cost_at_predicted_time,17,-16108627.900720378,-7499664.976894833,-83243824.13122058,-230109.37093775114,0,0,17,1.151257977613777
pf_effect,current_m3_to_two_term_center,two_term,eta_min,17,0.024707648318609186,0.0,0.0,0.4182216687814375,3,14,0,0.0
pf_effect,current_m3_to_two_term_center,two_term,eta_star,17,0.0033886594085637245,0.0009941269663769736,8.545065540636072e-05,0.03000185676504825,17,0,0,0.1343321982741582
pf_effect,current_m3_to_two_term_center,two_term,eta_t,17,0.012673362027737911,0.0,0.0,0.16666666666666663,3,14,0,0.0
pf_effect,current_m3_to_two_term_center,two_term,maximum_unseen_residual_over_epsilon,17,0.02512448716858004,0.0014455163687397661,0.00018119509475179353,0.35870499939105494,17,0,0,0.10229147740754596
