dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,canonical_pass,failed_metric_count,failed_metrics,worst_normalized_metric,worst_normalized_value,normalized_eta_star,normalized_eta_min,normalized_eta_t,normalized_maximum_unseen_residual_over_epsilon
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,current_m3,two_term,True,0,,eta_star,0.11901000071809228,0.11901000071809228,0.0,0.0,0.05229699791599409
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,two_term_center,original_one_term,True,0,,eta_star,0.459771995430647,0.459771995430647,0.010677687837867822,0.13281215077208808,0.13577631335203572
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,two_term_center,refit_one_term,True,0,,eta_star,0.44098564277799773,0.44098564277799773,0.010067166552119033,0.12897491364725067,0.1311318271270239
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,two_term_center,two_term,True,0,,eta_star,0.0034231493498833856,0.0034231493498833856,0.0,0.0,0.0009581967687766069
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,current_m3,original_one_term,True,0,,eta_star,0.6816987057095156,0.6816987057095156,0.024759586158684677,0.19037053911906465,0.2088764071071227
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,current_m3,refit_one_term,True,0,,eta_star,0.6547953838182666,0.6547953838182666,0.02341969072914285,0.1848103236046783,0.20204962742151472
twelve_condition_holdout,H2O_stretch150_631g,H2O,H2O,geometry_and_basis,current_m3,two_term,True,0,,eta_star,0.025482716681946124,0.025482716681946124,0.0,0.0,0.011004002613316844
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,H2O,geometry_and_basis,two_term_center,original_one_term,True,0,,eta_star,0.46403049211464226,0.46403049211464226,0.010860980024984812,0.13409485969704704,0.136998530422561
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,H2O,geometry_and_basis,two_term_center,refit_one_term,True,0,,eta_star,0.4452107024277844,0.4452107024277844,0.01024401925628915,0.1302501342924689,0.13234348256589118
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,H2O,geometry_and_basis,two_term_center,two_term,True,0,,eta_star,0.003859894148213021,0.003859894148213021,0.0,0.0,0.0011732869076899659
